评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5184886967,西玻尔虞我诈,女,其他,1981,324,330,处理一下？ ,325,2020-05-19 13:11
https://weibo.cn//u/3882688731,17小小小小宇,女,其他,1044,1192,197,这么多人在下面反映入职强奸案件。。别装作不回应了亲。,260,2020-05-19 13:11
https://weibo.cn//u/5545956342,达达怪兽,男,海外,114,283,18,同性恋就活该被强奸是吗？ 你们那的公安说的是人话吗？,328,2020-05-19 13:16
https://weibo.cn//u/6288056623,此生无悔入假面,男,其他,21,45,8,回复@深圳公安:还有我希望您们可以不要像肖战粉丝那样没有脑子，看到质疑你们的负面评论就去删，没有意义,0,2020-05-23 00:48
https://weibo.cn//u/6288056623,此生无悔入假面,男,其他,21,45,8,回复@深圳公安:5月22日，0点47分，从你们最新的微博看到这一条，到现在没有结果，你们的职位是买的吗？和山东那些警察一样和稀泥，怎么垃圾小说里的情节，你们平时看不够，非要演一出？,0,2020-05-23 00:47
https://weibo.cn//u/6400989063,嗯好都随便吧,女,其他,1395,746,69,在？凭什么把女朋友说成朋友？把强奸案说成发生性关系？,0,2020-05-22 02:17
https://weibo.cn//u/7277172269,柠檬88867,女,其他,0,53,3,回复@深圳公安:随便看一下那位好jc,0,2020-05-21 20:49
https://weibo.cn//u/7437407171,荔枝苏打酒,女,山东,124,613,2,回复@西玻尔小姐:@中国警方在线 @中国妇女报 @中国警察网,0,2020-05-21 13:57
https://weibo.cn//u/7047923028,请您回炉重造,女,北京,119,227,1,回复@深圳公安:@深圳公安:调查失职警官,0,2020-05-21 11:33
https://weibo.cn//rico321,UrnotRica,女,海外,3864,296,154,回复@許光漢初恋男友:同性恋合法了再来报案哦！,0,2020-05-21 11:20
https://weibo.cn//rico321,UrnotRica,女,海外,3864,296,154,回复@深圳公安:渎职警察呢？,0,2020-05-21 11:19
https://weibo.cn//245649224,恶之白银,男,其他,443,95,238,回复@深圳公安:请处理失职警察！拒绝包庇！,0,2020-05-21 10:45
https://weibo.cn//245649224,恶之白银,男,其他,443,95,238,二百三十六条 强奸罪 以暴力、胁迫或者其他手段强奸妇女的，处三年以上十年以下有期徒刑。 奸淫不满十四周岁的幼女的，以强奸论，从重处罚。 强奸妇女、奸淫幼女，有下列情形之一的，处十年以上有期徒刑、无期徒刑或者死刑：5、致使被害人重伤、死亡或者造成其他严重后果的。,0,2020-05-21 10:45
https://weibo.cn//u/2827230705,不做多愁善感的双鱼座,男,广东,569,797,146,回复@許光漢初恋男友:还会对你说什么强暴强暴，都是自愿的，然后直接给你结案。,0,2020-05-20 23:53
https://weibo.cn//u/2827230705,不做多愁善感的双鱼座,男,广东,569,797,146,回复@jogurto:到底是怎么招的警察，什么屁话都说，一点法律意识没有么，和盲流子有什么区别？打黑除恶搞半天听他们说这些臭话的。,0,2020-05-20 23:52
https://weibo.cn//u/2827230705,不做多愁善感的双鱼座,男,广东,569,797,146,回复@深圳公安:啥事都靠微博了，呵呵，拿着纳税人的钱不干人事。,1,2020-05-20 23:51
https://weibo.cn//u/5348729959,jiangcheng的小可爱,男,福建,1413,701,44,说让同性恋合法了再来报案的警察是谁？！？！？！我们想认识一下！！！！,0,2020-05-20 19:23
https://weibo.cn//u/5837786287,阿斯顿维拉17869,男,其他,27,369,54,去查查，看看深圳公明交警开宝马撞死退役武警，3年就假释出来，又迷奸女性的案子就不觉得稀奇了。警察改革迫在眉睫，不得不说太黑了。,0,2020-05-20 13:06
https://weibo.cn//u/6970737239,吻你湿淋淋的眼尾,女,上海,6,465,9,回复@深圳公安:渎职警察呢？,2,2020-05-20 12:47
https://weibo.cn//u/5837786287,阿斯顿维拉17869,男,其他,27,369,54,回复@深圳公安:不调查一下万丰派出所的那帮不作为的黑警？,2,2020-05-20 12:41
https://weibo.cn//u/7333565438,柠檬汁吴,女,广东,31,381,3,回复@深圳公安:视而不见，不作为，太失望了，深圳警察也就这样了,0,2020-05-20 09:18
https://weibo.cn//u/5262239605,枯眉头,女,湖南,418,417,311,强奸犯法 ,0,2020-05-20 06:46
https://weibo.cn//u/1961028631,偶尔熬夜的大学生,女,福建,39,354,130,回复@深圳公安:好公关的回答啊,0,2020-05-20 00:50
https://weibo.cn//u/5079202686,liuwentingchina,男,新疆,154,1608,25,回复@深圳公安:希望处理这件事件,2,2020-05-20 00:27
https://weibo.cn//u/5603315539,云唧唧唧唧,男,广东,8649,944,163,请曝光那个说出“等同性恋合法再来找法律保护”这种屁话的民警 等一个处理结果,0,2020-05-19 20:27
https://weibo.cn//u/6535145197,joyyyhhj,女,重庆,333,105,29,回复 ,7,2020-05-19 20:03
https://weibo.cn//u/2636298050,绿灯请暂停,男,广西,141,112,427,赶紧调查强奸案吧 别一天天发那么多微博,0,2020-05-19 19:10
https://weibo.cn//u/3019752557,Adamstree,男,北京,626,173,202,视而不见，听而不闻。,0,2020-05-19 18:49
https://weibo.cn//u/5417586496,WJSN的十三吹,女,河北,2286,211,99,处理一下?,0,2020-05-19 18:27
https://weibo.cn//u/5417586496,WJSN的十三吹,女,河北,2286,211,99,hello?,0,2020-05-19 18:27
https://weibo.cn//u/5417586496,WJSN的十三吹,女,河北,2286,211,99,??? ,0,2020-05-19 18:25
https://weibo.cn//u/5417586496,WJSN的十三吹,女,河北,2286,211,99,在?处理一下，听说你们让人赔钱给强奸犯 ,3,2020-05-19 18:24
https://weibo.cn//u/5417586496,WJSN的十三吹,女,河北,2286,211,99,麻烦处理一下,1,2020-05-19 18:23
