评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1823989157,xx姨母笑ww,女,广东,2845,743,275,美国人智商？这种谣言还要认真回复,6,2020-08-17 12:05
https://weibo.cn//btyjx,Arsalany,男,黑龙江,656,750,507,口罩里的金属丝能接电话！,6,2020-08-17 12:15
https://weibo.cn//u/6318505236,Dianawo,女,香港,763,148,43,戴口罩了，阻挡了灰尘病毒……不会咽喉炎了。以前不会长痘的，戴口罩就闷痘痘,3,2020-08-17 12:44
https://weibo.cn//u/2020763597,手机用户苦聊,男,其他,406,81,47,三岁智力,0,2020-08-17 13:33
https://weibo.cn//u/1948483321,惊羽c,男,河北,3485,951,740,回复@19900401中山:医学专业不会这样吧,0,2020-08-17 13:11
https://weibo.cn//u/1948483321,惊羽c,男,河北,3485,951,740,回复@19900401中山:外国人好像对地理历史都是选科吧,0,2020-08-17 13:10
https://weibo.cn//u/1948483321,惊羽c,男,河北,3485,951,740,回复@19900401中山:因为偏科,0,2020-08-17 13:09
https://weibo.cn//u/6318505236,Dianawo,女,香港,763,148,43,戴口罩了，阻挡了灰尘病毒……不会咽喉炎了。以前不会长痘的，戴口罩就闷痘痘,3,2020-08-17 12:44
https://weibo.cn//u/1768731354,MC坚尼,男,广东,221,276,126,天才的想法，如果这个创意可以商用就好了,0,2020-08-17 12:34
https://weibo.cn//u/1338173357,19900401中山,男,广东,490,58,136,大多数美国人知识水平连小学生都不如 90%是文盲级别的人 所以为什么美国人的99%的财富集中在1%的人手里,0,2020-08-17 12:33
https://weibo.cn//u/1841995663,云里的风过邺南,男,河南,7262,450,233,这智商，辟谣也没卵用！,0,2020-08-17 12:26
https://weibo.cn//agja,獐白给,男,其他,141,111,128,@迷惑行為大賞,0,2020-08-17 12:24
https://weibo.cn//u/5987759898,临祈002,男,浙江,24,110,16,被害妄想症？,0,2020-08-17 12:16
https://weibo.cn//btyjx,Arsalany,男,黑龙江,656,750,507,口罩里的金属丝能接电话！,6,2020-08-17 12:15
https://weibo.cn//huahuodyw,星辰大亚湾,男,广东,9754,2385,13373,碟中谍看多了,0,2020-08-17 12:09
https://weibo.cn//234088983,朕让你们火,男,河南,10985,559,203297,     举报             赞[0]         回复             2020-08-17 12:08:48 来自网页,0,2020-08-17 12:08
https://weibo.cn//u/2272619505,小小小小的羔羊,女,广东,4327,698,271,这智商！,0,2020-08-17 12:06
https://weibo.cn//u/1823989157,xx姨母笑ww,女,广东,2845,743,275,美国人智商？这种谣言还要认真回复,6,2020-08-17 12:05
