评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1780980020,六月无船歌,女,湖南,2086,184,123,检测不是好事吗？不检测才要恐慌吧,14,2020-04-10 11:34
https://weibo.cn//yolandalyme,维维紫苏的ETF,女,广东,4569,242,358,那和什么有关，你到是说清楚啊？说一半，不说一半，郁闷,14,2020-04-10 11:49
https://weibo.cn//u/1823445965,有我要的,男,广东,26041,293,238,卫健委公布九百余人，网上说百余人，确实是谣言,4,2020-04-10 12:14
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,辟谣｜立交桥下“排长龙”核酸检测？假的！,0,2020-04-11 08:53
https://weibo.cn//u/1054984855,銀河系公民RX,男,其他,3,96,91,强烈建议把发图和传谣的人找出来，同意的点我！！！,0,2020-04-10 16:24
https://weibo.cn//yaerlong,呀二龙,男,河南,1753,629,353,回复@六月无船歌:主要是怕交叉感染吧，检测前也要做好防护的,0,2020-04-10 15:59
https://weibo.cn//u/2133431181,他们说的朋友就是我啦,男,广东,69,47,2225,谣言不抓？都有聊天记录了,0,2020-04-10 12:36
https://weibo.cn//u/2431938927,子小娴-,女,香港,82,88,213,深卫健官博好惨，不管发什么都被骂,4,2020-04-10 12:21
https://weibo.cn//u/2635041510,竹哨子,男,广东,1927,34,249,抓吧，光辟谣没用，得让那些想搞事情和张嘴就来的人付出点代价,0,2020-04-10 12:16
https://weibo.cn//u/1823445965,有我要的,男,广东,26041,293,238,卫健委公布九百余人，网上说百余人，确实是谣言,4,2020-04-10 12:14
https://weibo.cn//u/2580236555,无名MYC,男,广东,1652,611,510,回复@六月无船歌:吃饭怎么戴口罩,0,2020-04-10 12:09
https://weibo.cn//u/1780980020,六月无船歌,女,湖南,2086,184,123,回复@无名MYC:那你真该去看看商场取号排队吃饭的人，吃饭还不戴口罩还是室内,0,2020-04-10 12:00
https://weibo.cn//u/1897580432,riverDON2020,男,其他,90,120,114,回复@无名MYC:嗯，如果真要排成这样，是要批评一下，怎么不实行预约制啊，太不示范区了,0,2020-04-10 11:59
https://weibo.cn//u/7196093853,Haku47,女,其他,974,129,68,图上说100多人也不算谣言啊？,2,2020-04-10 11:51
https://weibo.cn//u/2580236555,无名MYC,男,广东,1652,611,510,回复@六月无船歌:全部排队检测好事,0,2020-04-10 11:50
https://weibo.cn//yolandalyme,维维紫苏的ETF,女,广东,4569,242,358,那和什么有关，你到是说清楚啊？说一半，不说一半，郁闷,14,2020-04-10 11:49
https://weibo.cn//u/2639912252,何春华-影相佬,男,广东,2701,552,89,就算是，我们也不恐慌啊。,0,2020-04-10 11:45
https://weibo.cn//iceabby,_可愛就是正義,女,海外,1222,391,1261,回复@第貮个十字路口:和网友造谣有关啊,0,2020-04-10 11:41
https://weibo.cn//u/1894574050,第貮个十字路口,男,广东,5911,237,331,又不说和啥有关，既然澄清就做到位。,4,2020-04-10 11:37
https://weibo.cn//u/6226070328,减肥可以换头,男,广东,154,76,47,问题是核酸准确率太低,0,2020-04-10 11:37
https://weibo.cn//u/1897580432,riverDON2020,男,其他,90,120,114,回复@六月无船歌:别把轮子和🐸想的太聪明,0,2020-04-10 11:36
https://weibo.cn//u/5239197658,香叶xls,女,广东,4522,1851,466,作为正常人，谁都有想象力，猜测不是造谣！！！,0,2020-04-10 11:35
https://weibo.cn//u/1780980020,六月无船歌,女,湖南,2086,184,123,检测不是好事吗？不检测才要恐慌吧,14,2020-04-10 11:34
