评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1640824465,小李子9527,男,湖北,18,408,50,我是武汉人，我妈妈在华中科技大学同济医院光谷院区，发烧肺炎十几天了，还是门诊，不给确诊结果，不给住院，不给隔离，,399,2020-01-21 22:42
https://weibo.cn//hellenzheng,好正好好,女,广东,67,300,841,建议深圳政府在机场、高铁站、地铁站、各大公园、商场等人群密集处以及各医院、门诊、社康中心设立口罩发放点实施向市民实名制免费限量发放口罩。（为避免有人倒卖，建议实行刷身份证限量领取）,71,2020-01-21 21:14
https://weibo.cn//youaretheapple,妈妈米米哄咕咕嘎嘎,女,其他,18109,965,944,请问可以像重庆那样公布患者所在区吗？（非杠真诚求问,37,2020-01-21 22:22
https://weibo.cn//u/2954638945,我爱祖国YY13,女,重庆,373,1346,1539,回复@中医Ro博士:谢谢，这两天气管发痒，呼吸难受，估计是流感，开始吃的银翘解毒颗粒加川贝枇杷膏，感觉效果不大，看了你这个微博后，我改吃板蓝根加感冒清和麻杏糖浆，有明显好转，呼吸好多了,0,2020-01-25 22:15
https://weibo.cn//u/1364384662,中医Ro博士,男,上海,255,146,492,回复@我爱祖国YY13:恐怕效果一般，因为从临床表现来说不对症,0,2020-01-24 16:01
https://weibo.cn//u/2954638945,我爱祖国YY13,女,重庆,373,1346,1539,回复@中医Ro博士:银翘解毒颗粒有效没有？,0,2020-01-24 15:53
https://weibo.cn//u/1345200083,北京楼少,男,北京,14473,2156,333995,转需。,0,2020-01-23 16:21
https://weibo.cn//u/5332047436,0坚果核0,男,北京,46,183,433,我就想看看这几条到最后有几条打脸的,0,2020-01-23 01:30
https://weibo.cn//u/6460852847,张雅6460852847,女,山西,71,32,15,回复@鹿茸茸三岁辣:你这还不是觉得我闲的能时时回微博不正常吗，我给哪个医护人员招黑了。谁告诉你医护人员都忙的不得了了，我不在武汉，我们这没有疑似病例，相关科室严阵以待，其它科室正常工作。我利用休息时间回个微博都要被你说卫生系统怎么这么闲，行，我也不说了，免得你到处说这种时候卫生系统还有人挺闲。,0,2020-01-23 00:08
https://weibo.cn//u/3170242181,拍照小哥星辰,男,北京,1203,618,855,吸烟预防感染这个……智商呢     举报             赞[1]         回复             2020-01-22 22:57:54 来自网页,1,2020-01-22 22:57
https://weibo.cn//u/6189819412,Tone冷瞳,男,其他,145,121,10,回复@离开时不要挽留:爸爸在武汉呢,0,2020-01-22 21:51
https://weibo.cn//u/2213055792,一只鹿啦噜,女,北京,133,372,798,回复@张雅6460852847:你这被害妄想症吧，医护人员该轮换轮换该休息休息，我那句话说过要累死累活不休息。你别给医护人员招黑，医护人员都忙的不停，你在这里时时回微博厉害。,0,2020-01-22 21:30
https://weibo.cn//u/6460852847,张雅6460852847,女,山西,71,32,15,回复@鹿茸茸三岁辣:不好意思，和我的本职工作关系不大，而且今天我调休。你意思是我们都累死累活得就好，轮到我值班我会认真负责，需要调整我到困难岗位我也会服从。私人时间纠正网友的错误认知也是做贡献。要不你教教我该干什么。,0,2020-01-22 21:19
https://weibo.cn//u/6588354339,琯葶,女,新疆,4112,197,148,回复@鹿茸茸三岁辣:你凭什么怼人家“卫生系统的人还有时间在这和别人喷”卫生系统的人怎么了，评论怎么了，解释怎么了，她不能休息不能上微博吗，她说的也可能不是实情，你凭什么把人家的评论叫喷，凭什么不让人家解释,0,2020-01-22 21:05
https://weibo.cn//u/2213055792,一只鹿啦噜,女,北京,133,372,798,回复@琯葶:？？你有病就去看病。我什么时候说过要看到瞒报？你怎么确定他说的就是实情？看国家实时更新注意防护不行么？听这个听那个？你打除皱剂了吧。,0,2020-01-22 20:45
https://weibo.cn//u/6588354339,琯葶,女,新疆,4112,197,148,回复@鹿茸茸三岁辣:别人解释一下咋了，人家没有解释的权利吗，你比她更了解吗，你到底是多想看到那些瞒报的事情发生,0,2020-01-22 20:20
https://weibo.cn//u/2213055792,一只鹿啦噜,女,北京,133,372,798,回复@豆芽毛毛菜:估计医院有床位资源医生都是有上限的,0,2020-01-22 19:25
https://weibo.cn//u/2213055792,一只鹿啦噜,女,北京,133,372,798,回复@七零年代2001:这个是人性考验杜绝清楚不完的,0,2020-01-22 19:24
https://weibo.cn//u/2213055792,一只鹿啦噜,女,北京,133,372,798,回复@张雅6460852847:你是卫生系统还有时间在这里跟别人互喷,0,2020-01-22 19:24
https://weibo.cn//u/5533992861,全网热播视频,男,广东,842,385,125054,回复@啵想吃洋肉:这么严肃的事情你竟然笑？,0,2020-01-22 19:09
https://weibo.cn//u/6377746348,明天会下宇吗,女,福建,7297,239,628,回复@全网热播视频:作揖让我不合时宜地笑出了声..,0,2020-01-22 18:56
https://weibo.cn//u/5581040124,胡阳阳要成功,女,湖北,778,424,158,回复@小李子9527:目前不是所有医院都有试剂盒，都不能确诊的，只有金银潭医院等几家医院又确诊。,0,2020-01-22 16:51
https://weibo.cn//u/6460852847,张雅6460852847,女,山西,71,32,15,回复@北区灬MT:卫生系统人告诉你，谁都不敢瞒报，为什么要瞒报？领导脑子全都有坑吗？政府内部下对上不会瞒报，政府对公众也不会瞒报。听风就是雨不好,0,2020-01-22 16:46
https://weibo.cn//u/6460852847,张雅6460852847,女,山西,71,32,15,回复@七零年代2001:我是卫生系统的，你这基本是想当然。可能存在个别脑子进水的领导，但好多绝对是夸张。,0,2020-01-22 16:43
https://weibo.cn//u/1098862025,离开时不要挽留,男,湖北,457,136,178,回复@Tone冷瞳:那你去举报吧，你比我更了解情况，你高兴就好,0,2020-01-22 16:26
https://weibo.cn//u/6189819412,Tone冷瞳,男,其他,145,121,10,回复@离开时不要挽留:造谣一张嘴,0,2020-01-22 16:15
https://weibo.cn//u/2542110111,时间周期,男,其他,550,338,157,回复@离开时不要挽留:刚开始的认知确实就是“没有人传人的证据”、“不排除人传人的可能”。少在那春秋笔法根本没有说“不会人传人”,2,2020-01-22 15:45
https://weibo.cn//u/2542110111,时间周期,男,其他,550,338,157,回复@小李子9527:造谣一张嘴,3,2020-01-22 15:43
https://weibo.cn//u/5532069998,在下狗剩1,男,辽宁,286,230,118,@孙万元Sky,0,2020-01-22 15:08
https://weibo.cn//u/2944735341,雙眸WilliamCh,女,海外,41,73,52,     举报             赞[0]         回复             2020-01-22 15:05:11 来自网页,0,2020-01-22 15:05
https://weibo.cn//u/6021567652,荣宝的小n狗,男,山东,15,101,53,第三个，没有检测发现是没有对蝙蝠做过检测而没有发现病毒寄宿，还是检测过了但是没有发现呢？ 故意说的这么模棱两可，混淆视听？？？,0,2020-01-22 14:56
https://weibo.cn//u/5319591328,一只猪砸,女,海外,17,350,82,回复@ooshining-94:我觉得假,1,2020-01-22 14:45
https://weibo.cn//u/1364384662,中医Ro博士,男,上海,255,146,492,回复@中医Ro博士:综上所述，我说板蓝根对抗新型肺炎有效，因为我有文献依据（临床依据就不说了），并且贴了出来，请问贵委认定板蓝根无效的依据是什么？,0,2020-01-22 14:31
https://weibo.cn//u/1364384662,中医Ro博士,男,上海,255,146,492,回复@中医Ro博士:小鼠腹腔注射板蓝根多糖，可显着促进小鼠免疫功能。白细胞总数及淋巴细胞数，对氢化可的松所致免疫功能抑制小鼠脾指数、白细胞总数和淋巴细胞数的降低有明显对抗作用，板蓝根多糖还能明显增强抗体形成细胞功能——摘自《中华本草》。请问卫健委，你们说板蓝根无效的文献依据是什么?,0,2020-01-22 14:31
https://weibo.cn//u/1364384662,中医Ro博士,男,上海,255,146,492,板蓝根煎剂治疗非典型性肺炎、流行性脑脊髓膜炎、白喉，用板蓝根配合大青叶、羌活治疗上呼吸道感染，用板蓝根肌肉注射治疗带状疱疹、单纯疱疹及流行性腹泻等，均有不同程度的疗效——摘自《中药大辞典》,2,2020-01-22 14:30
https://weibo.cn//u/6128171040,一块痒痒肉哦,女,其他,213,546,45,，,0,2020-01-22 14:29
https://weibo.cn//u/5589900946,ooshining-oo,女,其他,7589,407,105,回复@小李子9527:17条微博最近一条15年的 ？？？？？？,4,2020-01-22 14:19
https://weibo.cn//u/2384937925,LFM范范,男,内蒙古,785,308,332,强烈建议在初高中生物书里加入医学基础选修，这tm都哪跟哪啊,2,2020-01-22 14:13
https://weibo.cn//u/5658333106,zkdAli,女,北京,5046,602,782,回复@小李子9527:这样也太。。？,1,2020-01-22 13:47
https://weibo.cn//u/1963962164,囍歡田小孩,女,海外,17786,537,0,我爸刚就说他有抽烟，不要紧的，我。。。[黑線]赶紧给他看看！,0,2020-01-22 13:29
https://weibo.cn//u/6178796146,ab26289,男,其他,6,158,16,那该怎么预防？,0,2020-01-22 13:24
https://weibo.cn//u/5533992861,全网热播视频,男,广东,842,385,125054,转：今年春节须知，求扩散 新型病毒没有疫苗，所以个人防护很重要 出门戴口罩， 别去凑热闹， 洗手勤开窗， 少吃多睡觉， 拜年莫握手， 作揖足够了， 飞吻或飞眼， 千万别拥抱， 各位请记牢， 健康最重要！ ,0,2020-01-22 12:47
https://weibo.cn//u/7168211830,七零年代2001,男,其他,0,88,1,回复@小李子9527:现在的好多医生和有关领导，一点责任心，和公益爱心都没有，大多都是为了自己的利益和前程，谎报瞒报疫情，中央应该对这的医领导清除医院，让有责任心和爱心的好医生去领导！,2,2020-01-22 12:42
https://weibo.cn//u/6575610469,紧急改名防止sj,男,广东,2442,386,75,回复@小李子9527:卧槽,0,2020-01-22 12:28
https://weibo.cn//u/6609101289,你好and我好end,女,山东,23,121,64,头几条是不是谣言有什么意义？后几条才有用,0,2020-01-22 11:51
https://weibo.cn//u/2286780195,Hey_88,女,其他,0,547,128,商场上班没有要求戴口罩，上班的人瑟瑟发抖,0,2020-01-22 11:51
https://weibo.cn//u/1707013062,Ulrica-0-,女,其他,231,66,23,对嘛 为给出正解点赞,0,2020-01-22 11:19
https://weibo.cn//bboymaomao,大长腿蹬三轮,男,福建,9,3,501,每次谣传都有板蓝根和醋,2,2020-01-22 11:03
https://weibo.cn//u/6693043713,豆芽毛毛菜,女,河南,1689,150,40,确定？难道不能直接去金银潭医院吗,6,2020-01-22 11:01
https://weibo.cn//u/5581717885,白石玉翠,女,山东,1111,379,146,我爸在朋友圈看到吃香蕉可以预防，😓我估计香蕉马上要涨价……,1,2020-01-22 10:56
https://weibo.cn//u/1935412825,糖包儿IRIS,女,上海,1539,642,425,目前此次新型冠状病毒感染肺炎扩散形势不容乐观，又逢国内春运，巨大的公共交通压力和大规模人口流动无疑是给疫情雪上加霜，请问是否能在交通运输过程中为飞机客舱、列车车厢、地铁车厢、公交车等人员密集的封闭空间进行定时消毒液喷洒以降低病毒感染风险。不知是否有效，只是个人一点建议和想法。,1,2020-01-22 09:53
https://weibo.cn//u/5668961639,July的Jackson,女,浙江,39,56,51,真实的话顶顶顶！！！,0,2020-01-22 09:43
https://weibo.cn//ruanjialin,末辞菇凉,女,浙江,1154,122,180,回复@隳巧克力:,0,2020-01-22 09:30
https://weibo.cn//u/5912519157,我是艾三水,女,湖北,368,99,78,@人民日报,1,2020-01-22 09:04
https://weibo.cn//u/2010316277,CQL零,女,广东,572,1171,345,深圳不是有8例了为什么感觉全城没有一点防御措施,6,2020-01-22 08:46
https://weibo.cn//u/5395329412,DuaiHan1020,男,上海,264,465,158,那么谣言三这个表述没问题啊，不是谣言,0,2020-01-22 08:18
https://weibo.cn//u/2703575664,穆阁先生,男,浙江,87,40,2694,注意个人卫生和防护 尽量少去人群密集处 对疫情做到不传谣 不造谣 不煽动 不蛊惑 理性看待和评论 一切以权威官方部门发布为准,0,2020-01-22 08:16
https://weibo.cn//u/5702857850,德富堂蜜蜡,男,其他,2208,2284,582,5G通话小心，可能,0,2020-01-22 08:16
https://weibo.cn//u/1098862025,离开时不要挽留,男,湖北,457,136,178,回复@小李子9527:你妈妈的根本不是新冠状病毒肺炎,11,2020-01-22 07:30
https://weibo.cn//u/3655230430,狗勾美男,女,其他,4234,242,1298,回复@小李子9527:@人民日报,1,2020-01-22 07:29
https://weibo.cn//u/1726792513,helen范,女,广东,6725,1105,306,转发微博,0,2020-01-22 05:20
https://weibo.cn//u/5657095847,吃饺子不粘醋汁,女,浙江,207,387,226,回复@死磕王校长:没有特效药,0,2020-01-22 04:50
https://weibo.cn//u/5657095847,吃饺子不粘醋汁,女,浙江,207,387,226,回复@小李子9527:顶,0,2020-01-22 04:49
https://weibo.cn//kzisel766,1块灰色的巧克力,女,浙江,6215,680,265,@末辞菇凉,0,2020-01-22 03:48
https://weibo.cn//515412372,Archieeee_,男,上海,2595,415,302,第二天根本不是谣言吧 基因序列相似本来就是事实 只不过不代表致病性传染性高就是了,14,2020-01-22 02:20
https://weibo.cn//u/2944059745,LANA-33,女,广东,22,307,194,回复@小李子9527:顶上去@人民日报,3,2020-01-22 02:17
https://weibo.cn//u/2661286605,月亮已爬上来,女,其他,218,634,352,回复@小李子9527:不想说了,2,2020-01-22 02:12
https://weibo.cn//u/5698727401,甜酒糯米糕,女,海外,2967,512,199,回复@小李子9527:顶,1,2020-01-22 02:10
