评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//826556070,-临霁,女,广东,4231,1131,757,借楼，福田发布已声名～ ,7,2020-06-18 20:25
https://weibo.cn//iceabby,_可愛就是正義,女,海外,1222,391,1261,梅林那例福田发布已经辟谣了…大家不要惊慌,1,2020-06-18 20:23
https://weibo.cn//u/6858984871,或允星河,女,广东,130,148,36,梅林的辟谣了吗,1,2020-06-18 19:57
https://weibo.cn//u/5838188875,Luckyz_z,女,其他,85,128,104,回复@敢大喊三声徐工吗:辟谣了好吧,1,2020-06-18 21:19
https://weibo.cn//826556070,-临霁,女,广东,4231,1131,757,回复@-临霁:声明 才发现写了错别字,0,2020-06-18 21:06
https://weibo.cn//u/2282978050,我是有钱的少女,女,其他,0,52,190,回复@-临霁:,0,2020-06-18 21:05
https://weibo.cn//826556070,-临霁,女,广东,4231,1131,757,借楼，福田发布已声名～ ,7,2020-06-18 20:25
https://weibo.cn//iceabby,_可愛就是正義,女,海外,1222,391,1261,梅林那例福田发布已经辟谣了…大家不要惊慌,1,2020-06-18 20:23
https://weibo.cn//u/6858984871,或允星河,女,广东,130,148,36,梅林的辟谣了吗,1,2020-06-18 19:57
https://weibo.cn//u/2219338060,妄劫,女,广东,571,212,41,害，昨天我才坐了9号线,0,2020-06-18 18:58
https://weibo.cn//u/2845197637,表再盗了哈,女,广东,1887,164,232,同问，很急啊，在梅林上班瑟瑟发抖,3,2020-06-18 18:52
https://weibo.cn//u/2282132142,_廿想_,女,广东,1800,245,307,同问梅林谣传的案例！,10,2020-06-18 18:49
https://weibo.cn//lylabitchchan,Lyla要努力呀,女,广东,4926,361,388,噢,0,2020-06-18 18:48
https://weibo.cn//mounham,敢大喊三声徐工吗,男,广东,8631,453,634,回复@--肥你个橙:这个他没辟谣！,4,2020-06-18 18:48
https://weibo.cn//u/2472421224,--肥你个橙,男,广东,155,205,13,问下梅林有一例新病例是真的还是谣言呀,47,2020-06-18 18:40
