评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2161212512,susu赤木晴子,女,广东,790,1397,7092,那个司机为什么到处跑 为什么没有隔离 解释一下楼主,20,2020-12-03 00:50
https://weibo.cn//u/5935366979,白梦妍的小宝贝,男,其他,149,214,6,为什么不禁止香港司机入境！！！这不是第一次了！,10,2020-12-03 01:52
https://weibo.cn//u/5806586305,老钓鱼人咯咯,男,广东,7,13,20,对啊，疫苗不是有了，先把深港必须来往的人打了呀,7,2020-12-03 01:09
https://weibo.cn//xsnow,冲锋陷阵钱老师,男,广东,19894,426,1096,造谣都图啥啊。,0,2020-12-03 15:16
https://weibo.cn//ailybibi,化妆师Aily,女,广东,2710,551,1035,回复@漫画雪艳原创设计designer:冷静，不要慌,0,2020-12-03 12:01
https://weibo.cn//u/6436740006,一只兔糕,女,其他,2447,1208,125,回复@susu赤木晴子:对呀对呀，,0,2020-12-03 11:57
https://weibo.cn//u/2161212512,susu赤木晴子,女,广东,790,1397,7092,回复@亲爱的那就是爱情:搞不懂,0,2020-12-03 10:01
https://weibo.cn//u/2161212512,susu赤木晴子,女,广东,790,1397,7092,回复@你比从前快乐117:主要我们很难 都是上班的 很多企业 都受不了再一次 很多人因为疫情都没有回来深圳了 真的很难 其实抛开这些来说 身体也受不了  感染了后劲很大 很多并发症,0,2020-12-03 10:00
https://weibo.cn//u/2161212512,susu赤木晴子,女,广东,790,1397,7092,回复@画艺品厂家:他们现在很麻烦 过来还到处祸害别人,1,2020-12-03 09:57
https://weibo.cn//u/6224389229,画艺品厂家,女,其他,89,243,2,回复@susu赤木晴子:应该过深圳由深圳司机开车，人不过港，车过港,0,2020-12-03 09:56
https://weibo.cn//u/5586520383,屎萎,男,其他,144,53,19,香港返深的人为什么不集中隔离！还允许居家隔离呢？最近香港那边疫情爆发了啊！长长心吧！真出了事，一个都跑不掉。,0,2020-12-03 08:56
https://weibo.cn//u/7277899811,来自八月的风平凡,男,其他,1557,92,6,牛🐮B plus…深圳还没吸取上次港车司机的教训……,0,2020-12-03 08:38
https://weibo.cn//u/2161212512,susu赤木晴子,女,广东,790,1397,7092,回复@你比从前快乐117:太危险了,0,2020-12-03 08:32
https://weibo.cn//u/2161212512,susu赤木晴子,女,广东,790,1397,7092,回复@亲爱的那就是爱情:危险⚠️,0,2020-12-03 08:31
