评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,网传深圳口岸被挤爆？真实情况来了,0,2020-03-29 07:51
https://weibo.cn//u/6517847865,嗯抠,男,其他,234,890,99,回复 ,0,2020-03-29 10:13
https://weibo.cn//virginia53,Fiona-欢欢,女,广东,2014,119,459,回复@握住灰烬使者手微抖的泰瑞尔:不用辟谣，就是珠海的。,0,2020-03-29 09:40
https://weibo.cn//u/6297574508,ururjk,女,广东,457,53,176,回复@涧正载极恒河沙阿僧祇那由他:澳门人,0,2020-03-29 09:28
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,网传深圳口岸被挤爆？真实情况来了,0,2020-03-29 07:51
https://weibo.cn//u/2648485204,黄家的老4,女,广东,385,190,310,回复@肌肉阳刚:有啊 我看到的就是说深圳口岸的啊，深圳出来辟谣有什么不对？,0,2020-03-29 06:43
https://weibo.cn//u/1571567741,Ms丶溪诺,女,广东,9153,1600,343,听说有一个是珠海的口岸,0,2020-03-29 03:08
https://weibo.cn//u/1229379451,握住灰烬使者手微抖的泰瑞尔,男,北京,8367,1032,628,据说是珠海的？？？？平安珠海能出来辟谣下么,2,2020-03-29 02:41
https://weibo.cn//u/5113065675,涧正载极恒河沙阿僧祇那由他,男,海外,22305,801,38,回复@啦啦serena:谢谢告知,0,2020-03-29 01:09
https://weibo.cn//gua2010,啦啦serena,女,广东,4045,1383,665,回复@涧正载极恒河沙阿僧祇那由他:珠海横琴啊,1,2020-03-29 01:06
https://weibo.cn//u/5113065675,涧正载极恒河沙阿僧祇那由他,男,海外,22305,801,38,想知道视频究竟哪里的？我妈妈问我是不是有香港的人跑过来了，广州附近都在严查，问得我一头雾水，我妈妈她平时都不看电视不会用手机看新闻，知道的消息多数是口口相传，也就是说家附近的人都这样觉得的，如果是假的，那些视频传播居心为何,0,2020-03-29 00:46
https://weibo.cn//u/6077504226,回游的鹰,男,北京,61,149,63,都是担心受二茬罪,0,2020-03-29 00:44
https://weibo.cn//cadyzhao,麋鹿森林_,女,广东,3835,372,815,@纤纤是喻文州的女票,0,2020-03-29 00:38
https://weibo.cn//u/5903035935,123455tlFkn,男,其他,824,610,322,回复@深圳网警:谁在搞鬼？  挖挖。,1,2020-03-29 00:33
https://weibo.cn//u/2697350723,Daboss0679,女,江西,2087,346,124,回复@观世界2020:谢谢老哥，不过我是想问辟谣的，,0,2020-03-29 00:32
https://weibo.cn//dengwentao110,观世界2020,男,广东,3270,531,2550,回复@刘Rsong:澳门到珠海,0,2020-03-29 00:31
https://weibo.cn//blackmuscleguy,肌肉阳刚,男,吉林,28387,3571,5933,网上不都说是广东珠海澳门入口么?有人说是深圳么?,2,2020-03-29 00:28
https://weibo.cn//u/2697350723,Daboss0679,女,江西,2087,346,124,那是哪个口岸？,0,2020-03-29 00:27
https://weibo.cn//u/6273233744,宇宙帅哥联盟萌主,女,其他,276,239,76,所以，视频是哪里的？,0,2020-03-29 00:25
https://weibo.cn//u/7313129508,肖战小迷妹Day_TOy,女,河南,2282,154,47,能不能把散布谣言的人抓起来啊，天天都是各种谣言，国家怪不容易的,1,2020-03-29 00:24
https://weibo.cn//szbmzx,深圳网警,男,广东,35973,1573,1186281,回复@观世界2020:深圳湾口岸实时视频看这里 http://t.cn/A6ZtnIhi,3,2020-03-29 00:19
https://weibo.cn//u/6426742297,传说叱咤风云,男,广东,48,146,168,回复@深圳网警:一看就不是深圳湾口岸，深圳好歹也是北上广深一线，怎么可能会闯关,0,2020-03-29 00:14
https://weibo.cn//u/6155013568,睡姿提高智商,男,广西,22,75,10,回复@观世界2020:给你把尿不湿换了再给你把饭喂了是这意思吗？,3,2020-03-29 00:13
https://weibo.cn//dengwentao110,观世界2020,男,广东,3270,531,2550,这视频在国外疯传,0,2020-03-29 00:08
https://weibo.cn//dengwentao110,观世界2020,男,广东,3270,531,2550,问题是不是深圳口岸也得告诉大家是哪里啊有图有视频，隐匿不掉的！没必要怕别人说啥是就是不是就告诉全国人！不真实报道，外国等会就马上黑中国了,4,2020-03-29 00:06
https://weibo.cn//szbmzx,深圳网警,男,广东,35973,1573,1186281,深圳湾口岸实时视频请看这里,7,2020-03-29 00:05
https://weibo.cn//szbmzx,深圳网警,男,广东,35973,1573,1186281,回复@嗯抠:还有这条网传深圳口岸被挤爆了？刚刚，官方发布声明,1,2020-03-29 00:01
https://weibo.cn//u/1935627520,ShmilY_懒蛇,女,广东,219,786,269,     举报             赞[0]         回复             2020-03-29 00:00:26 来自网页,0,2020-03-29 00:00
https://weibo.cn//szbmzx,深圳网警,男,广东,35973,1573,1186281,回复@嗯抠:深圳湾口岸实时情况的视频请看这里辟谣！网传所谓“深圳口岸通关异常”情况不实！,1,2020-03-29 00:00
https://weibo.cn//u/1477577083,种花家幸福并感激的小兔兔,女,其他,3298,190,230,回复@等想好了再改昵称叭:不迷啊，人家胖深是深圳的又不是珠海的,3,2020-03-28 23:59
https://weibo.cn//u/7318764417,我是大迷糊蛋蛋,女,广东,3204,495,301,警察蜀黍，請問一下香港出关強制隔離14天這一条例到什麼時候结束,2,2020-03-28 23:59
https://weibo.cn//u/6517847865,嗯抠,男,其他,234,890,99,那现在深圳口岸的图片呢,1,2020-03-28 23:59
https://weibo.cn//u/5448894801,wosile02,女,其他,821,170,80,不是广东珠海横琴口岸？ 这样的报道很迷惑啊,7,2020-03-28 23:56
