评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2724053642,二次元的二,男,北京,406,489,274,得了得了，2030年也吃不完……,0,2020-04-10 18:35
https://weibo.cn//u/5602908965,Love相互的,女,广东,552,523,153,有病,0,2020-04-10 18:35
https://weibo.cn//u/5218850807,凤翔的居酒屋,男,其他,800,133,35,日本核泄漏哪年的盐我寻思还没吃完呢……谣言害人,0,2020-04-10 18:34
https://weibo.cn//u/2722035457,爱杨煤碳爱浦浦,女,广东,4286,1189,460,我就好奇，2003年抢的盐吃完了吗？！,0,2020-04-10 23:33
https://weibo.cn//u/6126611598,东风醉小楼,女,其他,964,750,315,非典那年我妈抢的盐腌了好几缸鸡蛋都没用完，还是我让抢的,0,2020-04-10 20:13
https://weibo.cn//u/2015845173,一个来自未来的人,女,其他,302,82,142,回复@越疯无闩:那一年没有双黄连,0,2020-04-10 19:52
https://weibo.cn//u/5192234187,秋姐诶,女,浙江,49,127,9,这么多，抢来当饭吃吧？,0,2020-04-10 19:31
https://weibo.cn//u/2572987277,我有一个修行梦,男,广东,506,196,165,民智未开,0,2020-04-10 19:27
https://weibo.cn//u/1885087414,酒乡宜人,男,其他,15,76,114,非典囤的盐刚好吃完，这不再买点新鲜的盐囤着,0,2020-04-10 19:15
https://weibo.cn//qhzsk1991,我想我是爱琴海,男,其他,2546,303,237,青海省的盐湖中国人能吃几万年没问题,0,2020-04-10 19:13
https://weibo.cn//u/7284272489,越疯无闩,男,其他,290,84,32,回复@一个来自未来的人:完了，你抢双黄连了,0,2020-04-10 19:11
https://weibo.cn//u/1847446104,林俊4878,男,广东,1694,80,350,     举报             赞[0]         回复             2020-04-10 19:03:00 来自网页,0,2020-04-10 19:03
https://weibo.cn//u/1888803443,蓝波神,男,湖北,639,1059,182,韭菜们科学素养为0，常识也不够，经常抢购笑话,0,2020-04-10 18:57
https://weibo.cn//u/1845439470,种花家的小钱钱呢,男,其他,4498,385,445,     举报             赞[0]         回复             2020-04-10 18:53:06 来自网页,0,2020-04-10 18:53
https://weibo.cn//u/1041024141,goatd,男,湖南,370,552,188,造谣的坏，信谣的蠢！,0,2020-04-10 18:47
https://weibo.cn//u/5742573123,僧与憎,男,其他,523,331,115,这也能有人信，醉了,0,2020-04-10 18:46
https://weibo.cn//u/1824162090,ivana55,女,江苏,1557,1471,134,回复@一个来自未来的人:我也没抢,0,2020-04-10 18:45
https://weibo.cn//nic1990,小笨观世界,男,广东,9720,216,1999,🙃🙃🙃🙃,0,2020-04-10 18:42
https://weibo.cn//u/2015845173,一个来自未来的人,女,其他,302,82,142,报告 那一年我没抢盐没抢板蓝根 ,0,2020-04-10 18:37
https://weibo.cn//szbmzx,深圳网警,男,广东,35973,1573,1186274,回复@Love相互的:造谣害人,0,2020-04-10 18:36
https://weibo.cn//u/5780502212,静善若水139,女,广东,60322,1132,1336,无语,0,2020-04-10 18:36
https://weibo.cn//szbmzx,深圳网警,男,广东,35973,1573,1186274,回复@二次元的二:吃多盐还要喝水,0,2020-04-10 18:36
https://weibo.cn//u/2724053642,二次元的二,男,北京,406,489,274,得了得了，2030年也吃不完……,0,2020-04-10 18:35
https://weibo.cn//u/5602908965,Love相互的,女,广东,552,523,153,有病,0,2020-04-10 18:35
https://weibo.cn//szbmzx,深圳网警,男,广东,35973,1573,1186274,回复@凤翔的居酒屋:乱传播，辟谣跑断腿,0,2020-04-10 18:34
https://weibo.cn//u/5218850807,凤翔的居酒屋,男,其他,800,133,35,日本核泄漏哪年的盐我寻思还没吃完呢……谣言害人,0,2020-04-10 18:34
