评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5544117149,奶盖有点酸,男,安徽,584,157,316,卧槽，我村部还通知让我们躲家里躲避消毒药,0,2020-01-27 03:12
https://weibo.cn//u/5544117149,奶盖有点酸,男,安徽,584,157,316,卧槽，我村部还通知让我们躲家里躲避消毒药,0,2020-01-27 03:12
https://weibo.cn//200w,菠萝啤啤田,男,海外,8181,1358,718,昨晚下雨，不知道雨水会不会带病毒，求答案。,1,2020-01-27 02:01
https://weibo.cn//chenchen363,风的唏语,男,广东,1569,235,117,记得转发各大家族群     举报             赞[0]         回复             2020-01-27 01:33:48 来自网页,0,2020-01-27 01:33
https://weibo.cn//u/1571567741,Ms丶溪诺,女,广东,9153,1600,343,今天看到的是，广州下午四点到四点半撒,0,2020-01-27 01:28
https://weibo.cn//u/1775731277,深圳雪瑞珠宝陈木偶,男,广东,8851,506,1390,抓起来掌嘴。,0,2020-01-27 00:53
https://weibo.cn//szbmzx,深圳网警,男,广东,35975,1573,1186321,回复@机械科技:,0,2020-01-27 00:46
https://weibo.cn//u/5359649949,十亿伏特_代号7061,男,重庆,8558,3198,3755,这样的言论说出来就是个笑话。,0,2020-01-27 00:42
https://weibo.cn//u/6960668100,武汉同胞们加油,男,其他,14,159,29,回复@武汉同胞们加油:看看这个吧,0,2020-01-27 00:34
https://weibo.cn//u/6960668100,武汉同胞们加油,男,其他,14,159,29,#中华思源工程扶贫基金会捐款使用存疑#,0,2020-01-27 00:34
https://weibo.cn//danghaoran1991,机械科技,男,山东,29085,733,2522832,大家不要以为喷洒消毒药水就可以随意出来，更何况这是谣言！,2,2020-01-27 00:33
