评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6060749415,扑街少年Mika,男,广东,406,90,337,造谣这个必须抓！,0,2020-02-06 05:52
https://weibo.cn//u/2364533771,可爱一毛一样,女,其他,11407,452,122,都tm什么时候了,0,2020-02-05 21:19
https://weibo.cn//u/5795102276,阳光明媚一九八四,男,江西,1178,595,142,回复@小包猪的铲屎官:是啊，他们感觉这是个千载难逢的机会，wall内wall外都是疯了一样的造谣，或者拼命放大每一个问题和案例。,0,2020-02-05 16:12
https://weibo.cn//524789631,-GUYVER-,男,广东,2801,87,518,期待合照,0,2020-02-05 16:01
https://weibo.cn//u/1652307975,种花兔兔家__DAYTOY禾贝儿,男,北京,70395,1347,2659,最近造谣的疯了吧，对造谣的人严查严惩,0,2020-02-05 14:46
https://weibo.cn//u/2565026593,小包猪的铲屎官,女,其他,955,124,622,轮子和八千疯了吧     举报             赞[8]         回复             2020-02-05 14:26:16 来自网页,8,2020-02-05 14:26
https://weibo.cn//wensmoke,如果我在闲逛提醒我去看程序书,女,香港,366,176,91,造谣，造成影响的应该负责任的。,0,2020-02-05 14:24
https://weibo.cn//606567576,逝风流影,男,广东,396,750,100,请网警大大，收了这些妖孽,0,2020-02-05 14:20
https://weibo.cn//u/5810167777,yoyo猪小猪,女,广东,155,1089,202,唯恐天下不乱！造谣的严惩！,0,2020-02-05 14:18
https://weibo.cn//jennifer82,咖啡胡豆,女,广东,2677,849,340,谣言满天飞  应该抓起来,0,2020-02-05 14:04
