评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2722035457,爱杨煤碳爱浦浦,女,广东,4286,1189,460,都不明白有些人是不是没长脑子，信这种，谁要是跟他说这是谣言还跟你急,8,2020-02-18 10:20
https://weibo.cn//u/7174933409,小曲在吃桃子喝百香果看旭哥,女,天津,2154,1958,452,不信谣不传谣,0,2020-02-18 21:01
https://weibo.cn//u/7271259125,太胖和太瘦,女,云南,2133,290,30,前天看到一个截图，这个叫微课铁汁的有好多微博小号，上面说他有2万个小号，听口气是个轮子，专门造谣的，这种人应该立马抓起来查。,4,2020-02-18 10:19
https://weibo.cn//flyinglike,想像飞,男,广东,2065,542,395,呵呵,0,2020-02-20 18:05
https://weibo.cn//u/5138213784,徐勇06572,男,其他,1,5,2,其她也不敢说啊,0,2020-02-19 18:31
https://weibo.cn//u/3478570135,V你好·,女,广东,6,101,53,网警察你好，我在微博买口罩被骗有什么办法吗，由于被骗数目不是很大报警也不能立案可以帮帮我吗,0,2020-02-19 06:48
https://weibo.cn//u/2722035457,爱杨煤碳爱浦浦,女,广东,4286,1189,460,回复@breakfast:你应该没有静静看完绵阳发的是什么,0,2020-02-18 21:22
https://weibo.cn//u/7174933409,小曲在吃桃子喝百香果看旭哥,女,天津,2154,1958,452,不信谣不传谣,0,2020-02-18 21:01
https://weibo.cn//xingzhihang555,星老师-深圳星知航学历提升入户,女,广东,989,1264,63183,积极维护网络健康～,2,2020-02-18 16:33
https://weibo.cn//u/7271259125,太胖和太瘦,女,云南,2133,290,30,回复@太胖和太瘦:难怪那么嚣张,0,2020-02-18 10:56
https://weibo.cn//abacomeflywithme,漩涡雏田,男,河北,196,276,239,回复@太胖和太瘦:这个比是境外,0,2020-02-18 10:33
https://weibo.cn//u/2722035457,爱杨煤碳爱浦浦,女,广东,4286,1189,460,都不明白有些人是不是没长脑子，信这种，谁要是跟他说这是谣言还跟你急,8,2020-02-18 10:20
https://weibo.cn//u/7271259125,太胖和太瘦,女,云南,2133,290,30,回复@太胖和太瘦:微客铁汁,0,2020-02-18 10:20
https://weibo.cn//u/7271259125,太胖和太瘦,女,云南,2133,290,30,前天看到一个截图，这个叫微课铁汁的有好多微博小号，上面说他有2万个小号，听口气是个轮子，专门造谣的，这种人应该立马抓起来查。,4,2020-02-18 10:19
https://weibo.cn//chunandarron,月悬所思,女,重庆,77777,585,1684,     举报             赞[1]         回复             2020-02-18 10:17:47 来自网页,1,2020-02-18 10:17
https://weibo.cn//u/6122135357,吃瓜围观的兔纸,女,其他,1603,472,1830,信的是傻子吧！不是我怂，我们国家可以有未知病毒，我们国家的医学在国际上都是大佬了，疫苗都不用进口了,2,2020-02-18 09:52
https://weibo.cn//u/5881003415,思奇朝禹,男,广东,1107,526,361,还有人相信国外的🌙比中国的圆，国外什么都比中国的好，基本断定不是没出过村儿就是收了钱。,3,2020-02-18 09:50
