评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//nic1990,小笨观世界,男,广东,9720,216,1999,打劫，把纸巾交出来 举报 赞[3] 回复 2020-02-18 09:03:34 来自网页,3,2020-02-18 09:03
https://weibo.cn//u/1041024141,goatd,男,湖南,370,552,188,真没纸，我就是用手也不会去抢！,0,2020-02-18 09:28
https://weibo.cn//u/1866686097,饭饭一kit,女,广东,2759,396,501,再次见识她们的没脑子，抢米抢油就算了，还抢纸巾，130条什么概念？我算她一个月用2条，也要用5年多。,1,2020-02-18 09:22
https://weibo.cn//u/7174933409,小曲在吃桃子喝百香果看旭哥,女,天津,2154,1958,452,打劫！！！深圳公安局的把深蜀黍给我,0,2020-02-18 21:45
https://weibo.cn//u/3717796797,噼里啪啦小花椒,女,海外,3,35,5,回复@ZDY一事一议:哈哈(ಡωಡ)hiahiahia,0,2020-02-18 10:36
https://weibo.cn//u/3717796797,噼里啪啦小花椒,女,海外,3,35,5,真的很烦这些人  现在又开始抢盐了……我节后回来连厕纸看一眼都木有  幸亏之前存了两条,0,2020-02-18 10:36
https://weibo.cn//nic1990,小笨观世界,男,广东,9720,216,1999,回复@深圳网警:一下子拿不了。先拿50卷！要维达的,0,2020-02-18 10:32
https://weibo.cn//u/6182687187,只浑水不摸鱼,男,广东,25228,6942,6377,超乎了大众的想法,0,2020-02-18 10:17
https://weibo.cn//u/3824910273,LucK路游人,男,其他,3303,197,470,     举报             赞[0]         回复             2020-02-18 09:52:08 来自网页,0,2020-02-18 09:52
https://weibo.cn//szbmzx,深圳网警,男,广东,35975,1573,1186305,回复@ZDY一事一议:……？,0,2020-02-18 09:46
https://weibo.cn//szbmzx,深圳网警,男,广东,35975,1573,1186305,回复@小笨观世界:,0,2020-02-18 09:45
https://weibo.cn//u/5092637816,自以为是的狂,男,广东,2829,656,274,香港这无处安放的屎💩啊！,0,2020-02-18 09:38
https://weibo.cn//u/2722035457,爱杨煤碳爱浦浦,女,广东,4286,1189,460,香港人的脑回路,0,2020-02-18 09:34
https://weibo.cn//u/2905667014,白云后面的蓝天sky,女,广东,113,197,316,打劫厕纸,0,2020-02-18 09:30
https://weibo.cn//u/1041024141,goatd,男,湖南,370,552,188,真没纸，我就是用手也不会去抢！,0,2020-02-18 09:28
https://weibo.cn//u/5884966054,葉菇凉1987,女,广东,6095,1613,878,回复@星宿小怪姜子芽:,0,2020-02-18 09:22
https://weibo.cn//u/1866686097,饭饭一kit,女,广东,2759,396,501,再次见识她们的没脑子，抢米抢油就算了，还抢纸巾，130条什么概念？我算她一个月用2条，也要用5年多。,1,2020-02-18 09:22
https://weibo.cn//u/2474272864,郑发言,男,广东,2992,890,445,IC IP IQ 卡，通通告诉我密码,0,2020-02-18 09:21
https://weibo.cn//u/5869952385,委员19870,女,河北,766,237,133,黄色经济圈呢？一堆厕纸都搞不定，还有脸搞经济独立？,0,2020-02-18 09:21
https://weibo.cn//u/5927307364,赤兔归去,女,台湾,2175,1298,1422,回复@葉菇凉1987:哈哈哈,0,2020-02-18 09:20
https://weibo.cn//u/3758989711,小桥流水117,女,其他,3839,430,249,人才啊,0,2020-02-18 09:12
https://weibo.cn//nic1990,小笨观世界,男,广东,9720,216,1999,打劫，把纸巾交出来     举报             赞[3]         回复             2020-02-18 09:03:34 来自网页,3,2020-02-18 09:03
https://weibo.cn//u/5884966054,葉菇凉1987,女,广东,6095,1613,878,深深,1,2020-02-18 09:03
https://weibo.cn//u/1885087414,酒乡宜人,男,其他,15,76,114,哎，说什么好呢，香港人秀智商,0,2020-02-18 09:02
