评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2898172787,兔子多多oo,女,其他,272,737,89,深胖你总算出来澄清了，昨天从下午到晚上，大家都无比担心谣言成实,17,2020-02-25 11:38
https://weibo.cn//u/1352174185,平常sz,男,广东,161,248,206,口罩捐给澳门就没意见，香港拿去蒙面打港警。你让深圳市民想得通吗？,47,2020-02-25 11:55
https://weibo.cn//sunsunzaizheli,就用来纪念吧,女,广东,2659,349,358,那深圳市政府每天给香港捐赠10Ｗ只口罩是不是真的,36,2020-02-25 11:36
https://weibo.cn//u/5941595649,erichchch,女,海外,15,332,54,"回复@tommyqqi:那些在湖北的""香港人”大多本身是內地人，後來拿了香港人身份的，一般香港仔很少去湖北。所以人真的有高低之分，這些內地人拿了香港身份，有專機接送，回港又有一萬元拿。命運真好",0,2020-03-03 00:32
https://weibo.cn//u/5607898659,雷雨转阳光,女,广东,1592,567,1021,回复@雷雨转阳光:愿早日康复，愿一切平安🙏🙏🙏,0,2020-02-28 15:36
https://weibo.cn//u/5607898659,雷雨转阳光,女,广东,1592,567,1021,谣言止于智者，目前有部分香港媒体在炒作此新闻,1,2020-02-28 15:35
https://weibo.cn//u/1854497762,我的花er,女,广东,935,505,439,@南瓜说不停,0,2020-02-27 10:41
https://weibo.cn//orangewind,B站黑粉头子,男,广东,631,604,1158,你们改名叫悉尼警察得了,0,2020-02-27 09:43
https://weibo.cn//u/2196305314,艾格斯-没有尾巴了,女,广东,22861,293,993,感谢辟谣,0,2020-02-27 08:07
https://weibo.cn//ccbeing,陈ccc要热爱生活,女,广东,7028,515,1169,请跟进南山区家暴事件,1,2020-02-27 01:18
https://weibo.cn//u/2118077707,小小心情自留地,女,广东,178,887,248,回复@密思Lau:那就好，不然真的气死了,0,2020-02-27 00:49
https://weibo.cn//u/6988319394,温柔的看顾着余年,女,广东,666,80,20,回复@FIND财富:放心，捐赠去的口罩不是随意发放的，港警和爱国港人需要啊,0,2020-02-26 22:00
https://weibo.cn//u/2792285437,大细肥主人,男,广东,95953,1406,24,回复@Tv_嘉惠:还是那句内地群众永远支持一国两制和港人治港,0,2020-02-26 21:47
https://weibo.cn//u/2792285437,大细肥主人,男,广东,95953,1406,24,一定要盯紧点香港碰瓷党、谣言党！这次让香港碰瓷党、谣言党看看内地群众如何手撒坏人的！,0,2020-02-26 21:46
