评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6738163290,Oos小狐狸soO,女,重庆,1671,196,88,不要吓我。。。 举报 赞[1] 回复 2020-06-18 19:48:20 来自网页,1,2020-06-18 19:48
https://weibo.cn//u/6457792009,iansanss,女,广东,326,152,38,我就住下梅林啊，幸好是谣言！今天小区的保安又开始测体温了，吓得我抖三抖！,0,2020-06-18 20:55
https://weibo.cn//u/2056190561,六米阳光六米阳光,女,福建,2581,726,107,把造谣的抓了,4,2020-06-18 20:11
https://weibo.cn//678225298,遗忘之念,女,北京,3816,1484,1545,不信谣。不传谣,0,2020-06-19 15:38
https://weibo.cn//waxjcy,瓮安县检察院,男,贵州,11246,536,19395,@铜梁法院,0,2020-06-19 10:24
https://weibo.cn//u/2617726300,靠谱的小黑人,男,广东,246,360,130,抓造谣者,0,2020-06-19 08:26
https://weibo.cn//u/1853147753,爱上beauty,女,广东,445,221,212,今天在电梯一个老太太还跟我说这个事！,0,2020-06-19 03:44
https://weibo.cn//u/1571567741,Ms丶溪诺,女,广东,9153,1600,343,我是在这里看到的,0,2020-06-19 00:12
https://weibo.cn//u/3824910273,LucK路游人,男,其他,3303,197,470,不信谣 不传谣！,0,2020-06-18 21:36
https://weibo.cn//u/5737311527,邹慢慢慢慢,男,广东,855,112,114,谣言真多,0,2020-06-18 21:23
https://weibo.cn//szbmzx,深圳网警,男,广东,35973,1573,1186266,回复@iansanss:正常的流程而已，要相信咱们大深圳的速度和效率,0,2020-06-18 21:09
https://weibo.cn//u/6457792009,iansanss,女,广东,326,152,38,我就住下梅林啊，幸好是谣言！今天小区的保安又开始测体温了，吓得我抖三抖！,0,2020-06-18 20:55
https://weibo.cn//u/7280790516,BorisFan2003,男,广东,255,910,51,这种造谣惑众的抓了直接刑拘,0,2020-06-18 20:34
https://weibo.cn//u/2715248227,尛灰灰灰灰灰灰,男,广东,0,39,27,找到人了吗？必须拘留才行啊,0,2020-06-18 20:25
https://weibo.cn//u/6426742297,传说叱咤风云,男,广东,48,146,168,所以要多听深圳先锋898，官方广播台播出的才是真的，道听途说不可靠。,0,2020-06-18 20:14
https://weibo.cn//u/2474272864,郑发言,男,广东,2992,890,445,这种造谣惑众的抓了直接刑拘,0,2020-06-18 20:13
https://weibo.cn//u/6314816507,寒雪卧梅花i,男,陕西,533,299,615,希望大家都别大意🙏,0,2020-06-18 20:12
https://weibo.cn//u/2056190561,六米阳光六米阳光,女,福建,2581,726,107,把造谣的抓了,4,2020-06-18 20:11
https://weibo.cn//u/2722035457,爱杨煤碳爱浦浦,女,广东,4286,1189,460,好嘞，知道了,0,2020-06-18 20:04
https://weibo.cn//u/1811831003,牙白in,女,广东,7804,520,503,了解！,0,2020-06-18 19:50
https://weibo.cn//u/6738163290,Oos小狐狸soO,女,重庆,1671,196,88,回复@深圳网警:,0,2020-06-18 19:50
https://weibo.cn//szbmzx,深圳网警,男,广东,35973,1573,1186266,回复@Oos小狐狸soO:是谣言,0,2020-06-18 19:49
https://weibo.cn//u/6738163290,Oos小狐狸soO,女,重庆,1671,196,88,不要吓我。。。     举报             赞[1]         回复             2020-06-18 19:48:20 来自网页,1,2020-06-18 19:48
