评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1781132713,毕竟我是Sun,女,其他,834,135,261,请不要给国家添乱,3,2020-08-13 12:16
https://weibo.cn//678225298,遗忘之念,女,北京,3816,1484,1545,可恶。这样的谣言也敢造,5,2020-08-13 12:08
https://weibo.cn//u/5361568256,一吱吱星星,女,广东,652,566,1,要是我朋友圈出现这种微商我见一个举报一个,4,2020-08-13 11:59
https://weibo.cn//u/3210642643,夏季末觞,女,四川,157,737,167,真是该死！,1,2020-08-13 16:13
https://weibo.cn//acsy0410,憨憨卡比兽-尼禄厨,男,江苏,5342,589,62,这不仅应该辟谣，应该直接把发这种消息的这些微商抓了,1,2020-08-13 13:02
https://weibo.cn//u/2659986861,无语杏色牛杂,女,海外,186,541,600,可以报警吗？这种不属于诈骗吗,1,2020-08-13 12:57
https://weibo.cn//273181199,全职丈夫,男,广东,5553,738,208,回复@一吱吱星星:是我的朋友圈出现这种微商，举报了还永远断绝关系就算是我爸也不行。真的很没有良心为了钱简直丧心病狂的地步了,0,2020-08-13 12:30
https://weibo.cn//u/1914236432,戒仨,男,广东,1355,293,287,脑子不够用才会买吧，智商税,0,2020-08-13 12:25
https://weibo.cn//u/1781132713,毕竟我是Sun,女,其他,834,135,261,请不要给国家添乱,3,2020-08-13 12:16
https://weibo.cn//u/7401133486,心向阳1573,女,辽宁,12,23,8,我朋友圈出现这种人第一个举报,1,2020-08-13 12:09
https://weibo.cn//678225298,遗忘之念,女,北京,3816,1484,1545,可恶。这样的谣言也敢造,5,2020-08-13 12:08
https://weibo.cn//u/6649300815,你爹正在重启,男,北京,5011,294,66,题目还不如换成俄罗斯进口的呢。。中国的对社会有责任的，还测试呢,0,2020-08-13 12:05
https://weibo.cn//u/6983836354,厉害什么,男,其他,135,338,97,这么贵的疫苗,0,2020-08-13 12:00
https://weibo.cn//u/5361568256,一吱吱星星,女,广东,652,566,1,要是我朋友圈出现这种微商我见一个举报一个,4,2020-08-13 11:59
