评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2835325254,秋菊馨香,女,北京,25,109,15,     举报             赞[0]         回复             2020-09-02 15:04:25 来自网页,0,2020-09-02 15:04
https://weibo.cn//u/2665817072,举个栗子21,男,广东,6,42,23,你所说的造谣大部分都是你们高官故意放风出来试探百姓反应的，不要不承认，因为你们曾经动不动就朝令夕改，然后甩锅给临时工，特别是央视，它是最不可靠的新闻媒体，大家都知道你们发布任何所谓行政命令的时候，如果没有你们的干部拍板是不可能发布出来的，我鄙视你们,0,2020-09-02 09:29
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3603,265,1404,深圳网警每周辟谣榜单 第二期,0,2020-09-02 09:22
https://weibo.cn//u/1613096073,QS-飞跃彩虹,男,湖南,232,323,144,买个或者盗个20万粉丝的微博号，误导内地微博用户，你们要多注意了啊，这博主非常隐喻，时不时发表国家见解，这绝对有企图的，重点注意此博主,0,2020-09-02 01:39
https://weibo.cn//u/1613096073,QS-飞跃彩虹,男,湖南,232,323,144,小童看天下，这个博主和他的粉丝一唱一和的隐喻诋毁我国，你们网警要多注意了，很可能是港独公知,0,2020-09-02 01:37
https://weibo.cn//u/1613096073,QS-飞跃彩虹,男,湖南,232,323,144,微博号：小童看天下    这个人多注意，港独公知，写微博都是隐喻的诋毁国家，引导内地微博朋友歪曲国家理念，我举报过几次，结果我自己被封了2个月，不要小瞧这些公知，香港港独就是这样一呼百应的！,2,2020-09-02 01:32
https://weibo.cn//u/2303579781,一片星空Q,男,广东,13710,593,609,深圳的高科技发展之快，以至于 连主持人都以为是机器人🤖️,0,2020-09-01 19:02
https://weibo.cn//u/6618828186,罗纳尔哆啦A梦77,男,河南,2078,138,21109,     举报             赞[0]         回复             2020-09-01 18:53:02 来自网页,0,2020-09-01 18:53
https://weibo.cn//u/5359649949,十亿伏特_代号7061,男,重庆,8558,3198,3755,关于造谣，不是每个人都敢那么玩大，如果在网上散步还在运营的企业“倒闭”，企业要是报警，那造谣的人少不了要被警方要求拍照和按手印，即使企业不报警，要是网警看到信息，调查下来是造谣，造谣的人肯定也要被警方带走，拍照和按手印是少不了的。,0,2020-08-31 16:15
https://weibo.cn//u/5610349502,大连网警巡查执法,男,辽宁,19084,1211,358399,央视新闻称100人以上群内涉黄将对群主处7日行拘？有网民在网上高价出售“肺炎血液”用于“复仇”？看《网安天下》为您击破谣言[加油],1,2020-08-31 16:01
