微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JzNSdb4dX,#政务微博优秀案例征集#【温江发布报名政务微博战“疫”优秀案例】新冠肺炎疫情发生以来，@温江发布 将疫情防控作为主线，通过实时发布权威疫情动态、围绕热点进行疫情科普、及时做好疫情辟谣等，充分发挥了@温江发布 宣传和舆情控制作用，其中，@温江发布 策划发布《感谢有您，致敬坚守的温江人！》《春，来温江！》等原创视频，向每一位奋战在战疫一线的工作人员和居家战疫的市民致敬，鼓舞了“战疫”士气。#政务V影响力峰会# @政务微博观察 @微博政务 @政务新媒体学院 原图 ,,http://wx4.sinaimg.cn/large/006JagBWly1glxv7qawi4j30bi0kadho.jpg,无,TRUE,无,无,2020/12/23 16:23,铀媒,5,1,4,2
Jy7tx7P8q,"转发理由:辟谣 | 南京禄口机场要求成都旅客“原路返回”？机场回应：谣言，已报警 #成都辟谣#  
原始用户: 成都发布
转发内容: 【辟谣】#成都辟谣#12日一早，一张写有“请来自四川省成都市的旅客原路返回”和“南京禄口国际机场”字样的图片在网上流传，引起了众多网友的热议。交汇点记者第一时间向南京禄口机场的相关负责人求证，对方回应图片内容实为谣言，并已经向公安机关报案。随后，禄口机场相关人士向交汇点反馈了现场的真实照片，照片显示的内容为：“请来自四川省成都市郫都区的旅客主动到此申报登记”。（红星新闻）#南京机场劝返成都旅客是P的# [组图共4张] 原图 ",,无,"http://ww4.sinaimg.cn/large/001F7zcpgy1gll0qjtrjlj60b60b7tbm02.jpg,http://ww2.sinaimg.cn/large/001F7zcpgy1gll0mieribj60ci0m8q4f02.jpg,http://ww1.sinaimg.cn/large/001F7zcpgy1gll0n1d42sj60u01hcx6p02.jpg,http://ww4.sinaimg.cn/large/001F7zcpgy1gll0ptban1j60o01hcu0x02.jpg",FALSE,无,无,2020/12/12 14:36,小布的Android,0,0,1,1
JxDYf7SXI,#特别提醒# 【#成都辟谣#钟南山院士来蓉？假的！】近日，网传“84岁钟南山院士落地成都”，刚刚，@成都发布 联系市卫健委对这一消息进行核实。市卫健委介绍，关于“84岁钟南山院士落地成都”的消息不实。据悉，当前成都已迅速组织省市区三级相关部门和专家成立工作专班，联合对情况进行研判，安排应急处置措施。同时强化医疗救治，组织四川大学华西医院等省市专家，精准救治。 （成都发布） 原图 ,,http://wx2.sinaimg.cn/large/006JagBWgy1glhf9uo167j30j60i8q4k.jpg,无,TRUE,无,无,2020/12/9 11:30,微博 weibo.com,3,2,0,1
JxzeM983x,【一图读懂 #成都#最新疫情情况（截至12月8日）】截至12月8日20时，本起疫情成都市共报告新冠肺炎确诊病例6例，无症状感染者1人。现有病例情况如何？关于本起疫情有哪些重要信息？哪些网络热传信息被辟谣？带你一图读懂↓↓↓（红星新闻）  原图 ,,http://wx1.sinaimg.cn/large/006JagBWgy1glgv61mn8yj30u0a6wnpd.jpg,无,TRUE,无,无,2020/12/8 23:27,小布的Android,6,2,8,1
JxwN2gxIc,【#网传成都确诊女孩照片系盗用#：为湖南一女孩艺术照，当事人已报警】12月8日，成都20岁女孩赵某被确诊为新冠阳性后，关于她的个人信息便在网上热传，其中包括一张坐在车内、穿白色裙子的照片。8日上午，湖南19岁女孩小瑶得知自己照片被误传后，“发现情况比想象中更糟糕，很多骂人的，骂得很难听，感觉自己很委屈”。随即她在微博上辟谣，称网上被热传的照片，是自己的艺术照，该照片被人盗用。现在她正在报警、澄清，希望广大网友不要再误传。（封面新闻）http://t.cn/A6qAxn5l ,,无,无,TRUE,无,无,2020/12/8 17:13,360安全浏览器,5,2,4,2
JxulrBSmD,【辟谣 | #成都#不排除实施封城？官方回应：假的！】对于成都市出现新冠肺炎患者一事，12月8日，网传“成都卫健委：将视情况采取措施，不排除实施封城。”12月8日，成都市卫健委宣传处回应，截至目前，没有发布类似消息。（成都发布）  原图 ,,http://wx2.sinaimg.cn/large/006JagBWgy1glg9kfo6jxj30m006qaab.jpg,无,TRUE,无,无,2020/12/8 10:59,360安全浏览器,1,0,3,1
Jwj0FAjmL,#特别提醒#【辟谣！网传新线开通时间是真的吗？@成都地铁 ：不实！】近日，朋友圈传出了一张@成都地铁   新线开通时间表。今日，@成都地铁 对此回复：属不实消息！请大家关注温江发布微博微信，有消息我们第一时间发布。  原图 ,,http://wx2.sinaimg.cn/large/006JagBWgy1gl784ac5k1j30j60j4wh2.jpg,无,TRUE,无,无,2020/11/30 16:18,微博 weibo.com,5,1,7,1
Ji0Kwabno,#特别提醒# 【辟谣！社保疫情补助，没有这回事儿哦！】近期，关于社保疫情补助的一些不实消息。在朋友圈、微信群等渠道流传。@成都人社局 来辟谣，下图消息是假的！成都社保局没有发放疫情补助，社保经办服务大厅二楼33、34、35号窗口也没有办理此项业务。疫情期间，天气炎热，请大家不要白跑一趟！  原图 ,,http://wx4.sinaimg.cn/large/006JagBWgy1gi6l62l2efj30rg0ll77n.jpg,无,TRUE,无,无,2020/8/28 16:04,小布的Android,2,0,2,1
JeNSatWjv,"转发理由:辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练  
原始用户: 成都发布
转发内容: 【辟谣！网传青石桥疑似新冠病例？其实是锦江区市场监管局开展农贸市场疫情防控演练】#都知道#针对近日“青石桥疑似新冠病例”的传言，今日@成都市场监管 发布消息：8月6日下午，锦江市场监管局举行农贸市场疫情防控应急双盲演练。应急双盲演练以“青石桥农贸市场发现一经营户确诊为新冠病例”为假设开展，以现场模拟形式进行，通过“事发现场处置展示”和“部门联动”方式将场景依次展开。 [组图共2张] 原图 ",,无,"http://ww2.sinaimg.cn/large/5ad2d3c5gy1ghi6b7ezwbj20ku0netfi.jpg,http://ww3.sinaimg.cn/large/5ad2d3c5gy1ghi6b8niyqj212w0t6tk4.jpg",FALSE,无,无,2020/8/7 13:46,小布的Android,4,1,8,2
J6JEwdOZr,#温江看天下# 【支付宝、微信同时辟谣】近日，网上曾有消息称“支付宝和微信提供数据，锁定35万人帮助进行病毒筛查”。支付宝、微信官方微博声明如下：（成都商报）  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/006JagBWgy1gfsutfh7ksj30ko09kdgg.jpg,http://ww3.sinaimg.cn/large/006JagBWgy1gfsutg13tnj30ig08xwey.jpg",无,TRUE,无,无,2020/6/15 12:19,小布的Android,3,1,4,1
J2F94AAgi,#特别提醒#【谣言止于“知”者 四川互联网联合辟谣平台今日正式上线】网络时代，每一秒都有无数信息产生，形形色色、难辨真假的信息，不仅出现在亲朋好友微信群里，也出现在网站、APP的各个角落，让人眼花缭乱。鸡蛋不能和豆浆一起吃；香椿致癌；多吃碱性食物有益健康……这些谣言不要信！5月19日，由中共四川省委网信办主管、四川省互联网不良与违法信息举报中心主办、封面新闻承办的四川互联网联合辟谣平台正式上线运行。推荐全家一起关注@四川辟谣 http://t.cn/A627qwSV ,,无,无,TRUE,无,无,2020/5/19 17:30,微博 weibo.com,0,1,0,1
Izskfp81t,"转发理由:辟谣！“开学时间”截图疯传？“该市”非成都市！  
原始用户: 成都发布
转发内容: 【辟谣！“开学时间”截图疯传？“该市”非成都市！】#都知道#截至目前，四川省教育厅与成都市教育局还暂并未发布任何关于开学的通知，具体开学时间一经确定，定会提前向社会公布，方便师生和家长作出合理安排。请大家切勿轻信谣言，以官方渠道公布的开学时间为准。@成都教育 成都开学时间定了？ 一张截图疯传！“该市”非成都市  原图 ",,无,http://wx2.sinaimg.cn/large/5ad2d3c5gy1gd0407gj3tj20gf0gft9o.jpg,FALSE,无,无,2020/3/20 10:47,小布的Android,3,0,2,1
IyGuV1rMb,【315打假！#新冠肺炎辟谣#】连日来，疫情的发展牵动着每个人的心，各种谣言紧随其后。不带口罩驾车被扣6分？体温枪伤眼，造成永久伤害？微波炉加热口罩可以消毒？洗热水澡能预防新型冠状病毒？......看看你避开了多少？让谣言止于“较真”！315新闻打假！你避开了多少？  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/006JagBWgy1gctuiwul1tj30j60v341c.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gctuiwxkghj30j60v2tbz.jpg,http://ww3.sinaimg.cn/large/006JagBWgy1gctuiwyu1jj30j60v3dij.jpg,http://ww1.sinaimg.cn/large/006JagBWgy1gctuiwz06oj30j60v30vl.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gctuiwtx2rj30j60v3whk.jpg,http://ww3.sinaimg.cn/large/006JagBWgy1gctuiwzxk7j30j60v3acp.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gctuix0uitj30j60v3q5s.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gctuix5uiyj30j60v3tbn.jpg,http://ww2.sinaimg.cn/large/006JagBWgy1gctuixawhfj30j617jdjt.jpg",无,TRUE,无,无,2020/3/15 9:02,微博 weibo.com,0,0,0,1
IwIyJ3KVP,#特别提醒# 近日由日韩抵蓉人员有新冠肺炎患者？成都市卫健委辟谣。#辟谣#  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/006JagBWgy1gcfdre7e1xj30u05b64qp.jpg,http://ww4.sinaimg.cn/large/006JagBWgy1gcfdrexz80j30u035rarl.jpg",无,TRUE,无,无,2020/3/2 10:36,小布的Android,1,5,5,1
