微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JAezEwaHC,【辟谣！#武汉一公司数千人发热是假消息#】近日，网传“武汉一公司数千人发热”，12月25日，该公司发布声明，武汉天马G4.5产业基地于12 月23日至24日组织了全员核酸检测，所有检测结果均为阴性，未出现网络平台用户所描述的情况。对于网络平台相关用户发布的不实信息，将保留法律追诉的权利。请社会各界不造谣，不信谣，不传谣。据@平安光谷 通报，目前造谣男子已被行拘。 [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/002QuMGcgy1gm14zm0k3kj60ig0u9wg402.jpg,http://ww2.sinaimg.cn/large/002QuMGcgy1gm1539b725j60g308edgd02.jpg",无,TRUE,无,无,2020/12/26 12:21,微博 weibo.com,3,0,0,3
JyoIx8P9u,#网传武汉一小区紧急隔离实为拍电影#【网传武汉一小区紧急隔离？假的！实为电影取景拍摄 】近日，有网友在社交平台上发布短视频，称武汉一小区临时封闭，身穿防护服的医护人员在这里全员排查，视频中有救灾帐篷、警车、身穿防护服的人员等出现。据长江日报报道，该视频实为电影《中国医生》拍摄场景，剧组已发布声明辟谣，未来数天还将在江岸区部分小区取景。#武汉一小区紧急隔离是在拍电影#（新华网、澎湃新闻）http://t.cn/A6q5C5Nk ,,无,无,TRUE,无,无,2020/12/14 10:30,微博 weibo.com,0,1,1,3
JxPym4VUj,#近期不要去外资超市系谣言#【辟谣！近期不要去外资超市？假的！】近日，一则“同济今天开会通知：近期不要去沃尔玛和任何有外资背景的超市，超市冷冻柜不要接触……”的微信聊天截图在网上传播，引发网友关注。针对消息中提到的“同济”，楚小布分别向华中科技大学同济医学院及同济医院的多位权威人士进行核实，对方均回复没有开过这个会。进一步搜索发现，该则消息在山东、吉林、浙江、四川、湖南等多地流传，均被相关部门辟谣。事实上，湖北刚刚针对冷链食品出台最严措施，小布提醒，认准“鄂冷链”追溯码，从正规渠道进行购买。网络并非法外之地，请从官方授权的新闻媒体了解疫情信息。http://t.cn/A6qyKMwL [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/002QuMGcgy1glivb7v009j60ag05o76602.jpg,http://ww1.sinaimg.cn/large/002QuMGcgy1gliv73ql9gj60d90pggqv02.jpg",无,TRUE,无,无,2020/12/10 16:59,微博 weibo.com,16,4,8,3
JwlBFy2qS,【辟谣：武汉一小区封闭？谣言！】#湖北发布# 近日，网上出现一则“武汉市某小区因发现新冠疑似病例，实施封闭管理”的消息，引起市民的关注。经调查发现，这实际是社区开展的“橙色预警疫情防控演练”活动场照片，相关通知事后已澄清。记者向武汉经济开发区有关部门核实，该通知实为应急演练。绿岛社区也发布了关于疫情封控的情况说明。http://t.cn/A6GeNh8l [组图共3张] 原图 ,,"http://ww3.sinaimg.cn/large/002QuMGcgy1gl7l8gw8q1j60u0140wsi02.jpg,http://ww1.sinaimg.cn/large/002QuMGcgy1gl7l99o31sj60p00anwf102.jpg,http://ww3.sinaimg.cn/large/002QuMGcgy1gl7l8h9awjj60fs0m877l02.jpg",无,TRUE,无,无,2020/11/30 22:54,360安全浏览器,6,8,1,2
JtC2qqbje,【武汉汉兴街和祥里社区现阳性感染者？官方辟谣！】11月12日，部分网民在微博、微信群中传播1张“紧急通告”的图片，称“汉兴街和祥里社区发现一例阳性无症状感染者”。经核，11月11日汉兴街在和祥里社区开展疫情防控应急演练，网传“紧急通告”为演练道具，其内容和病例为虚构。演练完毕后，所有道具均已回收销毁。请广大市民不要恐慌。（武汉市江汉区新冠肺炎疫情防控指挥部） 原图 ,,http://wx3.sinaimg.cn/large/002QuMGcgy1gkmso132wgj60p00anwf102.jpg,无,TRUE,无,无,2020/11/12 23:13,360安全浏览器,1,0,0,2
Jq5GYyhrD,【辟谣！网传“硚口区长堤街、江岸区天声街出现确诊病例”，假的！】武汉市卫生健康委发布辟谣信息：近日，网传“10月18日，硚口区长堤街又出现一个确诊病例，防疫、公安的都来了，把人带走了”“江岸区天声街又封了，又出现了确诊病例”两段视频，经我市硚口区、江岸区核实，上述两段视频中的信息不实，纯属谣言。我市近期每日无新增新冠肺炎确诊病例，并每日在我委网站上发布全市新冠肺炎疫情动态数据。敬请广大市民不信谣、不传谣！武汉市卫生健康委2020年10月20日（来源：武汉市卫生健康委员会） 原图 ,,http://wx4.sinaimg.cn/large/002QuMGcgy1gjw0pxy4xcj60p00anwf102.jpg,无,TRUE,无,无,2020/10/20 19:22,360安全浏览器,312,15,85,2
JppHrAGaw,【辟谣！网传“十一期间硚口区有一千多人去过青岛”系谣言】昨日，武汉市部分微信群流传一则“十一期间硚口区有一千多人去过青岛，各小区又开始管控了”的信息。经核实，该信息不实。针对当前青岛市发生的疫情，根据武汉市疫情防控指挥部视频会议精神，各区正积极开展摸排，严防疫情输入。硚口区疾控部门已对9月27日以来青岛来硚返硚人员197人进行了核酸检测，并有效管控，目前，核酸检测结果均为阴性。同时，硚口各小区疫情防控常态化工作一直有序进行，确保无输入病例。网络流传图片情况不属实。请广大网友自觉抵制谣言，不造谣、不信谣、不传谣！恶意造谣者将承担法律责任！（硚口发布） 原图 ,,http://wx3.sinaimg.cn/large/002QuMGcgy1gjqvc0mgq3j60jr0b4t9b02.jpg,无,TRUE,无,无,2020/10/16 8:27,微博 weibo.com,6,6,9,3
JmGcMi8cS,#辟谣#【网传武汉协和医院“来了个疑似，今天就确诊了”，谣言！】9月27日，武汉市卫生健康委员会发布辟谣信息称：9月25日，有网友发帖并配图称，武汉协和医院"昨天来了个疑似，今天就确诊了"。经核实，包括武汉协和医院在内的我市各医疗机构，近期均未收治新冠肺炎疑似病例和确诊患者。敬请广大市民不信谣、不传谣。http://t.cn/A6bhaLZJ [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/002QuMGcgy1gj630s4es7j60ha09q0sv02.jpg,http://ww3.sinaimg.cn/large/002QuMGcgy1gj630tdnhpj60xv0hl79f02.jpg",无,TRUE,无,无,2020/9/28 8:58,微博 weibo.com,1,1,1,3
JkpNg4bQ7,【“抗疫英雄揭新冠病毒最可怕之处”？武大中南医院官方辟谣！】近日，一则名为“8.30日记：继续吹哨人，彭志勇医生！”的文章在微信朋友圈中大肆转发传播，文章称，“武汉大学新冠病毒重症科主任彭志勇医生半年多来通过对多起死亡病例解剖、化验和分析得出结论：新冠病毒是SARS病毒+艾滋病毒的总和……凡是患过新冠肺炎的人，即便核酸检测成阴性，病毒也没有完全消除，仍在较长时间内成为无症状病毒携带者”。9月12日，@武汉大学中南医院 宣传部门表示，这则信息纯属子虚乌有，彭志勇医生从未做过此方面的解剖、化验和分析，也未得出这样的结论，这则谣言不但误导了公众，也干扰了国家的防疫工作，造成了极其恶劣的社会影响。http://t.cn/A640xLda（环球时报、武汉大学中南医院） 原图 ,,http://wx4.sinaimg.cn/large/002QuMGcly1giov5vhjzkj60p00anwf102.jpg,无,TRUE,无,无,2020/9/13 11:30,微博 weibo.com,3,1,1,3
JizBMoqhp,【辟谣：“中华路小学金都校区有一学生体温异常，核酸检测为阳性”，假的！】武昌区教育局9月1日凌晨发布辟谣消息：8月31日，多个微信群内传播“中华路小学金都校区有一学生体温异常，核酸检测为阳性”的信息，系不实消息。实际情况是，早上8时左右，中华路小学金都校区一学生经三次体温检测正常入校。10时左右该生自述身体不适，经多次体温检测，存在发热症状。学校立即启动应急预案，会同家长将该生送往医院做进一步检查，血清及核酸检测结果均为阴性，医生诊断为上呼吸道感染，该生拿药后离院回家。望广大网友不信谣不传谣。 原图 ,,http://wx2.sinaimg.cn/large/9b727f08gy1giav1vpybmj20gf092aax.jpg,无,TRUE,无,无,2020/9/1 8:49,搜狗高速浏览器,15,6,6,3
