评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1282048501,vip张唯一,男,广东,598,196,227,很多是能上不能下吧？,1,2020-01-26 11:59
https://weibo.cn//acmilanese,ACMilanese171161,男,湖南,5844,980,4674, 举报 赞[0] 回复 2020-01-26 16:00:18 来自网页,0,2020-01-26 16:00
https://weibo.cn//ningyichun1997,白樺林的雪,女,湖南,1403,1123,409,您好，长沙市岳麓区莲花收费站和株洲北收费站无人进行体温检测。,8,2020-01-26 11:53
https://weibo.cn//u/6197355095,幺贰尔肆,男,广东,16,34,5,现在能从广东回湖南？高速,0,2020-02-13 01:34
https://weibo.cn//u/6479857730,s五分,男,其他,0,56,141,岳阳华容的高速封闭，普通车辆不能上高速,0,2020-02-03 19:50
https://weibo.cn//u/6895924994,陈先生的猫丢了,女,其他,8,90,1,请问可以出湖南回疆嘛,0,2020-02-01 02:11
https://weibo.cn//u/2867485653,wensangan,男,上海,5275,790,142,"不对!  s315,攸县黄丰桥到江西萍乡今天下午就封了！老百姓赶火车被迫改期！！！",1,2020-01-30 19:51
https://weibo.cn//u/2867485653,wensangan,男,上海,5275,790,142,"不对! s315,攸县黄丰桥到江西萍乡今天下午就封了！老百姓赶火车被迫改期！！！",0,2020-01-30 19:51
https://weibo.cn//u/6025790284,颜值担当谭大王,男,海外,7,136,6,汨罗大荊收费站就封了，不能上不能下！南下也不行,0,2020-01-30 15:06
https://weibo.cn//u/7185193470,橙elegance,女,其他,2,56,2,攸县这边高速路都不让走了怎么回事,0,2020-01-29 13:32
https://weibo.cn//u/5959303613,焦糖玛奇朵味的玫瑰,女,广东,443,649,113,回复@重庆风行天下车友社区:年初二晚上我们行经湖南怀化，体温检测过了但也给拦下来了，可能因为看我们是外地车吧，但我们不是湖北的也没有去过湖北…,0,2020-01-29 10:29
https://weibo.cn//502143777,重庆风行天下车友社区,男,重庆,103270,1392,103471,回复@东山小姐_:可以上下。,0,2020-01-29 07:06
https://weibo.cn//u/3625818465,肥魚小楊,女,湖南,1357,450,907,警察蜀黍  请问从广东回来湖南的高速路上私家车能带宠物狗嘛,0,2020-01-28 13:44
https://weibo.cn//u/2945843997,珠珠syz,女,湖南,873,526,180,请问盘塘收费站封路了吗,0,2020-01-27 19:28
https://weibo.cn//u/1873285855,馋鼠柳儿,女,湖南,30860,546,674,图片评论 ,0,2020-01-26 18:56
https://weibo.cn//u/5959303613,焦糖玛奇朵味的玫瑰,女,广东,443,649,113,应该是，能上不能下…,0,2020-01-26 18:22
https://weibo.cn//u/1767297172,墨菲不加糖,女,海南,622,446,558,现在在邵阳，明天回常德汉寿能走不,1,2020-01-26 18:13
https://weibo.cn//u/6296889069,灵活的小胖纸哟,男,甘肃,8,20,4,回复@镜子里的人说假话9901:我爸也被封到南华大桥那儿 大过年的  进出两难,0,2020-01-26 18:00
https://weibo.cn//u/5325194443,欢兮兮,女,其他,84,34,47,@TOMM93,0,2020-01-26 16:46
https://weibo.cn//acmilanese,ACMilanese171161,男,湖南,5844,980,4674,     举报             赞[0]         回复             2020-01-26 16:00:18 来自网页,0,2020-01-26 16:00
https://weibo.cn//u/6325383829,镜子里的人说假话9901,男,其他,1,52,2,交警蜀黍  我这边的人告诉我 华容已经被封死了 不能回湘潭了。怎么解释啊！他们说不能上高速,2,2020-01-26 14:17
https://weibo.cn//u/2808699643,好得你不敢相信,女,其他,121,201,165,回复@王小君:常德有三例，恒大华府里有两例,0,2020-01-26 13:08
https://weibo.cn//u/2161728542,王小君,女,湖南,1545,244,414,回复@洋苏木心:我在安乡,0,2020-01-26 13:03
https://weibo.cn//u/2493562570,洋苏木心,女,湖南,1000,128,169,回复@王小君:别去了，有人感染了,0,2020-01-26 13:02
https://weibo.cn//u/5663429014,今天也睡早点,女,西藏,6,241,643,回复@后来时间都与你有关LiXian:是想让家人不要外出,2,2020-01-26 12:57
https://weibo.cn//u/2161728542,王小君,女,湖南,1545,244,414,请问常德安乡的高速路口封闭了吗？,0,2020-01-26 12:07
https://weibo.cn//u/1282048501,vip张唯一,男,广东,598,196,227,很多是能上不能下吧？,1,2020-01-26 11:59
https://weibo.cn//u/5198763784,小扳手啊,男,湖南,2,243,107,建议在微信公众号也发布一下,2,2020-01-26 11:56
https://weibo.cn//ningyichun1997,白樺林的雪,女,湖南,1403,1123,409,您好，长沙市岳麓区莲花收费站和株洲北收费站无人进行体温检测。,8,2020-01-26 11:53
https://weibo.cn//u/5492121863,不晓得叫什么名字咧,女,上海,127,19,36,这些发布谣言的都啥心理！,4,2020-01-26 11:47
https://weibo.cn//u/3445856784,路漫漫其修远兮215,女,北京,3096,490,264,l ,0,2020-01-26 11:46
