微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JfQhwcFHW,"转发理由:【辛集市一市民核酸检测为阳性？假的！官方辟谣来了！】#石家庄身边事#  
原始用户: 石家庄互联网举报中心
转发内容: 【辛集市一市民来石家庄核酸检测为阳性？小区被封？假的！官方辟谣来了！】8月12日晚，网传“辛集市某小区居民王某某（女）核酸检测为阳性”，经查证，该消息为谣言。       13日，辛集市发布情况说明：8月10日，王某某因扁桃体切除术到石家庄某医院就诊。医院按规定对其进行了两次核酸检测，其中一次为阴性，一次不排除阳性可能。8月12日晚，辛集市有关部门了解到此情况后，迅速对与王某某密接人员采取了流行病学调查等措施。同时，经权威核酸检测机构再次对王某某进行两次核酸检测，结果均为阴性，排除新冠肺炎病例的可能。目前辛集市疫情防控形势平稳，无确诊、无疑似病例。       石家庄互联网举报中心提醒：做好常态化疫情防控需保持理性、健康心态，非官方信息勿轻信，理性辨谣、科学防护、不要恐慌，不做谣言制造者和“二传手”。#微博辟谣##石家庄互联网举报辟谣平台# #石家庄身边事# [组图共3张] 原图 ",,无,"http://ww2.sinaimg.cn/large/0080yKCBly1ghox0jc7flj30u019y7bm.jpg,http://ww3.sinaimg.cn/large/0080yKCBly1ghox0jcs5ij30u019y113.jpg,http://ww4.sinaimg.cn/large/0080yKCBly1ghox0j9in4j30u01np42m.jpg",FALSE,无,无,2020/8/14 9:45,360安全浏览器,3,1,2,1
IBidCh86q,"转发理由:【河北各级各类学校开学时间定于4月10日？假的！】#石家庄身边事##微博辟谣#    
原始用户: 石家庄互联网举报中心
转发内容: 【河北各级各类学校开学时间定于4月10日？假的！】#石家庄身边事##微博辟谣# 河北各级各类学校开学时间定于4月10日？假的！  ",,无,无,FALSE,无,无,2020/4/1 12:44,iPhone客户端,18,0,18,1
IAe6slwmc,"转发理由:【紧急辟谣！网传石家庄“今晚6000人入境……”假的，别信！】#石家庄身边事##微博辟谣#  
原始用户: 石家庄互联网举报中心
转发内容: 【紧急辟谣！网传石家庄“今晚6000人入境……”假的，别信！】#石家庄身边事##微博辟谣# 紧急辟谣！网传石家庄“今晚6000人入境……”假的，别信！  ",,无,无,FALSE,无,无,2020/3/25 12:25,360安全浏览器,5,3,6,1
IzhRkpTCO,"转发理由:辟谣！#抗击疫情，有你有我#  
原始用户: 石家庄互联网举报中心
转发内容: 【石家庄长安区又确诊了一例？谣言！】#石家庄身边事##微博辟谣# 石家庄长安区又确诊了一例？谣言！  ",,无,无,FALSE,无,无,2020/3/19 8:08,三星 GALAXY Note8,3,1,2,1
Iz1Tz0ejX,"转发理由:辟谣！#微博辟谣#  
原始用户: 石家庄互联网举报中心
转发内容: 【“一家三口回国治新冠肺炎，不免费想投诉”？假的！】#石家庄身边事##微博辟谣# “一家三口回国治新冠肺炎，不免费想投诉”？假的！  ",,无,无,FALSE,无,无,2020/3/17 15:30,三星 GALAXY Note8,2,1,3,1
IyqgexJsR,"转发理由:又一波辟谣信息，请擦亮眼睛！#抗击疫情，有你有我# #石家庄爆料# #微博辟谣#  
原始用户: 石家庄互联网举报中心
转发内容: 【“政府会议精神”频频被转发，擦亮眼睛！】#石家庄身边事##微博辟谣#  “政府会议精神”频频被转发，擦亮眼睛！  ",,无,无,FALSE,无,无,2020/3/13 15:41,三星 GALAXY Note8,5,0,7,1
Iyaf02bjf,"转发理由:辟谣！#抗击疫情，有你有我#  
原始用户: 石家庄互联网举报中心
转发内容: 【“吴好运入住泉州欣佳宾馆没躲过追杀”？假的！近期这些谣言别再入坑】#石家庄身边事##微博辟谣# “吴好运入住泉州欣佳宾馆没躲过追杀”？假的！近期这些谣言别再入坑  ",,无,无,FALSE,无,无,2020/3/11 22:54,三星 GALAXY Note8,1,0,0,1
Ixec38y4N,"转发理由:辟谣！#抗击疫情，有你有我# #抗击疫情石家庄在行动#  
原始用户: 石家庄互联网举报中心
转发内容: 【又一波谣言来袭！注意防护！】#石家庄身边事##微博辟谣# 又一波谣言来袭！注意防护！  ",,无,无,FALSE,无,无,2020/3/5 19:08,三星 GALAXY Note8,3,1,0,1
IvFnlkV9u,"转发理由:辟谣！#石家庄身边事# #关注河北新型肺炎疫情#  
原始用户: 石家庄互联网举报中心
转发内容: #石家庄身边事# 石家庄外出游玩被抓住不背会防疫手册不让走？假的！#微博辟谣# 石家庄市互联网举报中心的微博视频  ",,无,无,FALSE,无,无,2020/2/24 12:39,三星 GALAXY Note8,46,1,23,1
ItRMNtV0E,"转发理由:辟谣！网传石家庄长安区尚乘源小区出入需对口令？假的！#石家庄身边事# #石家庄爆料# #微博辟谣#  
原始用户: 石家庄互联网举报中心
转发内容: #石家庄身边事# #微博辟谣# 【网传石家庄长安区尚乘源小区出入需对口令？假的！】     近日，我市微信、QQ群、微博、朋友圈等流传着尚乘源小区业主出入需提供动态口令的消息。经长安区网信办调查核实，此消息纯属杜撰。该小区业主进入跟其他小区一样，凭全区统一制发的疫情期间一户一卡及门禁卡进入，无其他方式。     石家庄互联网举报中心：请网民不听谣、不信谣、不传谣。特殊时期，发现造谣现象及时向网信、公安部门举报，共同维护网上清朗环境，为阻击疫情贡献网民正能量。    （来源：石家庄长安发布） 原图 ",,无,http://wx4.sinaimg.cn/large/0080yKCBly1gbton7cs8pj30c80g778g.jpg,FALSE,无,无,2020/2/12 16:34,三星 GALAXY Note8,9,1,12,3
