评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//376240115,垚不动,男,河北,1435,100,2216,这。。。。,0,2020-04-02 00:07
https://weibo.cn//u/6988650871,一日之寒三春暖,男,天津,25,122,2,回复@神明点灯啊:冤我们啊，北京一句不接境外人员全安排我们河北了。我们天天擦屁股说啥了,0,2020-04-02 09:09
https://weibo.cn//376240115,垚不动,男,河北,1435,100,2216,这。。。。,0,2020-04-02 00:07
https://weibo.cn//u/5576514919,i酸奶的gtt,女,河北,233,314,49,我很认真点进来你就说了个这？！！！！！,0,2020-04-01 18:36
https://weibo.cn//u/2648775995,檬沐沐0418,女,河北,7913,350,234,那19个落地说发烧的，肯定上飞机前吃退烧药了，太狗了，应该立案！！！,0,2020-04-01 17:20
https://weibo.cn//u/7114001381,JNorton,男,其他,25,156,11,能不能把假的提到标题前啊？,0,2020-04-01 15:05
https://weibo.cn//u/5203819026,复习你给温柔,女,河北,14071,705,407,麻烦把四例境外输入病历行程轨迹公布一下，好好看看其他省份怎么做的,1,2020-04-01 14:25
https://weibo.cn//u/2287814193,九里山庄,男,河北,145,114,194,我是奔着真的来的！！！！！,2,2020-04-01 14:24
https://weibo.cn//u/2287814193,九里山庄,男,河北,145,114,194,别光辟谣，你倒是说个真的呀！！！！,2,2020-04-01 14:24
https://weibo.cn//571873366,用心兑你,男,河北,5634,820,2002,愚人节辟谣？？？,0,2020-04-01 14:13
https://weibo.cn//u/2650027511,期待-春暖花开,女,河北,441,182,113,公开境外输入4例的人员的信息,2,2020-04-01 14:09
