评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//whicen,BB机不想BB,男,河北,251,1042,362,请大家去国务院互联网+督查平台举报，不公开疫情信息等行为。,8,2020-01-30 14:01
https://weibo.cn//u/2917925020,大大厂子,女,河南,2376,282,150,想知道确诊病患的年龄身体状况，确定感染前动线这些信息。,2,2020-01-30 16:08
https://weibo.cn//u/1959865991,特种蚁兵,男,河北,9958,421,431,不传谣不造谣从我做起,0,2020-01-30 21:33
https://weibo.cn//u/1318983364,LiannaJuana,女,河北,416,12,44,不传谣不造谣！,0,2020-01-31 10:44
https://weibo.cn//u/2181343353,阿平apple,男,河北,23,10,0,实时发布确诊病例相关信息，让人们心里有数，不会产生恐慌，只会让人们意识到疫情的严重性，减少外出的频率，这比各种辟谣有用!,0,2020-01-31 08:39
https://weibo.cn//u/2860286673,遗忘的唐风诗韵,女,河北,995,506,200,假的哦 大家注意啦,0,2020-01-31 00:01
https://weibo.cn//u/2622034105,用户n0wvnj3t43,男,其他,235,21,42,不信谣，不传谣,0,2020-01-30 22:37
https://weibo.cn//u/5752144773,崔怡钰嘉,女,河北,8,43,5,坚决支持正规渠道,0,2020-01-30 22:25
https://weibo.cn//u/1726480683,你够了ang,女,河北,322,160,191,不信谣不传谣,0,2020-01-30 21:53
https://weibo.cn//u/3841198963,舆之情_97816,女,其他,1567,45,65,不要相信谣言，非常时期不要造谣生事,0,2020-01-30 21:34
https://weibo.cn//u/1959865991,特种蚁兵,男,河北,9958,421,431,不传谣不造谣从我做起,0,2020-01-30 21:33
https://weibo.cn//u/6171676223,乔乔_58671,女,河北,1596,185,33,理性上网，不传谣,0,2020-01-30 21:15
