评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5563687625,软萌小傲娇x,女,河北,8155,105,2114,病例具体点行吗,4,2020-02-02 16:28
https://weibo.cn//u/1890035275,家有暖男三枚,女,河北,7698,467,956,请公开石家庄病例具体的所在市区县,4,2020-02-02 17:22
https://weibo.cn//u/1974523405,静静de完美恋曲,女,北京,28,186,131,请公开石家庄病例具体的所在市区县,6,2020-02-02 15:49
https://weibo.cn//asd0801,要多么清纯有多么清纯,男,河北,1477,1006,408,回复@DanyBikini:哪个小区？,0,2020-02-03 03:01
https://weibo.cn//asd0801,要多么清纯有多么清纯,男,河北,1477,1006,408,公布确诊患者，大致行动轨迹呀！,0,2020-02-03 03:00
https://weibo.cn//u/3841198963,舆之情_97816,女,其他,1567,45,65,不要盲目跟风，要科学就医,0,2020-02-02 21:47
https://weibo.cn//u/1856079955,欧皇汽水妹,女,河北,578,241,117,科学防疫，不恐慌,1,2020-02-02 19:11
https://weibo.cn//u/1856079955,欧皇汽水妹,女,河北,578,241,117,遵医嘱，不恐慌,0,2020-02-02 19:09
https://weibo.cn//u/1890035275,家有暖男三枚,女,河北,7698,467,956,请公开石家庄病例具体的所在市区县,4,2020-02-02 17:22
https://weibo.cn//u/2713258403,夏可可的日常,女,河北,3108,703,335,请公开具体信息！,1,2020-02-02 17:17
https://weibo.cn//u/1726480683,你够了ang,女,河北,322,160,191,盲信盲从,1,2020-02-02 17:17
