评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6427438064,浪眼看深圳,男,广东,11305,249,636995,关于近日网传福田区爱华市场出现一例新冠病例的信息，经区卫健部门核实，该消息为谣言。 举报 赞[2] 回复 2020-08-13 14:04:28 来自网页,2,2020-08-13 14:04
https://weibo.cn//sheepoluo,凤凰罗羽鸣,女,广东,2750,389,1653906,谣言太可恶，官宣很及时。大家被惊吓了一上午终于消停了。,26,2020-08-13 13:33
https://weibo.cn//u/2119409814,丽伢伢,女,青海,4149,502,20760,够速度,8,2020-08-13 14:26
https://weibo.cn//u/1586334255,bibimbap_taoyunfeng,男,广东,220,133,76,直接严惩造谣者吧,0,2020-08-14 23:58
https://weibo.cn//u/2175903621,能不吃了吗,女,广东,103,253,853,@一一只熊,0,2020-08-14 02:58
https://weibo.cn//cmexe,cmexe,男,广东,135,67,67,为什么封现场？为什么怎么多协警？为什么有救护车？几个小区物业都贴了公告，不解释一下吗？现场怎么多人围观，造成多大恐慌，搞得劳师动众的，不恐慌才怪,0,2020-08-14 00:44
https://weibo.cn//u/5516666511,八九点了,男,香港,11,62,5,如果是真的就太可怕了 波及全国维修业务,0,2020-08-13 23:35
https://weibo.cn//u/2782451810,不聪明的二三和十六,男,广东,60,159,206,我只想问问龙华华富市场是不是真的……,0,2020-08-13 23:12
https://weibo.cn//u/3131573133,阳光下de葡萄,女,广东,967,451,2139,严惩造谣者，今天上午听到的时候，吓死我啦,1,2020-08-13 18:23
https://weibo.cn//u/3125095543,做好准备跟着节奏走,男,广东,126,173,298,把那传谣抓起来,0,2020-08-13 18:21
https://weibo.cn//u/2118788952,年轻人不要怕什么,男,广东,1366,1184,262,回复@-珠bb:真的,0,2020-08-13 18:12
https://weibo.cn//u/2118788952,年轻人不要怕什么,男,广东,1366,1184,262,相信小福,0,2020-08-13 18:11
https://weibo.cn//u/6647435986,BAiCHuAn_,男,其他,2,76,7,就我公司楼下，给我整懵了,0,2020-08-13 17:47
https://weibo.cn//u/6779650774,刘文龙1240,男,广东,218,370,46,一定要看宫方信息，不要相信传言。,0,2020-08-13 17:18
https://weibo.cn//u/7419905418,彩云追月2002724,女,其他,578,30,4,回复@凤凰罗羽鸣:政府为民着想，辟谣反应快，棒棒哒。,1,2020-08-13 17:09
https://weibo.cn//u/6124138233,小白蛋丁,女,广东,528,412,2391,回复@-珠bb:真的啊,0,2020-08-13 16:40
https://weibo.cn//u/5795145564,魂牵勾起梦萦,男,江西,529,90,179,回复@-珠bb:五和那边的？,0,2020-08-13 16:35
https://weibo.cn//u/1415246952,深圳日月,男,广东,6406,765,2250,回复@海之帆云之哨:没有就好,0,2020-08-13 15:37
https://weibo.cn//u/2293088093,海之帆云之哨,男,海外,36160,1198,12239,回复@深圳日月:,0,2020-08-13 15:36
https://weibo.cn//zhengxinjian,郑新建,男,广东,7912,776,24565,及时辟谣，以正视听。,0,2020-08-13 15:29
https://weibo.cn//u/1415246952,深圳日月,男,广东,6406,765,2250,我差点就信了，吓得在办公室戴了半天口罩,0,2020-08-13 15:25
https://weibo.cn//chaowendao,朝闻道夕死可,男,广东,10503,1659,870,就想知道那些个人在造谣,0,2020-08-13 15:17
https://weibo.cn//u/2308652652,猪猪要减肥噢,女,广东,388,325,652,龙岗的那个鸡翅真的吗,1,2020-08-13 15:05
https://weibo.cn//u/5195067133,不可自拔的网瘾少女,女,其他,872,795,135,梅林农批检测出商品阳性是真是假？,1,2020-08-13 15:03
https://weibo.cn//444890417,李諾湮,女,广东,70,2,0,感谢🙏,0,2020-08-13 15:02
https://weibo.cn//u/6918023044,谁提开花就坎他,男,其他,18,213,82,回复@桃子_Endless:今天菜市场照常开门的，菜市场附近好几个数码市场，而且又是街道附近最大的菜市场，肯定动作会比较大的。,0,2020-08-13 14:47
https://weibo.cn//u/5693291772,MarsZYL的花朵兒,女,香港,2354,128,106,传播谣言建议抓到，严格惩罚,0,2020-08-13 14:32
https://weibo.cn//u/2119547813,园幼釉园,男,广东,1546,1494,484,造谣的人抓了没,3,2020-08-13 14:29
https://weibo.cn//u/3663138953,广东富婆仙女,女,广东,35,402,2159,吓死我了,0,2020-08-13 14:27
https://weibo.cn//u/2119409814,丽伢伢,女,青海,4149,502,20760,够速度,8,2020-08-13 14:26
https://weibo.cn//u/1840415540,喂丫头520,男,广东,14,108,17,抓起来，麻蛋，这都能开玩笑，视频我看了，真以为有那么回事，艹，必须抓起来,0,2020-08-13 14:23
https://weibo.cn//u/2712422112,铭家2020,男,其他,264,50,4,回复@凤凰罗羽鸣:赞福田区政府反应相当神速,1,2020-08-13 14:22
https://weibo.cn//u/7073271397,书读得太少事想得太多,男,广东,4,37,6,昨天发微博的那几个抓起来,0,2020-08-13 14:20
https://weibo.cn//u/7037047838,三山与河,男,其他,0,63,1,咳咳。懂得自然懂,0,2020-08-13 14:19
https://weibo.cn//u/1763664522,桃子_Endless,女,广东,1705,425,552,回复@谁提开花就坎他:那就好，我去和邻居们说一下。 官方要是能简单说一下过程就好了。,0,2020-08-13 14:19
https://weibo.cn//u/2800566013,wuli凯羲佳琰,女,广东,9691,979,851,我还看到传华富市场有阳性产品，可不可以去提醒一下隔壁的龙华，给点准确的消息,4,2020-08-13 14:17
https://weibo.cn//u/7409391231,2020海裳依旧,男,广东,438,35,7,回复@凤凰罗羽鸣:福田区政府反应神速，值得信赖。,1,2020-08-13 14:16
https://weibo.cn//lingzhonghongyun,深圳李玉芝,女,广东,88589,490,6637,很及时！,0,2020-08-13 14:14
https://weibo.cn//u/6918023044,谁提开花就坎他,男,其他,18,213,82,回复@桃子_Endless:昨晚福田同样也只是检测冷冻品，因为其他区检测出来一例冷冻室外包装阳性，所以同一公司出来的冷冻品都需要检测，万幸的是福田的都是阴性。,0,2020-08-13 14:13
https://weibo.cn//u/7051096571,陈果然,女,其他,174,170,37,官宣及时也重要，谣言传播极快，福田发布来打假,1,2020-08-13 14:12
https://weibo.cn//u/7409052411,番番1984,男,广东,392,39,10,回复@凤凰罗羽鸣:凤凰记者很敏锐，转发很及时。,2,2020-08-13 14:10
https://weibo.cn//u/7386101036,彩云间2001,女,广东,699,116,33,回复@凤凰罗羽鸣:政府辟谣很及时，赞赞！,1,2020-08-13 14:06
https://weibo.cn//u/5592046360,猪麻-bobo,女,广东,2579,179,33,H……干嘛呢……吓得,0,2020-08-13 14:05
https://weibo.cn//u/6427438064,浪眼看深圳,男,广东,11305,249,636995,关于近日网传福田区爱华市场出现一例新冠病例的信息，经区卫健部门核实，该消息为谣言。     举报             赞[2]         回复             2020-08-13 14:04:28 来自网页,2,2020-08-13 14:04
https://weibo.cn//u/1737496390,Magic源少,男,广东,89,130,181,都看到那个视频很多警察啊,0,2020-08-13 14:00
https://weibo.cn//u/6022016083,吗的煞笔,男,云南,33,146,21,昨晚为什么封闭菜市场，医务人员检查什么？心没法平静，惶恐,1,2020-08-13 13:58
https://weibo.cn//shenshixinwen,深圳卫视深视新闻,女,广东,6039,115,594733,关于近日网传福田区爱华市场出现一例新冠病例的信息，经区卫健部门核实，该消息为谣言。,2,2020-08-13 13:58
https://weibo.cn//zhao369809795,不愿意透漏姓氏的赵同学,男,广东,810,273,372,为什么有照片出来？,0,2020-08-13 13:56
https://weibo.cn//u/1832093264,蔡小右cc,女,广东,377,431,729,抓起来,1,2020-08-13 13:53
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,关于近日网传福田区爱华市场出现一例新冠病例的信息，经区卫健部门核实，该消息为谣言。,0,2020-08-13 13:53
https://weibo.cn//u/5774448151,pilipalaXxXx,女,广东,1132,546,1227,网传海吉星市场被封真的假的,0,2020-08-13 13:52
https://weibo.cn//u/2856854645,ZR森重宽,男,海外,173,633,163,福田农批鸡腿是真事假事？,1,2020-08-13 13:50
https://weibo.cn//wellan,熊喵3000問,男,其他,7920,118,16,那就好！祈求平安！,0,2020-08-13 13:46
https://weibo.cn//u/1763664522,桃子_Endless,女,广东,1705,425,552,回复@谁提开花就坎他:冷冻品是龙岗啊，这是福田。之前说是羊肉店哦,0,2020-08-13 13:46
https://weibo.cn//u/1664123720,敏敏子_m,女,广东,1275,610,426,我昨天才去那里买菜，昨晚真的吓死我了,1,2020-08-13 13:45
https://weibo.cn//u/6918023044,谁提开花就坎他,男,其他,18,213,82,回复@桃子_Endless:检测进口冻品肉类罢了。,3,2020-08-13 13:42
https://weibo.cn//u/6918023044,谁提开花就坎他,男,其他,18,213,82,回复@帮忙想个霸气的网名:事件可大可小，肯定要这么大型的排查检测的，对市民负责，毕竟菜市场门口整天来来往往太多人了。,0,2020-08-13 13:41
https://weibo.cn//u/2238782095,帮忙想个霸气的网名,男,广东,72,492,139,昨晚劳师动众。难免市民会猜疑。早点辟谣早点安心。。,0,2020-08-13 13:39
https://weibo.cn//u/3497435301,王爷妾身想吃烧烤,女,广东,251,684,42354,回复@桃子_Endless:同问,0,2020-08-13 13:38
