评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//hu823828,来不及吃瓜的群众,男,上海,254,181,332, 叶孙子滚过来打脸了,274,2020-06-08 12:15
https://weibo.cn//zhjunpd,泥水匠张师傅,男,安徽,143,86,29,科学家已经证明，长期吃饭喝水的人，几十年后都死了！,123,2020-06-08 18:01
https://weibo.cn//u/7437177087,水管工123,男,其他,6,13,4,爷爷是真爷爷，孙子是真孙子！,0,2020-06-12 17:20
https://weibo.cn//u/3981413187,金戈舞情,男,陕西,33,126,7,回复@来不及吃瓜的群众:方方的老情人,0,2020-06-11 21:09
https://weibo.cn//u/3981413187,金戈舞情,男,陕西,33,126,7,叶大闲的蛋疼,0,2020-06-11 21:09
https://weibo.cn//u/3045609651,方方今天biss嗷,男,其他,29,8,22,回复@传世唐可er:不，它是所有公知的爹,3,2020-06-11 08:45
https://weibo.cn//u/7390944615,做人不易987,男,其他,363,453,14,请问食盐里的亚铁氰化钾会不会有超标的可能呢？比如说有这样的企业存在，不然怎么会出现这样的声音，话说，无风不起浪，我是希望有关部门能亲自查查，毕竟这是关乎中国人包活你我的身体健康的事情，马虎不得。,0,2020-06-10 18:10
https://weibo.cn//hu823828,来不及吃瓜的群众,男,上海,254,181,332,回复@传世唐可er:不，它是你爹,2,2020-06-10 12:34
https://weibo.cn//friendship,悲欢起落终静默,男,上海,4842,956,1437,辟谣来了哟。,0,2020-06-10 12:14
https://weibo.cn//u/6591136310,高玉川246,男,山东,133,25,59,食用盐的问题让我不再相信科学辟谣了！你使劲吃这样的盐，看看会不会越来越肿,0,2020-06-10 06:34
https://weibo.cn//u/6224010055,嘻嘻皮IS带亡,男,海外,24,102,9,回复@来不及吃瓜的群众:他都能当你爹了。,0,2020-06-10 02:44
https://weibo.cn//u/3224641270,起个威武霸气的网名,男,湖北,11,48,23,回复@拆台小英雄:我没骂啊，我就讽刺他几句，他不经常阴阳怪气的嘛。,0,2020-06-09 19:23
https://weibo.cn//u/1082327034,拆台小英雄,男,江苏,683,198,223,回复@起个威武霸气的网名:不拉黑看你骂他？,0,2020-06-09 19:14
https://weibo.cn//u/1765641013,林-小洋,女,四川,15541,454,813,第五张图片，“基本”都可以保证安全性。。。顿顿都要的吃东西都是基本安全,0,2020-06-09 18:55
https://weibo.cn//u/7347021584,敬夸父,男,其他,23,230,16,可惜谣言点击率千千万，辟谣点击率寥寥可数,0,2020-06-09 18:14
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@东旭行L:幼儿园小班毕业。专逗你这种玩意。,0,2020-06-09 17:53
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@东旭行L:你个叶不孝子。,0,2020-06-09 17:51
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@comedyYR:你也快成英雄了，加油。,0,2020-06-09 17:50
https://weibo.cn//u/5207981469,comedyYR,男,四川,375,229,1162,回复@民告官不畏艰:那你想说明什么？别人现在都成了英雄，你还在这儿骂骂咧咧 呵呵,1,2020-06-09 16:12
https://weibo.cn//u/7329246922,东旭行L,男,广东,10,95,2,回复@民告官不畏艰:懂了叶孝子啊,0,2020-06-09 16:03
https://weibo.cn//u/7329246922,东旭行L,男,广东,10,95,2,回复@民告官不畏艰:这就急了？原来真没上过高中,0,2020-06-09 16:02
https://weibo.cn//u/6863372628,姬蝎,女,黑龙江,2555,270,109,回复@抗疫先锋陈时中:你化学知识好牛逼，我好羡慕，不过我不知道这个词因为什么犯罪了？,0,2020-06-09 10:37
https://weibo.cn//u/7393280192,鸡毛令剑,男,广东,1294,162,73,各位喜欢亚铁氰化钾就多吃点，预防蛆块联,1,2020-06-09 10:36
https://weibo.cn//u/6411709360,钢板万岁哦,男,其他,111,54,26,FeC可太艹了,0,2020-06-09 10:21
https://weibo.cn//u/3628435203,斯芬188,男,其他,486,117,31, 进来挨打,0,2020-06-09 10:02
https://weibo.cn//u/7169395847,小小的秘密空间,男,其他,78,135,4,回复@民告官不畏艰:嘿嘿，事实证明新冠的确不是sars,4,2020-06-09 08:26
https://weibo.cn//u/7329246922,东旭行L,男,广东,10,95,2,回复@民告官不畏艰:nt就别出来秀了吧高中化学都没你妈学过也配bb?,0,2020-06-09 08:24
https://weibo.cn//u/6863372628,姬蝎,女,黑龙江,2555,270,109,回复@抗疫先锋陈时中:,0,2020-06-09 08:12
https://weibo.cn//u/6888301803,睿业政明,男,江苏,3,3,50,回复@民告官不畏艰:每个回帖，你都发，你是不是有病？,5,2020-06-09 07:15
https://weibo.cn//u/7415136010,LeedSun-M,男,四川,68,296,17,回复@民告官不畏艰:反科学的公知信徒也是够搞笑,6,2020-06-09 06:56
https://weibo.cn//u/5315497122,花华LoveCyanrain,男,天津,178,258,82,回复@民告官不畏艰:真有意思，搁这偷换啥概念呢？化学这玩意东西都是死的，俩能一样？,2,2020-06-09 06:49
https://weibo.cn//u/1409720554,理想班组武器,男,广东,2624,268,98,回复@weijianke74:造谣的要不要担责,0,2020-06-09 04:44
https://weibo.cn//benjerrys,格兰德河,男,海外,143,258,225,既然如此，微博又为什么不让搜索亚铁氰化钾呢？在怕什么呢？,0,2020-06-09 03:41
https://weibo.cn//u/7384720952,拿板砖的四川兔,男,四川,13,231,3,回复@民告官不畏艰:自己想想你为啥到处发这张都没一个赞,5,2020-06-09 02:25
https://weibo.cn//u/7449800011,英雌联盟,男,北京,1418,478,17,回复@cherryaixi:亚铁氰化钾和一氧化二氢，这玩意都是智商毒药，智商越低，毒性越大,2,2020-06-09 01:03
https://weibo.cn//u/7449800011,英雌联盟,男,北京,1418,478,17,回复@cherryaixi:你试试远离一氧化二氢会不会永生呗,0,2020-06-09 01:02
https://weibo.cn//u/6863372628,姬蝎,女,黑龙江,2555,270,109,回复@起个威武霸气的网名:那请问为啥这词成了违禁词了,0,2020-06-09 00:50
https://weibo.cn//u/6863372628,姬蝎,女,黑龙江,2555,270,109,回复@抗疫先锋陈时中:你可以在微博搜一下这词，看能搜到什么惊喜,1,2020-06-09 00:50
https://weibo.cn//u/1649133972,cherryaixi,女,江苏,1737,235,84,回复@广坎达佛爱屋:又一个懂王，还懂永生，抗凝结的盐已给你准备好了，去永生吧,0,2020-06-09 00:26
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@Z焕城:G wen  你继续。,1,2020-06-08 23:58
https://weibo.cn//u/6150173303,weijianke74,男,其他,260,2091,308,回复@北方拳民总教头:官方打脸，真的不痛。,0,2020-06-08 23:49
https://weibo.cn//u/6150173303,weijianke74,男,其他,260,2091,308,回复@陈素梅律师:官方打脸，真的不痛吗？,0,2020-06-08 23:48
https://weibo.cn//u/6150173303,weijianke74,男,其他,260,2091,308,回复@陈素梅律师:官方打脸了，不痛吗？,0,2020-06-08 23:47
https://weibo.cn//u/6150173303,weijianke74,男,其他,260,2091,308,回复@北方拳民总教头:官方打脸，痛不痛。,0,2020-06-08 23:46
https://weibo.cn//520136788,Z焕城,男,海外,479,275,32544,回复@民告官不畏艰:G wen 滚,3,2020-06-08 23:34
https://weibo.cn//u/7268667640,北方拳民总教头,男,江苏,32,63,3,回复@weijianke74:洒比吗？,0,2020-06-08 23:31
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@树荫下的帕吉:图片评论 http://t.cn/A62d5Cjd,0,2020-06-08 23:24
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@feifan婚礼摄影:图片评论 http://t.cn/A62d5qiO,0,2020-06-08 23:23
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@花华LoveCyanrain:辟谣来了。 http://t.cn/A62d5Zkk,0,2020-06-08 23:22
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@抗疫先锋陈时中:精准辟谣。 http://t.cn/A62dqjVX,1,2020-06-08 23:20
https://weibo.cn//hu823828,来不及吃瓜的群众,男,上海,254,181,332,回复@民告官不畏艰:图片评论 http://t.cn/A62d4rrH,11,2020-06-08 23:08
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@weijianke74:辟谣来了。 http://t.cn/A62d4W4w,0,2020-06-08 23:07
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@睿业政明:图片评论 http://t.cn/A62dUguY,0,2020-06-08 23:05
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@一个院长的思考:辟谣来了。 http://t.cn/A62dUuy2,0,2020-06-08 23:04
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@cherryaixi:辟谣来了。 http://t.cn/A62dUKrG,0,2020-06-08 23:03
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@1982陶:辟谣来了。 http://t.cn/A62dU5s3,0,2020-06-08 23:02
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@Z焕城:辟谣来了。 http://t.cn/A62dUAok,1,2020-06-08 23:01
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@sparkle奶糖:辟谣来了。 http://t.cn/A62dyTtc,0,2020-06-08 22:59
https://weibo.cn//u/6150173303,weijianke74,男,其他,260,2091,308,回复@陈素梅律师:叶大鹰本人开始：信谣⇔传谣⇔辟谣,0,2020-06-08 22:58
https://weibo.cn//u/1106753617,陈素梅律师,女,其他,673,197,168,回复@weijianke74:你是别有用心，攻击中国不安好心。,0,2020-06-08 22:51
https://weibo.cn//u/5315497122,花华LoveCyanrain,男,天津,178,258,82,回复@小动物爱我:就这就这就这？说实话，我觉得你挺潇洒的，很酷，上天给你生了脑子，但你就是任性不用，洒脱。专门at您给您开开眼辟个谣，咋还跟我对起线来了呢,1,2020-06-08 22:50
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@吴老西西:是吧 http://t.cn/A62dwL1p,0,2020-06-08 22:40
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@feifan婚礼摄影:辟谣很重要。 http://t.cn/A62dZgwy,0,2020-06-08 22:39
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@_多说_无益_:打种狗脸。 http://t.cn/A62dZQlO,0,2020-06-08 22:39
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@浪末仙:辟谣来了。 http://t.cn/A62dZN40,0,2020-06-08 22:38
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@面壁ta:搞笑的？ http://t.cn/A62dZJEG,0,2020-06-08 22:37
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@泥水匠张师傅:辟谣来了。 评论配图,1,2020-06-08 22:37
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,回复@来不及吃瓜的群众:辟谣来了。 评论配图,2,2020-06-08 22:36
https://weibo.cn//u/6094748374,民告官不畏艰,男,广东,19045,4436,4763,辟谣来了。 ,1,2020-06-08 22:32
https://weibo.cn//u/6150173303,weijianke74,男,其他,260,2091,308,回复@五月199603:为什么？？？？,0,2020-06-08 22:29
https://weibo.cn//u/6610270569,五月199603,女,重庆,10,14,24,回复@weijianke74:谢谢,0,2020-06-08 22:20
https://weibo.cn//u/1350771811,1982陶,男,广东,513,119,168, 一把年纪了，什么不学，学,4,2020-06-08 21:57
https://weibo.cn//u/6861129132,西楼史院,男,其他,20,79,15,回复@cherryaixi:一天8杯H20   一百年说不定就死了,1,2020-06-08 21:38
https://weibo.cn//522207171,小动物爱我,女,其他,2903,641,661,回复@花华LoveCyanrain:啧啧啧，蛋白质都能说话了，你了不起,0,2020-06-08 21:03
https://weibo.cn//u/5315497122,花华LoveCyanrain,男,天津,178,258,82,回复@小动物爱我:啧啧啧，那要照这么说，您了这么多年那可真算是没白活呀，毕竟挺大年纪了还到处秀智商确实少见,1,2020-06-08 20:59
https://weibo.cn//522207171,小动物爱我,女,其他,2903,641,661,回复@花华LoveCyanrain:我上中学，您还在您爸爸那里没出来呢,0,2020-06-08 20:41
https://weibo.cn//u/5315497122,花华LoveCyanrain,男,天津,178,258,82, 咱了这还在上中学就别跟着节奏跑了呗，多读会书他不香吗,0,2020-06-08 20:37
https://weibo.cn//u/5367403249,叫我CBC就好,男,其他,1243,868,106,回复@来不及吃瓜的群众:科学辟谣不民主不自由,3,2020-06-08 19:58
https://weibo.cn//u/3187525994,一个院长的思考,男,浙江,53019,7213,571194,对此，,0,2020-06-08 19:52
https://weibo.cn//u/6150173303,weijianke74,男,其他,260,2091,308,围观谣棍叶大鹰,0,2020-06-08 19:34
