评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6126279893,健洋攝影,男,台湾,49,272,191,❤️👍👍👍👍,2,2020-10-02 13:37
https://weibo.cn//u/7390318408,DLP打印,男,其他,82,529,3,123,0,2020-10-02 14:50
https://weibo.cn//u/6773559529,小飞马安尼,女,重庆,722,877,142,马了再看 ,0,2020-10-05 03:49
https://weibo.cn//u/7503090781,小窗口看远景,女,江苏,36,19,1,长知识了,0,2020-11-02 00:27
https://weibo.cn//574682222,昀昭,男,辽宁,4361,151,252,当初专家提出的好像是疫苗对变异的病毒有可能无效，但到现在也没具体论证,0,2020-10-12 12:56
https://weibo.cn//u/6644025171,明天你好v开水,女,海外,718,150,761,微博内部工作人员需要整顿一下了，成传谣造谣平台了，不能有钱就胡说八道呀。建议微博听党指挥跟党走！,0,2020-10-07 07:13
https://weibo.cn//u/1591500990,踏雪无痕独行,女,山东,86,772,28,     举报             赞[0]         回复             2020-10-05 06:40:09 来自网页,0,2020-10-05 06:40
https://weibo.cn//u/6773559529,小飞马安尼,女,重庆,722,877,142,马了再看 ,0,2020-10-05 03:49
https://weibo.cn//u/1639451362,恋了散了凉了,男,广东,741,141,123,支持辟谣,0,2020-10-05 01:45
https://weibo.cn//u/5553581243,Amy乐筱,女,福建,540,558,86,我是直接告诉我婆婆，这些东西你看可以，都是真不真假不假的新闻，专门骗人的，但是你记住一定不能转发，不然什么时候吃饭吃饭牢里去自己都不知道。,0,2020-10-04 18:06
https://weibo.cn//u/3186679112,十一位好友,男,北京,754,334,81,回复@玩命知途:那万一没有，你这又说有，那不是造谣了？,0,2020-10-04 17:58
https://weibo.cn//u/6047536516,hao1262011666,女,湖南,71514,2645,997,转发微博,0,2020-10-04 09:21
https://weibo.cn//u/7405682683,岁月静好7405682683,男,辽宁,981,205,25,居心叵测的人太多,0,2020-10-04 08:45
https://weibo.cn//u/5127528556,草儿40969,男,其他,2312,275,144,不看不知道，一看吓一跳。,0,2020-10-04 06:40
https://weibo.cn//wg30423,WG30423,男,天津,355,153,156,啥,0,2020-10-03 23:19
https://weibo.cn//u/1833352332,钟以谦_中传大,男,北京,1637,136,2722,为什么不去碰碰股市里的流言?,0,2020-10-03 22:14
https://weibo.cn//u/3645364604,广西捉谣记,女,广西,4711,198,32428, ,0,2020-10-03 12:21
https://weibo.cn//u/5503857291,是Tomua让池帆变成了国王,男,其他,462,150,91,@DesmondChoi,0,2020-10-03 08:26
https://weibo.cn//u/1809660610,玩命知途,男,福建,533,213,329,目前尚没有科学依据表明，就说成没有，这辟谣也太随个性了吧？,1,2020-10-03 07:25
https://weibo.cn//zjjhga,金华公安,男,浙江,43785,1761,944743,【,0,2020-10-03 04:39
https://weibo.cn//u/2293416392,假日闲情的新家_986_457,男,广东,625,180,40,科学辟谣！,0,2020-10-02 23:54
https://weibo.cn//u/3276600802,zjhzjcn,男,浙江,3795,110,337,提高科学素质，培养科学思维。,0,2020-10-02 23:09
https://weibo.cn//u/1014054062,牧歌荒原,男,云南,2179,155,851,关键还是要多读书。,0,2020-10-02 21:00
https://weibo.cn//u/7390318408,DLP打印,男,其他,82,529,3,123,0,2020-10-02 14:50
https://weibo.cn//u/6126279893,健洋攝影,男,台湾,49,272,191,❤️👍👍👍👍,2,2020-10-02 13:37
