评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/7415172934,乳腺1毫米,女,四川,1256,297,10872,特别是食物发霉这个，一定要注意，霉菌只是长在肉眼看不见的地方，并不代表没有。,11,2020-09-03 14:40
https://weibo.cn//u/2127204611,孟灿宇,男,山东,6485,990,545, 举报 赞[0] 回复 2020-09-04 22:24:53 来自网页,0,2020-09-04 22:24
https://weibo.cn//zjjhga,金华公安,男,浙江,43786,1761,944745, ,0,2020-09-04 03:01
https://weibo.cn//u/5509908950,穿普拉达的女王27201,女,其他,229,219,28,转发微博,0,2020-09-26 09:19
https://weibo.cn//u/2775892915,中国健康教育官方微博,男,北京,6409,544,208367,八月,0,2020-09-20 15:00
https://weibo.cn//u/1822375607,曲曲曲-曲曲曲,男,广东,0,56,31,公众号也发一下！我转给家里人看。,0,2020-09-06 08:52
https://weibo.cn//u/7243007888,二宝妈201202,女,辽宁,7,104,3,克kejjmdexq租房子八仨h,0,2020-09-05 21:51
https://weibo.cn//u/3902816316,神的孩子丶丶都在跳舞丶丶,男,山东,131,115,49, ,0,2020-09-05 21:17
https://weibo.cn//u/2127204611,孟灿宇,男,山东,6485,990,545,     举报             赞[0]         回复             2020-09-04 22:24:53 来自网页,0,2020-09-04 22:24
https://weibo.cn//u/5880302341,戴同晟女朋友,男,其他,326,213,57,回复@杀杀人晒晒尸:发酵豆腐的是酵母菌 豆腐毛好像是直立菌丝,0,2020-09-04 17:55
https://weibo.cn//u/2640936052,红杉sunshine,女,山东,592,998,89,👍,0,2020-09-04 13:13
https://weibo.cn//u/7305519661,霜晨月666,男,其他,988,212,15,     举报             赞[0]         回复             2020-09-04 12:38:51 来自网页,0,2020-09-04 12:38
https://weibo.cn//u/2498751485,若兰清梅,女,山东,484,173,105,     举报             赞[0]         回复             2020-09-04 11:27:08 来自网页,0,2020-09-04 11:27
https://weibo.cn//u/7411989584,NoHigherHonor,女,北京,10,34,5,图五那个，正常成熟变黄的香蕉颜色是均匀的？你说催熟剂对人体健康没有什么影响还差不多……,0,2020-09-04 10:09
https://weibo.cn//u/6044043650,期许548,男,河南,554,212,241,了解,0,2020-09-04 09:01
https://weibo.cn//u/5765480677,莫双7,男,其他,1433,1617,642,     举报             赞[0]         回复             2020-09-04 07:42:08 来自网页,0,2020-09-04 07:42
https://weibo.cn//u/1666542145,杀杀人晒晒尸,男,江西,20,100,56,霉豆腐那不是不能吃，还有发酵的东西？,0,2020-09-04 07:42
https://weibo.cn//u/2286637643,张同坤,男,北京,369,2213,290,早,0,2020-09-04 07:36
https://weibo.cn//u/6303738201,幸事得见几桩,男,四川,260,422,6,     举报             赞[0]         回复             2020-09-04 07:26:11 来自网页,0,2020-09-04 07:26
