微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
Iw26MgZvj,#辟谣# 【声明】新型冠状病毒肺炎疫情发生以来，在党中央、省委、市委的坚强领导下，全区人民众志成城、抗击疫情，经共同努力，至2020年2月26日，苏州工业园区已连续19天无新增新型冠状病毒肺炎确诊病例，也无疑似病例。近日，网上传言“园区有外籍人员确诊”的消息不属实，敬请广大市民不信谣、不传谣。 @健康苏州 @苏州工业园区发布 原图 ,,http://wx2.sinaimg.cn/large/b2b28b54gy1gca6cp70a6j20ku0bhgmh.jpg,无,TRUE,无,无,2020/2/26 22:32,iPhone 7,70,3,28,1
ItHx0vIZC,#送硬核江苏上热搜##在线辟谣# 【辟谣】网传#江苏医疗队行李丢失#，最初是混装分拣时带来的误会，被营销号无限放大成谣言。看看视频中当事医护人员怎么说的，别再传谣！目前行李都拿到了，医护人员早已投入紧张的战疫中。向他们致敬！ http://t.cn/A6hzWMgT #咱们一定可以克服这场疫情##关于新型冠状病毒的谣言#  ,,无,无,TRUE,无,无,2020/2/11 14:28,iPhone 7,160,16,58,2
It6DoagJo,#辟谣##共同战疫##关注江苏新型肺炎疫情##抗击新型肺炎我们在行动# 【非常时期，自来水加大了氯气注入？请勿轻信此谣言！】这两天，网上谣传“非常时期，自来水在允许范围内加大了氯气的注入，建议最少静置两小时以上再用，这样会更健康。”在此，苏州市自来水公司提醒广大市民，请勿轻信此类谣言！苏州自来水水质安全，指标合格。 原图 ,,http://wx1.sinaimg.cn/large/b2b28b54ly1gbnx6m6729j20m80godiz.jpg,无,TRUE,无,无,2020/2/7 16:32,iPhone 7,96,8,50,1
IsL0h7pip,#辟谣##抗击新型肺炎我们在行动# 【一男子谎报疫情被行拘10日】2月2日13时许，阳澄湖半岛派出所接120报警称，一名男子拨打120称其在唯亭某小区的母亲之前和武汉人有接触且现在发烧了，120至现场却无法联系上当事人。民警调查发现，现年29岁的男子刘某某自2020年2月1 日刑满释放后，连续两次谎报疫情、警情，故意扰乱公共秩序，根据《中华人民共和国治安管理处罚法》第二十五条第一项规定，园区公安分局决定对其处以行政拘留十日处罚。当前，正处抗击疫情关键时期，对恶意编造、发布、传播谣言，谎报疫情、警情，故意扰乱社会秩序、影响社会安定的违法行为公安机关将依法严惩！@平安园区 @苏州公安 原图 ,,http://wx2.sinaimg.cn/large/b2b28b54ly1gbl9nfizaaj20hs0s0gou.jpg,无,TRUE,无,无,2020/2/5 9:28,iPhone 7,156,14,30,2
Isjg1hu50,#共同战疫##抗击新型肺炎我们在行动##辟谣# 关于通安镇网传惠某某“不配合收治”的视频及“目前惠某某父子两人均已被确诊”等言论为不实信息，望广大网友不信谣、不传谣，共同抗击疫情。  原图 ,,http://wx1.sinaimg.cn/large/b2b28b54ly1gbhv6x4597j20ku1124o0.jpg,无,TRUE,无,无,2020/2/2 10:50,iPhone 7,295,12,152,1
IrUyf2V2m,#辟谣##抗击新型肺炎我们在行动##共同战疫# 近日，网上流传“苏州母子医院产妇感染新型冠状病毒”。今天，市立医院相关负责人向记者表示，该消息不实，该院未发现产妇为新型冠状病毒感染的肺炎病例。苏州市立医院党办相关负责人介绍，近日，一产妇入住苏州市立医院本部产科，入院前，医生询问是否去过湖北或有相关接触史，产妇予以否认。尔后，该产妇开始出现发热、咳嗽症状，她表示，其父母近期去过湖北武汉。市立医院立即对其隔离，进行采样。我市疾控部门对其密切接触者进行医学观察。样本经市疾病预防控制中心检测，结果为阴性。该负责人表示，医院按照江苏省突发公共卫生事件一级响应开展相关工作，请广大市民不造谣、不信谣、不传谣。 原图 ,,http://wx2.sinaimg.cn/large/b2b28b54ly1gbeu4l3pvzj20ku0ba754.jpg,无,TRUE,无,无,2020/1/30 19:56,iPhone 7,287,5,66,3
IrUmOa8Oa,#辟谣##共同战疫# 关于网传“吴中区全面爆发疫情，传染了40几个全部确诊”为不实信息。望广大市民不信谣、不传谣，共同抗击疫情。  原图 ,,http://wx1.sinaimg.cn/large/b2b28b54ly1gbetbaby3zj20ku0t2427.jpg,无,TRUE,无,无,2020/1/30 19:28,iPhone 7,99,10,52,1
IrABb8Z59,【转发辟谣！#这些疫情谣言不要信#】钟南山建议全国人民在家隔离两周？吃大蒜胜过杀病毒的口腔药物？吃香蕉会得新型冠状病毒肺炎？香油滴鼻孔可阻断传染？人中涂风油精可预防呼吸道疾病？熏白醋能消毒空气？……这些传言通通都是假的！#最新疫情谣言汇总#，转给身边人！  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/b2b28b54ly1gbce1eh0bqj20go0jnju6.jpg,http://ww4.sinaimg.cn/large/b2b28b54ly1gbce1eut63j20go0jngo3.jpg,http://ww4.sinaimg.cn/large/b2b28b54ly1gbce1f60f6j20go0jn410.jpg,http://ww1.sinaimg.cn/large/b2b28b54ly1gbce1fi95aj20go0jnmzo.jpg,http://ww2.sinaimg.cn/large/b2b28b54ly1gbce1fv6ctj20go0jnju3.jpg,http://ww3.sinaimg.cn/large/b2b28b54ly1gbce1g78hvj20go0jnjty.jpg,http://ww3.sinaimg.cn/large/b2b28b54ly1gbce1gicu0j20go0jnju1.jpg,http://ww2.sinaimg.cn/large/b2b28b54ly1gbce1h5om6j20go0jnmzt.jpg,http://ww1.sinaimg.cn/large/b2b28b54ly1gbce1hmmccj20go0jnju1.jpg",无,TRUE,无,无,2020/1/28 17:08,iPhone 7,24,7,7,1
IrhlJfb39,【转发辟谣！#这些新型肺炎传言是假的#】钟南山院士被传染了？上海已限制外地车牌进沪？成都封高速了?盐水漱口能防新型肺炎？郑州26日空中喷洒防疫药剂？……这些说法你听过吗？#最新新型肺炎谣言汇总#，这些统统都是假的↓↓不信谣，不传谣！转发辟谣！  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/b2b28b54gy1gba11vuwwsj20dw0m8gmj.jpg,http://ww4.sinaimg.cn/large/b2b28b54gy1gba11wc9e5j20dw0m8jsb.jpg,http://ww2.sinaimg.cn/large/b2b28b54gy1gba11wt5xbj20dw0m8my1.jpg,http://ww3.sinaimg.cn/large/b2b28b54gy1gba11vem96j20dw0m8wff.jpg,http://ww3.sinaimg.cn/large/b2b28b54gy1gba11xbs4kj20dw0m8gmg.jpg,http://ww3.sinaimg.cn/large/b2b28b54gy1gba11xuep2j20dw0m8aax.jpg,http://ww4.sinaimg.cn/large/b2b28b54gy1gba11ykmy4j20dw0m8aaz.jpg,http://ww2.sinaimg.cn/large/b2b28b54gy1gba11yyn2oj20dw0m83ze.jpg,http://ww1.sinaimg.cn/large/b2b28b54gy1gba11zexclj20dw0m8wfb.jpg",无,TRUE,无,无,2020/1/26 16:08,iPhone 7,22,6,13,1
Ir9OTuyaw,【转发辟谣！#这些新冠肺炎传言是假的#】熏醋可以预防新型冠状病毒？钟南山院士建议盐水漱口防病毒？抽烟能预防病毒感染？喝酒能杀菌，不易感染？多带层口罩才能防住病毒？…这些说法你听过吗？#最新新冠肺炎谣言汇总#，这些统统都是假的！戳图了解↓↓不信谣，不传谣！扩散周知！  原图 ,,http://wx3.sinaimg.cn/large/b2b28b54gy1gb93thavdfj20u08a9e81.jpg,无,TRUE,无,无,2020/1/25 20:58,iPhone 7,19,7,7,1
