评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1774999901,Chipzik,女,江苏,19,25,12,那现在这名孕妇是疑似还是排除观察？,0,2020-02-03 14:43
https://weibo.cn//u/2764169417,小凡_story,女,其他,27,15,13,谣言止于公开透明，道理肯定都懂的。如果认真对待这件事，说明第一次核酸检测阴性，后续还有没有核酸检测，家人怎么处理，隔离没有，医院怎么处理，有了这些信息，还会有人信谣言吗,0,2020-02-02 12:29
https://weibo.cn//u/5106463591,小禹妞,女,江苏,1189,67,58,害人精,0,2020-02-01 19:49
https://weibo.cn//u/1774999901,Chipzik,女,江苏,19,25,12,那现在这名孕妇是疑似还是排除观察？,0,2020-02-03 14:43
https://weibo.cn//u/2764169417,小凡_story,女,其他,27,15,13,回复@江舟司马弹琵琶:园区第一例就是一开始说是谣言，后来又证实的。这种时候，做好自我防护吧,0,2020-02-02 12:39
https://weibo.cn//u/2764169417,小凡_story,女,其他,27,15,13,谣言止于公开透明，道理肯定都懂的。如果认真对待这件事，说明第一次核酸检测阴性，后续还有没有核酸检测，家人怎么处理，隔离没有，医院怎么处理，有了这些信息，还会有人信谣言吗,0,2020-02-02 12:29
https://weibo.cn//u/2764169417,小凡_story,女,其他,27,15,13,回复@paper_叶:别哭，很多孕妇都要产检的。做好防护，带好口罩，不用手揉口眼鼻，回家洗手吹外套。这时候除了信任，就是自己给自己信心了,0,2020-02-02 12:16
https://weibo.cn//u/5106463591,小禹妞,女,江苏,1189,67,58,害人精,0,2020-02-01 19:49
https://weibo.cn//u/6207716945,我的红领巾依旧鲜艳,男,江苏,119,143,48,最讨厌这些人了，害人精,0,2020-02-01 11:35
https://weibo.cn//u/2698759393,大轮明王国师鸠摩智,男,江苏,162,267,113,母子医院的产检可以正常进行吗？,0,2020-01-31 19:23
https://weibo.cn//u/3539505051,satoh__h,女,海外,32,243,95,有没有考虑过那么多孕妇害怕到产检都不敢去。,0,2020-01-31 17:53
https://weibo.cn//u/1990575127,邢大花,女,江苏,4503,2539,536,请公布轨迹 并且多检测几次 我本来今天要去产检的 昨天听说这个事都没去 宝妈们现在都人心惶惶的啊,0,2020-01-31 16:30
https://weibo.cn//u/3848900905,妖妖零麽这有一只鹿,女,其他,15,36,9,母子医院那么多孕产妇！要重视啊！,0,2020-01-31 13:23
