评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2641130422,histoday888,男,江苏,750,408,156,，为什么会有谣言？因为信息不够公开透明！苏州对肺炎的病例的轨迹报道太模糊，不能让老百姓放心！,0,2020-02-04 22:55
https://weibo.cn//u/2834925267,Callosity-,男,江苏,84,116,135,昨天辟谣，今天通报确诊!政府部门啪啪打脸!!!,0,2020-02-03 18:48
https://weibo.cn//u/2153498417,人间富贵kido酱,女,江苏,17009,304,332,今天就确证了。。。,0,2020-02-03 14:28
https://weibo.cn//u/2641130422,histoday888,男,江苏,750,408,156,，为什么会有谣言？因为信息不够公开透明！苏州对肺炎的病例的轨迹报道太模糊，不能让老百姓放心！,0,2020-02-04 22:55
https://weibo.cn//u/1404246881,Chris一千零一,男,江苏,1239,948,291,回复@Chris一千零一:请问这个是惠某某的儿子吗？,0,2020-02-04 13:00
https://weibo.cn//u/2834925267,Callosity-,男,江苏,84,116,135,昨天辟谣，今天通报确诊!政府部门啪啪打脸!!!,0,2020-02-03 18:48
https://weibo.cn//sweecy,姑苏絮语,女,江苏,506,306,848,回复@OnosakaAsukaC:那个录音是后来做的 为了证明他没乱跑 事实他就是乱跑了 我亲戚 我朋友 他外甥女都作证,0,2020-02-03 15:41
https://weibo.cn//u/2153498417,人间富贵kido酱,女,江苏,17009,304,332,今天就确证了。。。,0,2020-02-03 14:28
https://weibo.cn//u/1299185535,苏北来的打工仔,男,江苏,645,235,105,今天有通安的感染了,0,2020-02-03 13:17
https://weibo.cn//u/3819447941,君颜陌丶,男,江苏,1150,67,66,打脸了通安那一例，还辟谣？？？,0,2020-02-03 13:08
https://weibo.cn//u/1404246881,Chris一千零一,男,江苏,1239,948,291,回复@梵小左:感觉就是文字游戏,0,2020-02-03 12:40
https://weibo.cn//u/1404246881,Chris一千零一,男,江苏,1239,948,291,玩文字游戏呢,0,2020-02-03 12:36
https://weibo.cn//u/5223205569,枕稳衾温w,女,江苏,78,83,262,@俞十八-,0,2020-02-03 12:08
https://weibo.cn//onosakaasuka,OnosakaAsukaC,女,江苏,2099,423,296,回复@姑苏絮语:@OnosakaAsukaC：回复@姑苏絮语:社区人录音都有了明明白白说老头确诊，高新区还显示0,0,2020-02-03 01:54
https://weibo.cn//leslieencore,猫仔Zoe,女,江苏,11225,470,2050,苏州这次不够严谨，再严些！！,1,2020-02-03 00:54
https://weibo.cn//u/2695403481,娇娇wmj,女,江苏,1928,591,282,回复@Jessica大仙女:现在就是文字游戏，就是不告诉你们活动轨迹。看看别的市，隐私权确实可以，但是活动轨迹真的太重要了。这是不负责任。,0,2020-02-03 00:54
https://weibo.cn//u/2695403481,娇娇wmj,女,江苏,1928,591,282,所以有没有确诊，是不是去麻将馆打麻将了,0,2020-02-03 00:52
https://weibo.cn//weilaigouguanwang,用户不在线0o,男,其他,672,935,208,回复@橘子国国王的阿姨:嗯嗯,0,2020-02-03 00:26
https://weibo.cn//weilaigouguanwang,用户不在线0o,男,其他,672,935,208,回复@rr櫟:小区封门 基本附近每个小区都在做 这很正常 不过确诊确实,0,2020-02-03 00:26
https://weibo.cn//u/6732552752,阿蕊喜欢吃吃吃ha,女,其他,70,214,13,别辟谣了，还一起聚众打麻将，小区那都封了门卫，还有人拍了视频…别问我都是真的，同学在那边，那家人我爸妈也认识,0,2020-02-02 22:38
https://weibo.cn//u/2778208357,苏州房与家,女,江苏,0,300,112,回复@克拉克拉卢:雷允上和礼安有，每人可以买5个,0,2020-02-02 20:08
https://weibo.cn//u/2778208357,苏州房与家,女,江苏,0,300,112,回复@用户不在线0o:他家蛾子感染没？他老人家去吃57饭没，麻将没，请客没,0,2020-02-02 20:06
