评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//tieshoutongjun,铁手桐君,男,北京,48,130,1556,辟谣是辟谣了！但是真是暴露出问题了！考验统筹调配能力了,18,2020-02-11 14:45
https://weibo.cn//u/7308087850,阿福烧肉,男,其他,200,174,23,所以上海第三批自备安保和厨师，这都是有原因的,13,2020-02-11 14:57
https://weibo.cn//u/2101549544,欢喜179,女,江苏,84,139,98,要骂人就去骂造谣信谣的人！好多人都只是吐槽当地统筹安排对接的能力，确实做的不好不能说吗？这也要被反过来骂？现在统一口径说武汉不比以前，没有这个能力了？那些重症病人被转移去医院就靠一个司机，也是没有人了？被zy骂了不见你们跳脚骂回去啊！昨天一天江苏被骂被要求道歉，我真的服了,2,2020-02-12 10:47
https://weibo.cn//u/2519494810,---非一日之寒---,男,上海,284,364,276,回复@---非一日之寒---:110来了两次都没用，那个警察说这事管不了，听社区安排，社区只劝返，也不给集中隔离，我说我晚上露宿街头冻死了你们都要负责任的,0,2020-02-12 09:38
https://weibo.cn//u/1986912297,dk10101,男,江苏,3554,255,219,回复@活力小囡:看不懂说的反话吗？,0,2020-02-12 09:38
https://weibo.cn//u/1448000302,活力小囡,男,江苏,43,160,62,回复@dk10101:武汉可是有一千五百万人口的城市，几千人的接待能力没有？你开什么玩笑！,0,2020-02-12 09:09
https://weibo.cn//u/1448000302,活力小囡,男,江苏,43,160,62,江苏老百姓护崽心切喷了某地政府一天一夜，把下面的黄石小盆友直接懵逼了，于是昨天他们主动发布了安置信息，安排的很合理，连厨房都拍了，干干净净的。下面江苏群众又欢声笑语了。,0,2020-02-12 09:06
https://weibo.cn//u/2202413435,不肯去观音院lili,男,其他,3249,137,526,回复@念瑶也:要是能信？疫情会席卷全国吗？,1,2020-02-11 22:24
https://weibo.cn//u/2677412082,Woolove999,男,江苏,532,308,172,回复@眼子王-:自以为是，先入为主，请继续你的表演。,1,2020-02-11 22:09
https://weibo.cn//u/1821220621,眼子王-,女,海外,29,129,53,回复@马元东joker:先孝感又黄石谁公布了？是中央公布的吗？是中央公布了之后又改的吗？随便拿几个不是官方公布的消息就当真，不然网上这些谣言怎么来的？6000个人大巴车一车坐30个人你告诉我要多少量大巴车？张嘴多简单啊，随便几句话就往人头上扣盆子，人救援队都没吐槽你在这吐槽什么劲？出了一分力捐过一分钱？,0,2020-02-11 20:50
https://weibo.cn//u/6680955340,念瑶也,女,湖北,15,109,19,回复@撄宁Morning:还有那些我朋友说，我亲戚说，我家谁谁谁说,0,2020-02-11 20:00
https://weibo.cn//u/1986912297,dk10101,男,江苏,3554,255,219,回复@眼子王-:肯定不是，我不是说了吗一条接待几千人已经远超过武汉的接待能力。。,1,2020-02-11 18:37
https://weibo.cn//u/1807844870,破晓黎明forever,男,江苏,600,588,172,回复@眼子王-:是去救命的，咋协调的你告诉我？谁协调的你告诉我？先孝感又黄石？又是谁协调的？准备个车准备个面包很难么？还问为什么6000人一起到，真是笑话。,0,2020-02-11 18:02
https://weibo.cn//fanxiaozuo,梵小左,女,江苏,21036,408,1175,给我们的医护配套后勤吧 心疼他们,1,2020-02-11 17:59
https://weibo.cn//u/1821220621,眼子王-,女,海外,29,129,53,回复@dk10101:你当时全盛时期的机场？,1,2020-02-11 17:57
https://weibo.cn//u/1821220621,眼子王-,女,海外,29,129,53,回复@汪金文-sh:不辟谣这锅就该武汉背定了？真是搞笑。传谣的不是江苏人吗？反正💩喷子是要往武汉头上扣的，反正是不能替他们辟谣的。信了造谣还怎么信辟谣啊，打脸多疼啊,1,2020-02-11 17:56
https://weibo.cn//u/1821220621,眼子王-,女,海外,29,129,53,回复@Woolove999:是不是真的不知道去搜？搜江苏辟谣会不会？最新新闻不看在这问啥？杠精:官方没辟谣，我要官方辟谣，其他不信。 官方辟谣了，湖北官方辟谣:你已经没有公信力，滚！江苏官方辟谣:应该是私下协商好了，让我找找漏洞。医疗人员辟谣:你是不是被威胁了。中央辟谣：反正你们都是穿一条裤子的。是啊打脸多疼,2,2020-02-11 17:55
https://weibo.cn//u/1821220621,眼子王-,女,海外,29,129,53,回复@马元东joker:你以为是全盛时期的机场？全盛时期的机场自己的心自己拿走还有人分有人整夜不睡送上门？反正总得找点💩盆子往别人头上扣？你知道现在机场有多少人上班？一下来6000人不知道分批来？知道武汉困难还鸡蛋里挑骨头？,3,2020-02-11 17:52
https://weibo.cn//u/2851192147,甲基苯磺酸2013,男,江苏,27,59,30,回复@自带宅属性: 后勤保障自己来，自己开飞机过去自给自足,0,2020-02-11 17:27
https://weibo.cn//u/2851192147,甲基苯磺酸2013,男,江苏,27,59,30,回复@铁手桐君: 堪忧,0,2020-02-11 17:26
https://weibo.cn//u/1070187864,-sisi思思-,女,江苏,347,62,36,回复@汪金文-sh:不派你去真是浪费人才,1,2020-02-11 17:22
https://weibo.cn//zixuan11elan,就宣子暄,女,江苏,4284,328,174,哦,0,2020-02-11 16:53
https://weibo.cn//NewLakeBoy,大师兄--小龙,男,江苏,1810,686,384,行李拿到了，那物资呢,0,2020-02-11 16:32
https://weibo.cn//miya99009,维维豆奶90009,女,其他,11988,720,2504,只希望我们前线的英雄们好好的，我们谁都不希望这是真的啊！！！一定要安安全全回来,1,2020-02-11 16:20
https://weibo.cn//tcgogox,GoGo_X,男,江苏,419,555,208,下次还是自带保安和后勤人员吧！心疼一线,1,2020-02-11 16:18
https://weibo.cn//u/1870044057,三月再做决定吧_,女,江苏,12140,333,847,只希望苏州医疗队平安归来,1,2020-02-11 16:12
https://weibo.cn//u/2460196824,星疏月朗2010,女,江苏,8608,557,269,对，希望送厨师送保安去，这些医生护士都是我们城市的宝贝，这些护士在家里都是爸爸妈妈的心头肉！千万不要委屈了我们城市的宝！,0,2020-02-11 16:10
https://weibo.cn//u/2519494810,---非一日之寒---,男,上海,284,364,276,回复@---非一日之寒---:打了也没用，说江西只有南昌可以集中，其他劝返,0,2020-02-11 16:07
https://weibo.cn//u/1870270265,酋长牛头人,男,江苏,386,393,168,丢了就是丢了，只不过后来找到了,1,2020-02-11 16:07
https://weibo.cn//u/5196336658,一骨一谷,男,江苏,70,34,156,回复 ,0,2020-02-11 16:02
https://weibo.cn//u/1984719773,吗道知念着倒称昵,女,江苏,787,70,205,回复@一骨一谷:能进去小区吗？自己在家里隔离？,0,2020-02-11 15:52
https://weibo.cn//u/5196336658,一骨一谷,男,江苏,70,34,156,回复 ,0,2020-02-11 15:50
https://weibo.cn//tieshoutongjun,铁手桐君,男,北京,48,130,1556,回复@阿福烧肉:真有先见之明,0,2020-02-11 15:35
https://weibo.cn//u/1984719773,吗道知念着倒称昵,女,江苏,787,70,205,回复@一骨一谷:真的吗？这么严？,0,2020-02-11 15:11
https://weibo.cn//u/5196336658,一骨一谷,男,江苏,70,34,156,打110吧，会把你安排到集中隔离点 ，14天，要交四千多块钱,1,2020-02-11 15:06
