评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5744163841,蓝蓝的天动动的大志,女,浙江,10680,207,96,那封的湖西那家韩国饭馆是什么？,20,2020-02-26 23:17
https://weibo.cn//lingluotiankong,零落天空,男,江苏,2243,105,268,辟谣不能只说消息不实，应把消息的来龙去脉讲清楚，有助于提升公信力。,12,2020-02-26 23:51
https://weibo.cn//u/1768381891,石湖牧歌,男,江苏,11132,215,3123,好几次辟谣，两三天后被证实。。。其实是否谣言，民众是有判断力的,9,2020-02-27 04:52
https://weibo.cn//577558913,喵呜_嗷呜,女,江苏,1224,393,262,你知不知道你在人民心中都没公信力了，你们应该把事情起因来龙去脉说清楚，含糊其辞，让人如何信服！,0,2020-02-29 21:11
https://weibo.cn//u/6150989637,独孤求神5,男,江苏,158,2330,652,回复@离开的白马:,0,2020-02-28 06:06
https://weibo.cn//u/1747901414,作个青年,女,上海,1419,258,255,辟谣的声明很不清晰，反倒让人更加怀疑了,0,2020-02-27 17:26
https://weibo.cn//u/1677341172,小C是个大胖纸,女,江苏,447,822,234,有的辟谣还是自己本职工作做做好，湖西小区刚返苏的韩国人昨天贴了封条今天就又给撕了，说侵犯了去韩国人的人权了。一定要真出了事情，你们才会警惕吗？寒心。,0,2020-02-27 16:27
https://weibo.cn//u/7136757098,咆哮的中年人,男,江苏,25,94,5,这叫辟谣吗？,0,2020-02-27 13:57
https://weibo.cn//u/2172889523,梅姑娘有条狗,女,其他,70,118,22,反反复复的，谣言，辟谣，证实…,0,2020-02-27 13:26
https://weibo.cn//u/2599169985,离开的白马,男,江苏,15,165,96,回复@独孤求神5:园区,0,2020-02-27 13:24
https://weibo.cn//u/2599169985,离开的白马,男,江苏,15,165,96,回复@离开的白马:苏州,0,2020-02-27 13:22
https://weibo.cn//u/6150989637,独孤求神5,男,江苏,158,2330,652,回复@离开的白马:你在哪里？,0,2020-02-27 13:05
https://weibo.cn//u/6886195938,kyrie___yang,男,广东,7,45,52,回复@小萌新200508:我猜你是信阳的，情况跟我一样,0,2020-02-27 12:26
https://weibo.cn//u/2465431772,闪闪发光狂想曲,女,江苏,10326,691,567,回复@蓝蓝的天动动的大志:哪一家啊,0,2020-02-27 09:19
https://weibo.cn//u/7376298573,正德家居小李,男,其他,9,120,4,三元三村也说假的！怎么后面确诊了！玩呢你们,3,2020-02-27 08:41
https://weibo.cn//u/1083371105,糜小胖,男,江苏,15,131,630,官方能解释一下，园区首例病例也是出来辟谣，后来被证实了？？？,2,2020-02-27 08:34
https://weibo.cn//u/2599169985,离开的白马,男,江苏,15,165,96,身边咳嗽的人越来越多，有种不祥的预感,0,2020-02-27 08:27
https://weibo.cn//u/6636367210,小萌新200508,男,河南,125,3,1,苏城码更新的条件是什么啊，是不是被你们划到重点疫情区地方（不是湖北）的码一直是红色的，现在有健康证明的人能去苏州吗,1,2020-02-27 06:55
https://weibo.cn//u/6025941809,清之岚,男,江苏,41,517,172,现在分不清谁说的是谣言,2,2020-02-27 05:29
https://weibo.cn//u/1768381891,石湖牧歌,男,江苏,11132,215,3123,好几次辟谣，两三天后被证实。。。其实是否谣言，民众是有判断力的,9,2020-02-27 04:52
https://weibo.cn//lingluotiankong,零落天空,男,江苏,2243,105,268,辟谣不能只说消息不实，应把消息的来龙去脉讲清楚，有助于提升公信力。,12,2020-02-26 23:51
https://weibo.cn//u/5645205353,小瓜酷爱水果,女,其他,1220,979,147,继续加油,1,2020-02-26 23:37
https://weibo.cn//u/5744163841,蓝蓝的天动动的大志,女,浙江,10680,207,96,那封的湖西那家韩国饭馆是什么？,20,2020-02-26 23:17
https://weibo.cn//u/5480116472,可信站点,男,其他,6899,157,168,最好是没有,0,2020-02-26 22:49
https://weibo.cn//u/7382211993,我菜虚鲲很会打球,男,其他,3,30,2,你好。能不能关注一下苏城码不管用这个现象？,5,2020-02-26 22:38
https://weibo.cn//u/5437068866,歲月隨風如酒如夢,男,江苏,1607,773,169,加油，继续保持,0,2020-02-26 22:34
