评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5274057241,篱笆上的凤仙花,女,广东,36,50,112,都是荆州人为啥有的小区 发免费蔬菜。有点小区什么都没有。,21,2020-02-26 15:26
https://weibo.cn//GardenOfAdela,猫咪咪睡着了,女,湖北,1159,105,115,可是视频里说都是好的呀,31,2020-02-26 17:38
https://weibo.cn//u/3293893801,拉布拉多_21639,男,广东,9,258,34,请问政府有没有考虑用本地资源去解决内需问题？现在只让村里采购及派送(从外面调货)，而我们这些商家和农户不准开门，库存得不到解决，商品在家等着过期变质，农户家的菜在田里等着烂？这是垄断销售，价格上涨，恐怕难以服众！希望多一根筷子是多一份力量，而不是多一双筷子就多个人吃饭！,15,2020-02-26 17:53
https://weibo.cn//u/6506053921,今天也一定会幸福的,女,其他,391,229,3,一些人真的没救了。荆州辟谣说明了我们市收到的两批萝卜都已发放妥当，他又来杠说没查清源头叫什么辟谣。现在天门也花了好大精力查清了源头，他又来说不相信，萝卜看着还很好balabala的。萝卜还没坏你知道？？你比卖萝卜的还懂？？行行行，反正你们谁也不信，只信谣言！,0,2020-02-29 16:20
https://weibo.cn//u/6611341954,安利非正式会谈阿鲁,女,其他,279,4013,1634,我们这边硬是什么都买不到物资及其稀缺，而且物价真的超级贵，这让老百姓怎么过,0,2020-02-29 11:42
https://weibo.cn//u/5291929393,吃柠檬的橘子618,女,湖北,535,117,155,我们小区毛都没发，还有人公然兜售捐赠蔬菜,0,2020-02-28 20:07
https://weibo.cn//u/2115948064,薛小胖会瘦的,女,湖北,211,337,383,回复@篱笆上的凤仙花:收到过一次白菜,0,2020-02-27 18:56
https://weibo.cn//u/1837985264,蓝蓝蓝胖子0215,女,湖北,2252,600,900,回复@蓝蓝蓝胖子0215:三根芹菜,0,2020-02-27 18:18
https://weibo.cn//u/1837985264,蓝蓝蓝胖子0215,女,湖北,2252,600,900,我们小区今天发了三根青菜,0,2020-02-27 18:17
https://weibo.cn//chaoliuge123,执念微凉,女,山东,1414,1210,1492,回复@篱笆上的凤仙花:收到过一次海南捐赠的辣椒,0,2020-02-27 14:47
https://weibo.cn//cyrushk,港深佛順陳家,男,其他,413,144,268,蘿白說這鍋我不揹 我沒爛,1,2020-02-27 09:06
https://weibo.cn//u/1036367181,等一杯免费喜茶的小熊z,女,浙江,303,115,187,有东西吃就不错了怎会嫌弃坏不坏,1,2020-02-27 08:27
https://weibo.cn//u/6014488966,dahevip,男,河南,813,384,62,视频已经被和谐了，,0,2020-02-27 06:29
https://weibo.cn//xiaohebi,今日无事風过我城池,女,海外,291,111,175,那里面的萝卜怎么看都是新鲜的，哪里烂了？？怕不是眼睛烂了,1,2020-02-27 03:07
https://weibo.cn//u/2210190542,蔓蔓清泠,女,江苏,66,235,71,能编点你自己能相信的理由吗？都不用我们信，你自己信就行！,4,2020-02-27 02:16
https://weibo.cn//u/6229799699,酒醉苦吟泪沾衣,男,四川,4,94,3,出于好玩？还真么会玩。,0,2020-02-27 01:30
https://weibo.cn//u/2083374495,没有感情de菠萝头_,女,其他,218,317,29,回复@篱笆上的凤仙花:我也想问,0,2020-02-27 01:28
https://weibo.cn//u/5802400531,吴江0722,男,福建,61,165,47,噢,0,2020-02-27 00:48
https://weibo.cn//u/5690693538,glorypath_,女,其他,463,482,289,.......,0,2020-02-27 00:47
https://weibo.cn//u/2184213970,壹jia乐,女,湖北,861,111,237,太寒心了。。,1,2020-02-27 00:37
https://weibo.cn//u/1943029632,木工君羊_41790,女,北京,7,43,0,看着是好萝卜，城市里蔬菜还有滞销的啊,0,2020-02-27 00:37
https://weibo.cn//u/7351025478,穿马甲的小胖77,男,其他,5,22,1,说明里写的2月19号进的白萝卜，2月23号就坏了。我也不知道到底是我脑子不好使还是他脑袋不好使。,0,2020-02-27 00:35
https://weibo.cn//u/1573215317,EisKuss,女,山东,137,251,60,大家又不傻，萝卜都好好的，你们可真辛苦，坏了还绑这么整齐,3,2020-02-27 00:22
https://weibo.cn//u/1824070314,金_小白i,男,陕西,121,118,197,慢慢作死，你们自己就琢磨琢磨以后谁还敢你你们zf捐款捐物,0,2020-02-26 23:53
https://weibo.cn//u/1824070314,金_小白i,男,陕西,121,118,197,回复@猫咪咪睡着了:zf说你是坏的你就得是坏的,2,2020-02-26 23:52
https://weibo.cn//u/5049392709,快乐的薅羊毛吧,女,广东,7,7,3,回复@猫咪咪睡着了:后来又发生了扔猪肉事件，后来官方回应捐过来的猪肉指标存疑,2,2020-02-26 23:43
https://weibo.cn//u/7329033532,用户嗯啦,男,其他,0,23,3,回复@佟佳092316:肯定有内幕的，然后就说是谣言,0,2020-02-26 23:39
https://weibo.cn//u/7329033532,用户嗯啦,男,其他,0,23,3,回复@猫咪咪睡着了:肯定有内幕的,2,2020-02-26 23:37
https://weibo.cn//u/5677331009,那么宠我都没问过我,女,陕西,219,232,65,太他妈，伤人心了,2,2020-02-26 21:56
https://weibo.cn//u/5947648684,佟佳092316,女,山东,19,35,6,视频中的是环卫工人吧，环卫工人帮助个人倾倒？,0,2020-02-26 21:54
https://weibo.cn//u/6142211387,一只奔跑的小洋,男,广东,0,61,1,懂得都懂,0,2020-02-26 21:35
https://weibo.cn//u/6744764014,徐姐姐呀呀,女,江苏,183,376,237,不知道说什么，只觉得寒心,5,2020-02-26 21:08
https://weibo.cn//778961228,洗缠,男,海外,225,236,431,回复@猫咪咪睡着了:行情不好，可能这些白萝卜不够“红”,0,2020-02-26 20:59
https://weibo.cn//u/1246300477,坚持并不是说说而已,女,其他,259,249,674,荆州市民看过来（家里买了酒精，无毒消毒剂，拿喷头对着空气喷和物体喷上去是错的，应该用喷头对着一块干抹布捂住，喷湿。然后去擦拭抹完整你带回家的东西，以及你的外出衣物和工具啥的，新冠病毒属于RNA病毒，它本身非常脆弱，然时仍然需要，抹匀，然后静置物品，等候其表面晾干。干透才能使用。,0,2020-02-26 19:17
https://weibo.cn//woxinhuayuan,我心花园,男,湖北,618,40,367,回复@拉布拉多_21639:,0,2020-02-26 18:54
https://weibo.cn//u/3293893801,拉布拉多_21639,男,广东,9,258,34,请问政府有没有考虑用本地资源去解决内需问题？现在只让村里采购及派送(从外面调货)，而我们这些商家和农户不准开门，库存得不到解决，商品在家等着过期变质，农户家的菜在田里等着烂？这是垄断销售，价格上涨，恐怕难以服众！希望多一根筷子是多一份力量，而不是多一双筷子就多个人吃饭！,15,2020-02-26 17:53
https://weibo.cn//GardenOfAdela,猫咪咪睡着了,女,湖北,1159,105,115,可是视频里说都是好的呀,31,2020-02-26 17:38
https://weibo.cn//que2,秋千躺卧浮云,女,其他,11792,286,215,……不知道说啥好,3,2020-02-26 15:59
https://weibo.cn//u/5274057241,篱笆上的凤仙花,女,广东,36,50,112,都是荆州人为啥有的小区 发免费蔬菜。有点小区什么都没有。,21,2020-02-26 15:26
