评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2520269655,麻辣味的仙女念_,女,湖南,194,992,2107,我他妈想骂人   一天天的本来就神经紧张了  没事造什么谣,18,2020-03-09 18:59
https://weibo.cn//u/1936680945,此处不宜为空,男,湖北,87,244,156,抓起来,9,2020-03-09 18:45
https://weibo.cn//u/6481239043,六日small,女,广东,66,155,3,政府睡醒了没有，公安到底什么时候放外省人员走，看看赤壁好吗?想了50天都没开会出政策吗？,8,2020-03-09 19:26
https://weibo.cn//fenderjoer,跳动的可乐joer,男,北京,2072,4272,1037,回头这城管协管又他妈是临时工,0,2020-03-12 04:35
https://weibo.cn//u/7351025478,穿马甲的小胖77,男,其他,5,22,1,回复@我是起瑞:能不能解封要问武汉省,0,2020-03-11 18:02
https://weibo.cn//u/6936888262,周星宇是小狼狗i,男,湖北,1,133,3,回复@养猫的喵小姐:多出来一例又tm至少得关一个月以上,0,2020-03-11 12:32
https://weibo.cn//katettt,kate_00,女,北京,3442,194,373,完了完了，核酸检测可疑……,0,2020-03-10 10:00
https://weibo.cn//mynamejojozhang,娇雪张,女,湖北,206,371,7766,感谢辟谣，不然心态要崩,0,2020-03-10 08:37
https://weibo.cn//u/7395309076,陌路尘__,男,其他,2,6,6,1例可疑，我的天。还能不能好了,0,2020-03-10 06:07
https://weibo.cn//u/6591868505,露予彩霞,男,湖北,1069,243,844,回复@六日small:主政官员没有担当，无过就是功,2,2020-03-10 01:21
https://weibo.cn//u/1068449972,西瓜那个皮呀,男,其他,32,43,2,这种时候造这种谣要抓起来,0,2020-03-09 22:09
https://weibo.cn//u/3172448331,笑p阿,男,湖北,395,418,1830,回复@SOMELOVES-U:坚持了五十天了，坚持不下去了我,1,2020-03-09 22:05
https://weibo.cn//u/3034998043,养猫的喵小姐,女,广东,148,245,279,我就是这个小区的，造谣的人真的有问题,0,2020-03-09 22:02
https://weibo.cn//yfliaoatnow,阿布豆丁,男,四川,119,200,185,核算检测可疑是啥意思啊？隐性还是阳性？感觉今年要留在这里过年了,0,2020-03-09 21:46
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3606,265,1404,关于网传郢城镇郢南小区多人发热视频调查情况的说明,0,2020-03-09 21:41
https://weibo.cn//u/3172448331,笑p阿,男,湖北,395,418,1830,回复@SOMELOVES-U:哈哈哈哈哈我加了好几个湖北群 天天盯着 焦虑,0,2020-03-09 21:39
https://weibo.cn//u/3172448331,笑p阿,男,湖北,395,418,1830,回复@SOMELOVES-U:,0,2020-03-09 21:35
https://weibo.cn//u/2098136874,celul,男,湖北,420,94,61,千万别出乱子，不然整个荆州，乃至整个湖北市（除武汉省，哈哈）都要加严人员流动了。,6,2020-03-09 21:23
https://weibo.cn//u/5852431672,海贝日记童装亲子装,男,浙江,55,136,6,回复@六日small:不错了，公安都解封了，石首还在闭关中，,1,2020-03-09 21:20
https://weibo.cn//u/6047237245,爱吃瓜子的娜娜,女,北京,3357,335,105,工作时间发视频，这种无知又造谣的人，难道不应该开除并且坐牢吗？,0,2020-03-09 21:19
https://weibo.cn//u/3172448331,笑p阿,男,湖北,395,418,1830,回复@SOMELOVES-U:可能是我骂的不够猛吧哈哈哈哈哈哈哈,0,2020-03-09 21:08
https://weibo.cn//u/3846910018,可爱洁llll,女,湖北,7,222,177,石首不知道想干嘛，别人清零了在撤关卡恢复生产生活，他反倒卖起中药了，这么缺钱？,2,2020-03-09 20:57
https://weibo.cn//u/3461622200,熊淑雯,女,湖北,1,48,75,别新增，跪求出省,0,2020-03-09 20:54
https://weibo.cn//u/2146332843,happylllllllllllin,女,湖北,60,88,138,一个城乡结合部，还说是中心城区，我只想回乡里,0,2020-03-09 20:45
https://weibo.cn//u/1258355263,云梦泽中鳜鱼肥,女,江西,85,527,36,辟谣就可以了 新增不可怕，都控制住就可以了,0,2020-03-09 20:43
https://weibo.cn//u/1731441154,小冻糕,女,广西,928,568,399,造谣的都抓起来,0,2020-03-09 20:01
