微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JvqBs1Tmx,#警方通报# 11月22日，网上流传“上海封城”的谣言，市疫情防控工作新闻发布会迅速辟谣。目前，警方已抓获造谣者赵某（男，31岁）。经查，赵某为哗众取宠，通过社交媒体发布上述谣言，造成恶劣社会影响。现赵某已被依法行政拘留。警方提醒：网络不是法外之地，请广大市民不要随意转发未经证实的消息，做到不造谣、不信谣、不传谣，共同维护健康的网络环境和良好的社会秩序。 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/002IKReLgy1gl0lbcc9l9j60bn09jq3w02.jpg,http://ww2.sinaimg.cn/large/002IKReLgy1gl0lbdl3swj60k00m8tas02.jpg",无,TRUE,无,无,2020/11/24 21:47,360安全浏览器,909,146,71,3
JsD63s0vA,#辟谣#  近日，网上传言称“上海浦东一欠款老赖被供应商杀害”并配有相关视频。经警方核查，该案系10月31日发生于云南罗平的一起持刀伤人案。网传信息不符事实。警方提醒广大群众不造谣、不传谣、不信谣，共同维护清朗网络空间。  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/002IKReLgy1gkfbg5wx0aj60ng0fvq7202.jpg,http://ww3.sinaimg.cn/large/002IKReLgy1gkfbg5t6pkj60tq0h4gme02.jpg",无,TRUE,无,无,2020/11/6 12:05,微博 weibo.com,10,11,6,1
JqnWau77E,#辟谣#【长征医院出现核酸检测阳性患者，门诊封楼？谣言！】今天，网络上有人传“长征医院出现核酸检测阳性患者”，纯属谣言！目前，医院诊疗工作正常运行，请不要信谣传谣。  [组图共2张] 原图 ,,"http://ww4.sinaimg.cn/large/002IKReLgy1gjy96pk7gnj60iw0m53zv02.jpg,http://ww1.sinaimg.cn/large/002IKReLgy1gjy96pjhcrj60k409g3zc02.jpg",无,TRUE,无,无,2020/10/22 17:48,微博 weibo.com,10,6,4,1
IB35WAdOq,#战疫辟谣# 近期，上海某社区张贴的一张“假冒防疫人员抢劫”的防范提醒引发关注，经了解，系物业工作人员看到外地有类似案例并结合微信群中的传言编写了上述通知。经核实，上海从未发生过相关案件。#上海战疫#  原图 ,,http://wx3.sinaimg.cn/large/94a13277gy1gdcazaqsxdj20go0m8dgr.jpg,无,TRUE,无,无,2020/3/30 22:14,360安全浏览器,67,18,19,1
IyfLD0YN9,市政府开会，上海学校开学等时间定了？都是谣言！#上海战疫# #战疫辟谣# 市政府开会，上海学校开学等时间定了？都是谣言  原图 ,,http://wx1.sinaimg.cn/large/94a13277gy1gcqw4yf2p7j20j613nag2.jpg,无,TRUE,无,无,2020/3/12 12:59,微博 weibo.com,70,35,18,1
IwfKxpg2K,#辟谣# 2月27日晚，有视频称龙华中路地铁站有人被医护人员抬走，怀疑新冠肺炎。经警方核实，2月27日19时许，轨交民警在工作中发现一男子体温异常，遂呼叫120到场处置。检测过程中，男子拒不配合，后被民警和120急救人员送上救护车至龙华医院作进一步诊断，经检测，已排除新冠肺炎。  原图 ,,http://wx2.sinaimg.cn/large/94a13277gy1gcbuk02ogwj20u01e6tas.jpg,无,TRUE,无,无,2020/2/28 9:15,微博 weibo.com,64,24,25,2
IvEGuhdpx,"转发理由:#战疫辟谣# #上海加油# #抗击疫情公安在行动#  
原始用户: 警民直通车-黄浦
转发内容: #辟谣#2月23日，网传一段淮海路雁荡路发现新冠肺炎确诊病例的视频。经核查，网传内容与事实不符，系一独居老人（腿部残疾、长期患病未出门）在家中死亡。经警方勘验调查，已排除他杀。死者生前患有脑梗等多种疾病，系病发猝死。目前，防疫人员已对死者家中及周边开展消毒和排查，未见异常。 http://t.cn/RJ2IpDz 原图 ",,无,http://wx4.sinaimg.cn/large/9eb29f2cgy1gc7at9ztdxj20u01ga7fb.jpg,FALSE,无,无,2020/2/24 10:54,iPhone 11 Pro Max,8,42,5,3
IvcES2kCR,#辟谣#2月20日晚，网上流传一张所谓上海市高级人民法院开具的《扣押通知书》，称青浦公安分局于当日在花桥收费处设卡检查入沪车辆时，扣押了青浦某药房购买的大量红外额温枪等防疫保障物资。经调查，该信息不属实，网传《扣押通知书》系伪造。目前，公安机关正在开展进一步调查。#战疫辟谣#  原图 ,,http://wx4.sinaimg.cn/large/94a13277gy1gc3v5lb1mej20f80jywuf.jpg,无,TRUE,无,无,2020/2/21 11:33,微博 weibo.com,834,444,156,3
Iv5y1x5Pz,#辟谣#网传“奉贤金水苑小区有重点地区确诊病人逃入”的信息系谣言。警方已找到相关发帖人，事件在进一步调查处理中。  原图 ,,http://wx3.sinaimg.cn/large/94a13277gy1gc2zrhpaw6j20a90m8dgh.jpg,无,TRUE,无,无,2020/2/20 17:27,360安全浏览器,11,17,4,1
IuJGjpel7,#战疫辟谣# 【网传“上海有医院把全白肺病人放回家”内容不实】2月17日，一则“上海据说有医院把全白肺的病人放回家了，连疑似都没有报”的微博帖文引发网友关注。经向市卫健委了解，上述信息不实。警方高度重视，第一时间找到发布人陈某（女，37岁）。据调查：陈某承认自己将道听途说的不实信息添油加醋后，在微博上发布。目前，此事正在进一步调查中。#抗击疫情公安在行动##上海战疫##上海加油##上海公安执法实录[超话]# 原图 ,,http://wx1.sinaimg.cn/large/94a13277ly1gc08udckekj20hc0n50wl.jpg,无,TRUE,无,无,2020/2/18 9:47,iPhone 11 Pro Max,491,89,109,3
