评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5668024941,海上Utopia,女,上海,115,555,133,时间是最好的答案，希望是谣言！ 湖北被打脸影响全中国、如果上海被打脸，失控的话影响的就是全世界了！,137,2020-02-13 18:15
https://weibo.cn//xiaoshowtime,xiao_showtime,男,上海,188,124,247,最近大批量外地务工人员返沪 但上海的确诊病例还跟以前一样 我觉得有点不太可能,76,2020-02-13 18:33
https://weibo.cn//u/1865500605,叶魅,女,上海,7771,583,876,希望是真的谣言，千万千万别打脸,79,2020-02-13 18:09
https://weibo.cn//u/7196511883,菠萝与菠萝蜜Y,女,其他,20038,1557,699,回复@趣头条:不,0,2020-03-04 19:38
https://weibo.cn//u/1889176992,欧气满满的锦鲤小静呢,女,浙江,57365,5601,928,回复@趣头条:不传谣言,0,2020-03-04 15:19
https://weibo.cn//awa727,欧气锦鲤合适的风格,男,浙江,63650,7579,1869,回复@趣头条:不信谣,0,2020-02-23 10:39
https://weibo.cn//u/7009140418,奶娃小子,男,浙江,60552,4980,792,回复@趣头条:这人哪，哎,0,2020-02-22 12:55
https://weibo.cn//u/6247269069,1965xx,女,海外,7,76,1214,这张图片没办法作为造谣的证据啊？,0,2020-02-17 03:19
https://weibo.cn//u/1132803853,Flash-TT,男,上海,311,116,59,既然是谣言，能不能公布这个造谣人的相关信息和他造的啥谣？能不能让他出来当众澄清他造谣惑众？,0,2020-02-16 16:45
https://weibo.cn//u/5745870022,静静想想candy,女,上海,8668,244,161,返沪复工的人，也是过了一个长假，只要这个长假没乱跑，老实呆在自己家里，应该还算安全。,0,2020-02-15 13:31
https://weibo.cn//u/3614655721,陌丶沐言,男,上海,150,251,63,就在我们自己身边发生的事，周围小区都知道，官方却毫无增加？,0,2020-02-15 10:49
https://weibo.cn//u/3614655721,陌丶沐言,男,上海,150,251,63,又变假的了？罗店这最起码有一个确诊，8个疑似已经居家隔离的，为什么官方公布的确诊并没有增加了？,0,2020-02-15 10:48
https://weibo.cn//littlejasmonic,o茉茉茉莉,女,上海,5895,555,660,昨晚的上海新闻有报道，这个人自己承认他因为宠物店被要求关门所以心里不满才故意编的，人数是他自己的推测,0,2020-02-15 10:37
https://weibo.cn//u/5605308326,愤怒的小花猫三代,男,上海,11594,915,1174,才是撮箕饱了么事体组。,0,2020-02-15 10:11
https://weibo.cn//u/5829760841,lucky男人如狗,男,江苏,304,187,74,以前微博还能相信，现在可信度太低了。,0,2020-02-15 09:04
https://weibo.cn//u/2105430565,尚恩他爹第,男,上海,4601,591,427,1.7亿农民工如何管控确保不传染？,0,2020-02-15 08:38
https://weibo.cn//u/2060232212,乖乖想要和你去旅行,女,天津,846,565,130,我想问上面的链接是真的吗？我朋友也给我发了，能看到周围确诊的人的位置,0,2020-02-15 01:57
https://weibo.cn//gracietesco,叶赫古蕾丝,女,上海,11743,918,742,还得看返工后的2周以后，现在的情况是之前市民们闷在家里的结果，返工2周后才是真正大调控的答卷,0,2020-02-14 22:25
https://weibo.cn//u/5412165079,落叶吻秋天o0,男,上海,3,31,3,回复@第七夜的雨:我只说大茂是网吧，不是宠物店，至于辟谣的专业性，我就呵呵了。,0,2020-02-14 20:52
https://weibo.cn//u/5412165079,落叶吻秋天o0,男,上海,3,31,3,。。。警察叔叔，大茂是网吧，不是宠物店，你们辟谣也专业一点好吗,0,2020-02-14 20:49
https://weibo.cn//u/5893887239,sxh_725,男,上海,360,573,67,回复@kumako1206:刚上新闻了，是个宠物店老板。,0,2020-02-14 19:04
https://weibo.cn//u/2090171894,华府小书童H,男,上海,4,195,152,回复@星耀MEOS:武汉可以往大的想。,0,2020-02-14 17:57
https://weibo.cn//pinktiger,烈火欧尼,女,陕西,5280,720,16209,回复@海上Utopia:上海要是有那么多，医院住满了哦,0,2020-02-14 17:50
https://weibo.cn//pinktiger,烈火欧尼,女,陕西,5280,720,16209,回复@海上沈先生:我相信你,0,2020-02-14 17:49
https://weibo.cn//u/6239143104,Nuagebbxx,女,上海,12,1125,193,回复@--米线--:本来心安定了一点，被楼下不带口罩的大爷大妈的嬉戏聊天声叫醒了,0,2020-02-14 17:02
https://weibo.cn//507499832,无相86,女,上海,407,13,5,回复@龙眼飞翔:～不然中央会调上海市长去湖北做一把手～过过脑再说话！,1,2020-02-14 16:25
https://weibo.cn//u/1864911490,叽叽喳的李大鸟,男,上海,938,654,275,回复@李丰田学法律:哎呀，你个诉棍,0,2020-02-14 16:14
https://weibo.cn//u/5426957907,这只老虎木有文化,男,上海,236,72,61,机场里几乎天天有人被带走，有当场确诊，工作人员都有确诊了，我到底该相信谁，机场是我看见的！,2,2020-02-14 16:04
https://weibo.cn//qutoutiao,趣头条,男,上海,13926,1263,806764,【网传“昨日上海疫情大爆发”微信聊天录屏视频内容不实】网传一段“昨日上海疫情大爆发”的微信聊天录屏视频在网上流传，警方高度重视，第一时间找到发布人，其称因自己的宠物店被市场监督部门劝导暂缓营业，而在微信群中故意编造相关不实言论。目前，此事正在进一步调查中。,5,2020-02-14 14:41
https://weibo.cn//andrew328,文斐的天空,男,上海,1021,1011,276,回复@李丰田学法律:恩 这样比较符合他的判断,0,2020-02-14 14:36
https://weibo.cn//u/2126710583,贫民百行,男,上海,587,221,259,抓起来重判,0,2020-02-14 14:25
https://weibo.cn//jidiyuyi,极地羽翼,男,上海,3204,612,2705,回复@不欠工钱南方系:推墙？,0,2020-02-14 14:03
https://weibo.cn//u/3528597804,不欠工钱南方系,男,海外,1232,746,120,回复@极地羽翼:知道，重点主旨是推墙。我说的对吗？,0,2020-02-14 13:58
https://weibo.cn//u/1153910701,雷神超人归来,男,上海,64,98,10,回复@红色卷心菜呀:直接报警，梅岭支路那边不是有确诊了吗,0,2020-02-14 13:55
https://weibo.cn//u/6015922672,蝴蝶的大腿,男,上海,17,95,12,回复@李丰田学法律:对对对，都因为你妈是免费的,0,2020-02-14 13:53
https://weibo.cn//u/7377858976,李丰田学法律,女,上海,57,81,11,回复@我绝对不会告诉你我的名字叫刀刀:你家里被感染了？,0,2020-02-14 13:51
https://weibo.cn//u/7377858976,李丰田学法律,女,上海,57,81,11,回复@蝴蝶的大腿:你全家都被感染了？,0,2020-02-14 13:49
https://weibo.cn//u/7377858976,李丰田学法律,女,上海,57,81,11,回复@杨卫源:你家被感染了？,0,2020-02-14 13:48
https://weibo.cn//u/7377858976,李丰田学法律,女,上海,57,81,11,回复@叽叽喳的李大鸟:都把你们家里被感染的发出来，打ZF脸,0,2020-02-14 13:46
https://weibo.cn//u/7377858976,李丰田学法律,女,上海,57,81,11,回复@战斗的燃料:你全家都被感染了吗？有没有统计在这三千个里面？,0,2020-02-14 13:41
