评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//lxc965774971,caesar_lxc,男,上海,12,44,174,这种谣言得抓，没事闲的,53,2020-02-14 00:08
https://weibo.cn//u/2639897125,李查德晶晶,男,上海,4926,191,415,下午还在和朋友说这个估计明天打脸，没想到这么快,37,2020-02-13 23:32
https://weibo.cn//u/5291040992,九州演艺圈,男,浙江,827,10001,1216963,勤劳一日，可得一夜安眠；互动一博，可得深厚友谊。,0,2020-02-18 01:38
https://weibo.cn//u/2497668353,张狗_蛋eR,男,其他,191,574,184,这个上海的造谣、不抓嘛？？ ,0,2020-02-17 13:26
https://weibo.cn//u/5166352637,Lahm君,男,上海,242,238,29,回复@阿热Aria:我朝最不缺斯德哥尔摩综合征患者！！,0,2020-02-16 11:06
https://weibo.cn//u/2191068920,温酒煮貂蝉,男,安徽,360,283,68,回复@imsemi:群众从来就没有渴望过真理，面对那些不合口味的证据，他们会拂袖而去。假如谬论对他们有诱惑力，他们更愿意崇拜谬论。 　　凡是能向他们供应幻觉的，可以很容易地成为他们的主人；凡是让他们幻想破灭的，最终都将沦为他们的牺牲品,1,2020-02-16 07:55
https://weibo.cn//u/6021730310,Vrcnl,男,广东,32,43,61,才拘留十日？请抓去好好劳改好吗,0,2020-02-16 06:18
https://weibo.cn//CHM15257523211,CHM--9,男,浙江,143,1281,435,回复@阿热Aria:明白人,0,2020-02-15 23:27
https://weibo.cn//CHM15257523211,CHM--9,男,浙江,143,1281,435,回复@徐州王司令:是的,0,2020-02-15 23:25
https://weibo.cn//u/6594703707,润步商务,女,上海,10,58,10,回复@imsemi:希望是谣言！！！,0,2020-02-15 22:16
https://weibo.cn//u/5560664189,东海南安,男,其他,1,16,1,回复@sal蝙蝠:？疾控部门天天发的通告是白发的不成？去求证难道说的会和通告不一样不成？你又知道没有证实了嗷,0,2020-02-15 20:17
