评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1673692005,智者悟空,男,上海,938,287,178,这叫自我隔离？他14天吃的不买吗？不去超市？关键没有住地他不是不能进来吗？,10,2020-02-14 09:27
https://weibo.cn//u/3018164125,Cwy噢,男,上海,1570,171,289,上海14号后，小区一律不让外地返沪人员进入吗？,2,2020-02-14 09:22
https://weibo.cn//mm378933572,地下铁吐槽君,男,上海,3211,318,272,人家2月2号就到了上海，但是还没两无人员劝返的政策。眼睛擦亮,0,2020-02-14 12:25
https://weibo.cn//u/7042814870,哎呀今天吃了五顿,男,上海,101,27,6,看看辟谣，不传谣。相信警察蜀黍们 ,0,2020-02-14 14:29
https://weibo.cn//u/7282301769,恶鬼三樱,男,上海,7420,321,569,回复@功夫查:不认真明天出现在我小区里怎么办,0,2020-02-14 13:09
https://weibo.cn//mm378933572,地下铁吐槽君,男,上海,3211,318,272,人家2月2号就到了上海，但是还没两无人员劝返的政策。眼睛擦亮,0,2020-02-14 12:25
https://weibo.cn//lwjsky,时尚咖啡圈,男,上海,1028,319,22735,为什么连续有武汉来沪的确诊病例！哪里出了问题？,1,2020-02-14 12:15
https://weibo.cn//u/3332309622,小妖小小妖小小妖,女,河南,389,55,62,回复@Cwy噢:有些小区可以，有些不可以，很多人因为没有居住证都被拦在外面了，可以关注话题#上海小区不让进#,0,2020-02-14 12:04
https://weibo.cn//u/2579180462,我能想到最奢侈的事,女,上海,40,14,6,不是两无人员暂不让进上海吗？新闻里现场播的“原路返回”呢？求解释他是怎么进入上海的？上海道口是通过什么方式来核实真假的？,1,2020-02-14 11:35
https://weibo.cn//u/6191544725,薯片lm,女,上海,24,18,21,回复@Cwy噢:我也想知道，有居住证也不能进吗,0,2020-02-14 11:29
https://weibo.cn//ensanqingnian,上海恩三青年发展促进中心,女,其他,5637,265,1305,扩散辟谣//,0,2020-02-14 11:18
https://weibo.cn//u/5308941081,遇见未知的自己txy,女,福建,47,89,41,回复@Cwy噢:求证实啊！！！,0,2020-02-14 10:32
https://weibo.cn//u/5015151128,浦东祝桥-zhugang,男,上海,13005,197,608,转发微博//,0,2020-02-14 10:13
https://weibo.cn//u/7282301769,恶鬼三樱,男,上海,7420,321,569,不是说没有固定住所劝返的？自己册额污自己吃进去？,6,2020-02-14 09:32
https://weibo.cn//u/1673692005,智者悟空,男,上海,938,287,178,这叫自我隔离？他14天吃的不买吗？不去超市？关键没有住地他不是不能进来吗？,10,2020-02-14 09:27
https://weibo.cn//u/3018164125,Cwy噢,男,上海,1570,171,289,上海14号后，小区一律不让外地返沪人员进入吗？,2,2020-02-14 09:22
https://weibo.cn//xiaofeitubao,凌云-CD,女,上海,81363,1248,422,//,0,2020-02-14 09:07
