评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2819136990,凌王月,女,上海,26890,3384,3226,处理到位，没事就好。。。就是这算是澄清或者核实吧，辟谣这个tag有点，当然原po的tag也是🙊,18,2020-02-28 09:24
https://weibo.cn//skaelthas,孟德尔他爹,男,上海,2022,565,898,拒不配合…想啥呢，去趟医院又不会死,6,2020-02-28 09:39
https://weibo.cn//kngame,恺英网络,男,上海,1137,77,6152, ,0,2020-03-02 14:48
https://weibo.cn//u/1989359181,阿观AG,男,上海,11,13,90,警察叔叔幸苦了！感激！,0,2020-02-29 20:53
https://weibo.cn//outoffocusliulengran,轻微失焦,男,北京,2929,533,820,回复@NuovoPignone:检测体内有没有病毒啊，跟症状、潜伏期啥的都没关系。潜伏期没发病，也能检测出带不带病毒啊。,0,2020-02-29 19:13
https://weibo.cn//u/1649323267,立-志腾-飞,男,上海,2735,320,117,回复@付恺大提琴:大陆警察没左轮,0,2020-02-29 17:43
https://weibo.cn//jeanneloveme,自爆圣女,男,北京,29215,1007,191,这为啥叫辟谣？？？这不是情况说明？？？//,0,2020-02-29 16:56
https://weibo.cn//nasserian,午后已过薮薮喵,女,其他,15750,426,147,回复@NuovoPignone:啥时候说过这病有窗口期啊？发烧了就是已经有症状了14天潜伏期结束呀,0,2020-02-29 16:50
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3606,265,1404,上海龙华中路地铁站一男子体温异常被抬走，警方：已排除新冠肺炎,0,2020-02-29 06:56
https://weibo.cn//mrzhouandmrszhou,大侠Miu,女,其他,657,920,408,检测一次不一定…… 多测两次要么,1,2020-02-28 11:13
https://weibo.cn//u/2806186172,HosMos,男,上海,93,145,124,大家辛苦了，继续摒牢,0,2020-02-28 10:03
https://weibo.cn//blue1201,擎獣,男,上海,10142,469,786,有病就治，脑子难道有病？,0,2020-02-28 10:02
https://weibo.cn//u/1583547232,韩晓洁-J,女,上海,1559,171,265,处理到位，及时公布！为上海警方加油！我❤️SH！,0,2020-02-28 10:00
https://weibo.cn//jiali95,小猫咪猪,女,上海,4184,130,243,警察叔叔辛苦了！,1,2020-02-28 09:40
https://weibo.cn//skaelthas,孟德尔他爹,男,上海,2022,565,898,拒不配合…想啥呢，去趟医院又不会死,6,2020-02-28 09:39
https://weibo.cn//u/1645136422,妖鹅子停上满沧的梁,女,上海,795,813,359,谢谢了，真是吓死了，昨天下班看到120，看到警戒线。悬着的心放下了,0,2020-02-28 09:37
https://weibo.cn//u/1244965963,Catrina_eeee,女,北京,24,528,622,这边上班的人太多了，平安大厦和绿地.....,2,2020-02-28 09:31
https://weibo.cn//anniegaosh,Annie-OYa,女,其他,4710,513,1748,那是為啥？特殊時期 應該更透明一些 而不是幾句話了事 這樣 老百姓才不會不安和恐慌呀！,1,2020-02-28 09:28
https://weibo.cn//u/2611930152,魂之合奏,男,上海,14,206,31,都这时候了……怎么还有脑热不配合的啊,0,2020-02-28 09:25
https://weibo.cn//u/2819136990,凌王月,女,上海,26891,3384,3226,处理到位，没事就好。。。就是这算是澄清或者核实吧，辟谣这个tag有点，当然原po的tag也是🙊,18,2020-02-28 09:24
