评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//madamrose,阳光下的镜狮子,女,其他,1476,642,281,那什么时候开学啊，,16,2020-03-12 13:27
https://weibo.cn//u/1893472524,张大宝的小日子,女,上海,3324,442,323,那真的呢？有没有计划,13,2020-03-12 13:06
https://weibo.cn//u/2178539542,校农大敏哥,男,上海,1270,987,6952,我打赌，即使能正式开学，我单位华东政法大学一定是最后几个才开学的上海高校！为什呢？因为学法律的人，都特别注重防范风险，不是胆小，而是特别严谨吧,12,2020-03-12 13:19
https://weibo.cn//u/1893472524,张大宝的小日子,女,上海,3324,442,323,回复@校农大敏哥:还没有，家里俩神兽，一个低年级，一个幼儿园，还在被虐中遥遥无期,0,2020-05-03 16:36
https://weibo.cn//u/2178539542,校农大敏哥,男,上海,1270,987,6952,回复@张大宝的小日子:2个月后揭开谜底了吧,0,2020-05-03 16:17
https://weibo.cn//u/2178539542,校农大敏哥,男,上海,1270,987,6952,回复@阳光下的镜狮子:现在回头看,0,2020-05-03 16:16
https://weibo.cn//u/5885054951,金童玉女终结者,女,海外,131,430,254,都是辟谣 政府能不能说点话,0,2020-03-24 10:56
https://weibo.cn//u/7093124065,十月模范,女,其他,306,147,61,权威无通知，谣言会满天飞的。希望政府能给个大概时间。,0,2020-03-16 11:26
https://weibo.cn//jessiesp,ouch1717,女,北京,1614,1007,724,@曹大卫DvD,0,2020-03-12 17:16
https://weibo.cn//u/2178539542,校农大敏哥,男,上海,1270,987,6952,回复@昨日江南春又绿:还不定向捐款给,0,2020-03-12 16:16
https://weibo.cn//u/5626604810,阳仔的鹅,女,上海,2184,228,231,回复@校农大敏哥:活捉母校名师哈哈哈哈哈,0,2020-03-12 14:54
https://weibo.cn//u/6273364284,LeChuan-Y,男,安徽,537,301,256,回复@校农大敏哥:华政学子表示哭哭,0,2020-03-12 14:32
https://weibo.cn//u/6155495179,刘sir的嘎嘎妈,女,其他,36,52,5,国际学校是不是不用开学了。。。,0,2020-03-12 13:41
https://weibo.cn//madamrose,阳光下的镜狮子,女,其他,1476,642,281,那什么时候开学啊，,16,2020-03-12 13:27
https://weibo.cn//u/2178539542,校农大敏哥,男,上海,1270,987,6952,我打赌，即使能正式开学，我单位华东政法大学一定是最后几个才开学的上海高校！为什呢？因为学法律的人，都特别注重防范风险，不是胆小，而是特别严谨吧,12,2020-03-12 13:19
https://weibo.cn//u/5644173268,我只喜欢蓝烟,男,上海,291,845,163,想开学啊哥 在家快疯了,1,2020-03-12 13:13
https://weibo.cn//huyiqun,小嘴狮子,男,上海,260,111,203,现在网络传谣成本太低,0,2020-03-12 13:11
https://weibo.cn//u/1893472524,张大宝的小日子,女,上海,3324,442,323,那真的呢？有没有计划,13,2020-03-12 13:06
