评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//10250310,豆花今天闭麦了吗,男,北京,27729,637,60203,梦里有女的做饭伺候他的小屌子，成功吃上了拘留所的饭菜，得偿所愿可喜可贺🎉🎉🎉,398,2020-11-24 22:51
https://weibo.cn//sweetman945,白兔老爸,男,上海,1056,665,254,把行拘改刑拘吧,103,2020-11-24 21:57
https://weibo.cn//317096662,壹小寒,女,北京,8233,1273,553815,还特么招一名会做饭的淑女，去监狱里做他的春秋大梦吧！,57,2020-11-24 23:29
https://weibo.cn//u/5608367775,PaganYokel,男,浙江,13,104,48,屌丝,0,2020-11-28 13:48
https://weibo.cn//u/7148548453,铁路总公司成员,男,上海,49,375,124,不能,0,2020-11-25 18:42
https://weibo.cn//u/2160145231,东岳南区所,男,湖北,1293,96,682,不信谣，不传谣,0,2020-11-25 16:01
https://weibo.cn//u/6165323372,小熊揍你呢,男,其他,43,209,31,我们这么爱这座城市，每个人都在努力，这个人有病啊，为什么要造谣！,0,2020-11-25 15:48
https://weibo.cn//u/5170291226,冬天不喝热巧克力,女,江苏,262,739,2267,回复@豆花今天闭麦了吗:哈哈哈哈哈哈哈哈得偿所愿,0,2020-11-25 15:18
https://weibo.cn//wenzhouwj,温州网警巡查执法,男,浙江,9377,337,47618,     举报             赞[0]         回复             2020-11-25 14:13:29 来自网页,0,2020-11-25 14:13
https://weibo.cn//u/2488213384,Sena210,男,广东,7746,598,310,回复@闫总:来了来了，局子里再整一个,5,2020-11-25 14:12
https://weibo.cn//u/6589371126,小胖胖橘,女,湖北,193,165,612,拘留所阿姨给你做饭,0,2020-11-25 12:44
https://weibo.cn//zhaicatman,宅猫想要游历九界,男,其他,37945,944,178,//,0,2020-11-25 11:36
https://weibo.cn//u/1635780745,噗噗噜噜噗噜噜,女,海外,4006,1102,330,他终于吃上国家饭,0,2020-11-25 10:28
https://weibo.cn//u/5979990572,起个名老有非法字符,男,广东,41,51,16,回复@白兔老爸:行政拘留吧,1,2020-11-25 10:25
https://weibo.cn//u/2065356467,秋瞳呆,男,北京,223,371,296,看样子这男的离开女人是真能si🙄,0,2020-11-25 10:15
https://weibo.cn//heiway,贾婷婷老公,男,其他,2714,648,816,回复@闫总:和你一母同胞,2,2020-11-25 10:11
https://weibo.cn//u/2818013500,古筝数学兽,男,浙江,16708,139,1198,拘留所的做饭的的确是淑女，还能躺尸。,0,2020-11-25 10:11
https://weibo.cn//u/5483477550,哦还有这种女人我马上举报,男,河南,224,1252,87,回复@闫总:你因为啥被拘留啊？？？自己说说？,11,2020-11-25 10:07
https://weibo.cn//10250310,豆花今天闭麦了吗,男,北京,27729,637,60203,回复@樱桃小蛋饼:赵某：食堂大哥做的饭我不吃谢谢，只吃淑女做的。,0,2020-11-25 10:04
https://weibo.cn//u/3761272402,樱桃小蛋饼,男,其他,65,166,33,回复@膨胀的果凍君:为什么不是食堂大哥！本男拳不乐意了！抖冷哭，蝈蝻什么时候才能站起来,5,2020-11-25 10:02
https://weibo.cn//u/5962695283,真宫寺鬼狐4世,男,河北,4697,158,61,生怕过年回家没话题？//,0,2020-11-25 09:58
https://weibo.cn//u/5896990687,无牙丶杉,男,浙江,211,102,20,回复@闫总:,15,2020-11-25 09:54
https://weibo.cn//sydyfj,十堰市公安局东岳分局,男,湖北,37559,622,221020,上海警方通报男子造谣上海封城被行拘,2,2020-11-25 09:48
https://weibo.cn//gudifengche,那一年你折的风车,男,广东,2301,711,105,回复@闫总:看来你经验丰富,7,2020-11-25 09:45
https://weibo.cn//hnwjxc,湖南网警巡查执法,女,湖南,9403,463,100954, 【男子造谣上海封城被行拘】11月22日，网上流传“上海封城”的谣言，市疫情防控工作新闻发布会迅速辟谣。警方已抓获造谣者赵某（男，31岁）。 警方提醒：网络不是法外之地，请广大市民不要随意转发未经证实的消息，做到不造谣、不信谣、不传谣，共同维护健康的网络环境和良好的社会秩序。,0,2020-11-25 09:20
https://weibo.cn//u/2611526195,静静有腰嗨吃,女,湖南,1892,826,265,要求看他的认罪视频，要求他上cctv7点,0,2020-11-25 09:02
https://weibo.cn//u/1752362295,尛厷举养成记丶,女,上海,1273,298,1296,好样的，最讨厌造谣的！弄的人心惶惶,0,2020-11-25 09:00
https://weibo.cn//u/2403023351,吉祥临翔,男,云南,6528,237,46601,【,0,2020-11-25 08:54
https://weibo.cn//jinhuapinganjiangnan,金华平安江南,男,浙江,17580,995,6505, ,0,2020-11-25 08:43
https://weibo.cn//wzsjj,温州交警,男,浙江,50727,443,1572269, ,1,2020-11-25 08:33
https://weibo.cn//u/2652869275,宝西多TD,女,上海,1272,129,300,“铁饭碗”,2,2020-11-25 08:22
https://weibo.cn//u/2926787331,家有端胖胖,女,辽宁,1538,403,24,这已经不单纯是造谣了，这种谣言信的话会造成社会混乱的。,2,2020-11-25 08:00
https://weibo.cn//u/1972612031,赫山公安分局,女,湖南,37219,1022,22611, 警方通报,0,2020-11-25 07:51
https://weibo.cn//pingankaifeng,平安开封,男,河南,34256,1291,634712, 警方通报,0,2020-11-25 07:46
https://weibo.cn//u/5404619133,你光要,男,上海,30,217,51,震旦造谣后续呢？,0,2020-11-25 07:19
