评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6527910652,·桜花限定·,男,台湾,4923,715,1161,我平舆杨埠大柳寨的，有人半夜抄小道从武汉回来（我听我奶说的），村委不管不问，当没事人一样，人们还照常出门，没有一点安全意识,0,2020-01-26 12:30
https://weibo.cn//u/5980651497,抽到SSR级的花少北,女,河南,54,91,134,我们大河南！！ ,0,2020-01-25 22:20
https://weibo.cn//u/6527910652,·桜花限定·,男,台湾,4923,715,1161,我平舆杨埠大柳寨的，有人半夜抄小道从武汉回来（我听我奶说的），村委不管不问，当没事人一样，人们还照常出门，没有一点安全意识,0,2020-01-26 12:30
https://weibo.cn//u/5980651497,抽到SSR级的花少北,女,河南,54,91,134,我们大河南！！ ,0,2020-01-25 22:20
https://weibo.cn//onlysuhang,九五好青年_,男,山西,1465,321,612,都是谁这么无聊 不停的在造谣？！,0,2020-01-25 21:53
https://weibo.cn//u/5745017307,可迷啊,女,河南,60,166,209,回复@hyo20190:微信支付里面有个城市服务里面可以进行投诉申报,0,2020-01-25 21:13
https://weibo.cn//u/5745017307,可迷啊,女,河南,60,166,209,坐标濮阳市范县，各村已经有开始封路的了,0,2020-01-25 21:10
https://weibo.cn//u/6588074316,爱笑唯一帆,女,河南,6,79,264,回复@肖坝路小光头:郸城 县城乡下也是 让人着急,0,2020-01-25 20:58
https://weibo.cn//u/5284092278,L缚茧,女,河南,47,89,5,回复@肖坝路小光头:王皮溜某村，宣传挺到位,0,2020-01-25 20:43
https://weibo.cn//u/5677974325,好喝的丿下午茶,男,其他,158,613,121,周口太康县，五里口乡邵楼村，这两天刚从武汉回来的，李苹果就是一个,0,2020-01-25 20:41
https://weibo.cn//u/5248125726,火焰蓝胖墩,男,河南,380,132,610,回复@我真的想不到好的名字:我们高集乡就没有宣传，天天只会放禁放炮竹,0,2020-01-25 20:41
https://weibo.cn//u/5284092278,L缚茧,女,河南,47,89,5,回复@肖坝路小光头:有宣传的好吧,0,2020-01-25 20:40
https://weibo.cn//u/6728818788,行星饭也是爱丽,女,河南,117,163,100,商丘睢县附近村镇都没宣传，村里还是串门走亲戚，一点都没意识，希望加大宣传力度,0,2020-01-25 20:37
https://weibo.cn//u/3897066077,纳兰芊茜,女,其他,76,186,92,回复@一个想白的非洲人:我们虽然人没在家，但是家里老人也是深信不疑,2,2020-01-25 20:32
https://weibo.cn//u/5365857352,i难言归宿,男,其他,1,105,26,微信可以举报这次所有消极怠慢，落实防控措施不力的领导全得完蛋。如果有请举报。支付里点城市服务。,0,2020-01-25 20:19
https://weibo.cn//u/5641078985,VERA-小铺,女,河南,201,92,84,回复@VERA-小铺:真是急死了,0,2020-01-25 19:48
