评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//zzxqw,郑西说事,男,河南,20336,305,134928,请安排差下超时蔬菜价格和药店口罩价格！很多网友举报！ 大商和郑州世纪华联的举报很多！,3,2020-01-26 22:42
https://weibo.cn//u/2418341431,SG毛竹,男,河南,1362,106,226,买不到口罩肿么办,0,2020-01-27 08:51
https://weibo.cn//u/5863948571,璃落_1,男,甘肃,4,33,52,为什么商场不关门,0,2020-01-27 07:41
https://weibo.cn//u/2282406253,青红皂白莲,女,其他,218,859,84,回复@柠檬树下的小柠檬:我是说郑州市,0,2020-01-29 15:15
https://weibo.cn//u/3548503623,大华的小宝子,男,其他,69,144,118,回复@郑西说事:我男朋友在市里，他昨天给我讲的，我们市的车站全部停运了，市里所有的娱乐聚会场所全部关闭，取消所有的拜年活动，如果这都不叫封城，那就当我说的是假的吧,0,2020-01-27 18:00
https://weibo.cn//u/2418341431,SG毛竹,男,河南,1362,106,226,买不到口罩肿么办,0,2020-01-27 08:51
https://weibo.cn//u/5863948571,璃落_1,男,甘肃,4,33,52,为什么商场不关门,0,2020-01-27 07:41
https://weibo.cn//u/5112233765,大耳朵儿小耳朵儿,女,其他,236,164,178,@憨憨狗聪明,0,2020-01-27 01:34
https://weibo.cn//u/1746845531,观音坐莲欲升天,女,河南,76,98,77,真希望这不是个谣言。可惜😔、他只是谣言。。。。,0,2020-01-27 00:03
https://weibo.cn//zzxqw,郑西说事,男,河南,20336,305,134928,回复@柠檬树下的小柠檬:假的，只有村里封路，不存在封城！,0,2020-01-26 23:35
https://weibo.cn//u/5714408409,LY敏家的金时利,女,河南,118,117,19,回复@郑西说事:对，大商的东西涨的可贵,0,2020-01-26 23:33
https://weibo.cn//u/2671012975,dream依妲启,女,北京,49,66,194,得严惩造谣的人啊,1,2020-01-26 23:30
https://weibo.cn//u/3548503623,大华的小宝子,男,其他,69,144,118,回复@我粉我兔:封城是真的，坐标河南濮阳，我们这边昨天下午就封了，所有的拜年聚会都取消了，我现在的活动范围只有我们村，但是大家也基本都是在自己家待着，从武汉回来的或者路过武汉的全部统计走了，那些人现在先在家隔离，每天有人去统计他们的体温上报，14天后无异常才会解除隔离。,0,2020-01-26 23:26
https://weibo.cn//u/2282406253,青红皂白莲,女,其他,218,859,84,现在有人在传封城，应该是假的吧？,0,2020-01-26 22:53
https://weibo.cn//zzxqw,郑西说事,男,河南,20336,305,134928,请安排差下超时蔬菜价格和药店口罩价格！很多网友举报！ 大商和郑州世纪华联的举报很多！,3,2020-01-26 22:42
