评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5979399244,李氏狗蛋,男,河南,29,52,20,本人按照河南省规定3日复工，体温正常身体正常，在郑州市郑信路与物流大道回家时被当地村民告知无法通行，即使持有工作证明也无法回家！当地村民霸道蛮横以此地为白沙镇管辖非当地村民不得入内，报警遂告知警察无权干预白沙镇政府行为，让我自行联系白沙镇政府，本人人微言轻，迫切能返回家中,1,2020-02-06 15:47
https://weibo.cn//u/2422727645,你好啊刘曰立,女,其他,62,200,476,可是我真的闻到了，味道也比平时大了,1,2020-02-06 09:50
https://weibo.cn//44890317,Roshan的麻麻,女,上海,7211,378,900,@Tsukiyo丶,1,2020-02-06 01:08
https://weibo.cn//u/5979399244,李氏狗蛋,男,河南,29,52,20,本人按照河南省规定3日复工，体温正常身体正常，在郑州市郑信路与物流大道回家时被当地村民告知无法通行，即使持有工作证明也无法回家！当地村民霸道蛮横以此地为白沙镇管辖非当地村民不得入内，报警遂告知警察无权干预白沙镇政府行为，让我自行联系白沙镇政府，本人人微言轻，迫切能返回家中,1,2020-02-06 15:47
https://weibo.cn//u/2422727645,你好啊刘曰立,女,其他,62,200,476,回复@青椒姑娘-:我也闻到了,0,2020-02-06 09:51
https://weibo.cn//u/2422727645,你好啊刘曰立,女,其他,62,200,476,可是我真的闻到了，味道也比平时大了,1,2020-02-06 09:50
https://weibo.cn//u/2826277301,瑄呀嘛瑄瑄,女,湖北,1915,1341,118,回复@青椒姑娘-:哦哦我没仔细看,0,2020-02-06 09:17
https://weibo.cn//u/2158762530,孙青椒-,女,海外,2505,354,23936,回复@是无敌可爱的仙女马它它啊:“网上谣传自来水公司在允许的范围内加大了氯气的注入，...... 当地自来水公司已经进行了辟谣和澄清。传言里提到的情况郑州自来水公司并不存在”,0,2020-02-06 09:16
https://weibo.cn//u/2826277301,瑄呀嘛瑄瑄,女,湖北,1915,1341,118,回复@青椒姑娘-:但是国家标准是个范围，他只说了没超范围啊,0,2020-02-06 09:07
https://weibo.cn//u/2158762530,孙青椒-,女,海外,2505,354,23936,回复@是无敌可爱的仙女马它它啊:有事没事另说，加了说没加就不对了,0,2020-02-06 09:05
https://weibo.cn//u/2826277301,瑄呀嘛瑄瑄,女,湖北,1915,1341,118,回复@青椒姑娘-:或者你要是早上起早了也可能闻到味,0,2020-02-06 03:29
https://weibo.cn//u/2826277301,瑄呀嘛瑄瑄,女,湖北,1915,1341,118,回复@青椒姑娘-:但是一般都是喝烧开过后的白开水的，就算在国家标准内加到最大，烧开以后也没事的👌🏻,0,2020-02-06 03:29
https://weibo.cn//44890317,Roshan的麻麻,女,上海,7211,378,900,@Tsukiyo丶,1,2020-02-06 01:08
https://weibo.cn//fanefanqie,一只萌壳,女,河南,10824,139,151,自来水放置是为了浇花,1,2020-02-06 00:49
https://weibo.cn//u/3958717114,CallmeGaren,男,其他,549,125,118,心理作用下，喝出什么味都正常,4,2020-02-06 00:37
https://weibo.cn//u/1902634161,我就要成为骨瘦如柴,女,海外,4250,855,573,马上上班了，买不到口罩怎么办啊？政府不想办法吗？是真的买不到口罩啊,6,2020-02-06 00:18
https://weibo.cn//u/6374360867,就喜欢看你看不惯我的样子1993,女,河南,1412,1034,85,但是我喝着有股塑料的味,1,2020-02-06 00:14
https://weibo.cn//u/2158762530,孙青椒-,女,海外,2505,354,23936,可我最近闻到了明显的消毒水味道，以前是没有的，解释一下？,2,2020-02-06 00:13
https://weibo.cn//u/3563509752,希棋小乖,女,河南,59947,453,6363,👌 ,0,2020-02-06 00:09
