微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JfqNKBkN2,【鄂尔多斯衡水实验中学辟谣！】 近日，鄂尔多斯衡水实验中学在接受初中毕业生家长报名咨询的过程中，了解到一些家长被传播的“谣言”击中，小编今天梳理一下一一解答。（来源：鄂尔多斯衡水实验中学） 鄂尔多斯衡水实验中学辟谣！  ,,无,无,TRUE,无,无,2020/8/11 16:53,微博 weibo.com,3,2,2,2
J7ucju41e,【辟谣！#李兰娟称零下20℃新冠病毒存活20年不准确#：尚需进一步研究】 #微博辟谣# 近日，一条《李兰娟院士：零下20℃，新冠病毒可存活20年》的报道被大量转发。6月20日，李兰娟院士团队回应称该报道信息不完全准确。在6月19日一场抗疫经验交流会上，李院士表示：在我们已知并掌握的病毒中，处于4℃左右可以存活3-6个月以上，-20℃以下可以长期存活达20年左右。不同的病毒存活时间也不一样。新冠病毒是一个新的病毒，从出现到现在才8个月，对它的认识及耐低温能力尚需进一步研究。部分媒体既没有进一步向李兰娟院士团队求证，也未完全理解相关信息，发表该报道，对公众造成较大误解。该报道内容与李兰娟院士本人观点不符。（@科普中国 ） 原图 ,,http://wx2.sinaimg.cn/large/7a546079ly1gfyk9ujdenj20jl08cjru.jpg,无,TRUE,无,无,2020/6/20 10:49,微博 weibo.com,2,0,0,3
IFh1D7ZRF,【益生菌可以预防新冠肺炎？辟谣来了！】明医识药·“疫”真相，益生菌可预防新冠肺炎？ （来源：药葫芦娃）  原图 ,,http://wx4.sinaimg.cn/large/7a546079ly1ge8flphlhij20hs11eac8.jpg,无,TRUE,无,无,2020/4/27 17:03,微博 weibo.com,0,0,0,1
IBASV9yiO,【#教育部辟谣取消6月份四六级考试#：不实】针对近日“原6月份大学英语四六级考试取消，与下半年考试合并”的传言，记者3日从教育部考试中心证实，教育部考试中心已于2月底发布公告，推迟全国范围内2020年上半年全国大学英语四六级考试（CET）、全国大学英语四六级口语考试（CET-SET）、全国外语水平考试（WSK）、书画等级考试（CCPT）网上报名工作，并未发布取消考试的通知。（新华社） 原图 ,,http://wx3.sinaimg.cn/large/7a546079ly1gdgggiokmvj20m80m8wf8.jpg,无,TRUE,无,无,2020/4/3 12:15,360安全浏览器,0,0,0,1
IwyT8mGpE,【转发辟谣！#新冠肺炎最新谣言汇总#】#鄂尔多斯防控疫情第一线# #3月起明令禁止网络暴力人肉搜索#钟南山“预测”各地解除限制时间？北京积水潭医院将建方舱医院？3万只羊赶往二连浩特？…这些说法你听过吗？统统都是假的↓↓不信谣，不传谣，转发辟谣！ （来源：人民日报）  [组图共14张] 原图 ,,"http://ww2.sinaimg.cn/large/7a546079ly1gce71v0jbcj20j60jpdia.jpg,http://ww3.sinaimg.cn/large/7a546079ly1gce71v2ftnj20j60iv0vc.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gce71uyu3ij20j60gfjtb.jpg,http://ww4.sinaimg.cn/large/7a546079ly1gce71v2ko5j20j60jpmz9.jpg,http://ww3.sinaimg.cn/large/7a546079ly1gce71uyrfbj20j60fj0u4.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gce71uyvt1j20j60ibjt9.jpg,http://ww3.sinaimg.cn/large/7a546079ly1gce71vjx9zj20j60edabj.jpg,http://ww4.sinaimg.cn/large/7a546079ly1gce71v6vbvj20j60hlgna.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gce71veed5j20j60gkwg6.jpg,http://ww4.sinaimg.cn/large/7a546079ly1gce71vdvq2j20j60jujtu.jpg,http://ww3.sinaimg.cn/large/7a546079ly1gce71vicwfj20j60ijwgt.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gce71vow0yj20j60i80v2.jpg,http://ww2.sinaimg.cn/large/7a546079ly1gce71vhry5j20j60jqwgj.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gce71vlo5rj20j60ixjtn.jpg",无,TRUE,无,无,2020/3/1 9:59,微博 weibo.com,1,0,0,1
IsUCeCG74,【关于网传“东胜华研香水湾、康巴什神华康城2住户被感染”的核查情况】#众志成城 抗击疫情# #微辟谣# 近期，在微信中转发一则消息称，“东胜区华研香水湾小区一住户被达拉特旗新型冠状病毒感染的肺炎确诊患者宋某所感染，现该住户家孩子出现身体不适”。消息还涉及康巴什区神华康城苏某，称其与东胜区确诊病例汪某为呼和浩特至鄂尔多斯市动车同车次邻座乘客，返回康巴什区后不配合隔离。经核查，消息所指东胜区华研香水湾小区住户为岳某，为达拉特旗确诊病例岳某花侄子。1月23日，岳某一家人回达拉特旗恩格贝镇老家陪父母过年，期间，曾上门给长辈们拜年，包括岳某爷爷奶奶等亲属，但并未与岳某花和达拉特旗其他确诊患者有过密切接触。岳某一家人1月25日返回东胜区，第二日岳某儿子发烧，去往东胜区人民医院就诊，经查，属普通发烧感冒，目前相关症状已消失。2月4日，鄂尔多斯市疾控中心对岳某爷爷奶奶进行新型冠状病毒（核酸）检测，结果均为阴性（阳性为确诊）。目前，岳某爷爷奶奶（常住达旗）、岳某一家（常住东胜区）均居家隔离中，无异常状况。神华康城E区苏某于1月22日乘坐D6963次动车从呼和浩特回到鄂尔多斯，为确诊患者汪某同车次邻座乘客。2月1日、3日，鄂尔多斯市疾控中心分别两次对苏某进行新型冠状病毒（核酸）检测，均为阴性（阳性为确诊）。目前，确诊患者汪某已于2月5日痊愈出院，苏某在家中隔离（14天）。（来源：鄂尔多斯新闻网） 原图 ,,http://wx2.sinaimg.cn/large/7a546079ly1gbmkch7cqpj20b40b4n2p.jpg,无,TRUE,无,无,2020/2/6 9:56,微博 weibo.com,2,1,0,2
IrHXuaIeM,【新冠肺炎疫情最新辟谣！】#众志成城 抗击疫情# #科普# 最近，关于新型冠状病毒感染的肺炎疫情牵动着人们的心，与此同时，很多谣言却在朋友圈热传。比如“用了7天的N95口罩用吹风机吹或酒精消毒可继续用”、“乳铁蛋白能预防新型冠状病毒”、“30万湖北籍境外旅客打包回上海机场”……看看你信了几个？（来源：科普中国） [组图共15张] 原图 ,,"http://ww1.sinaimg.cn/large/7a546079ly1gbdai02lfoj20zf0u01kx.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gbdahz1gzpj20vt0u0ax6.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gbdahyg31yj21460ryten.jpg,http://ww3.sinaimg.cn/large/7a546079ly1gbdahyh6ynj21320iegpl.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gbdai01rymj211u0u07kj.jpg,http://ww4.sinaimg.cn/large/7a546079ly1gbdahy97vfj213i0cktbb.jpg,http://ww3.sinaimg.cn/large/7a546079ly1gbdai0ve7yj20u012fh3h.jpg,http://ww4.sinaimg.cn/large/7a546079ly1gbdai0fs56j20xr0u0kjl.jpg,http://ww4.sinaimg.cn/large/7a546079ly1gbdahz2xxaj213s0cqad3.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gbdaiacfvjj20ur0u07wh.jpg,http://ww4.sinaimg.cn/large/7a546079ly1gbdai8eunyj213c0fu77x.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gbdai9zcn5j20vl0u0e81.jpg,http://ww1.sinaimg.cn/large/7a546079ly1gbdai9zksdj20u0159nl2.jpg,http://ww2.sinaimg.cn/large/7a546079ly1gbdai8f78zj20x607sjtg.jpg,http://ww2.sinaimg.cn/large/7a546079ly1gbdaia9942j20u011otvs.jpg",无,TRUE,无,无,2020/1/29 11:53,微博 weibo.com,1,1,1,1
Irj8BgIRL,"转发理由:#微辟谣# 查看图片  
原始用户: 中国新闻网
转发内容: 【#白岩松辟谣对话钟南山院士#】今日网上流传一则消息，“今晚21时30分，央视新闻频道，白岩松邀请钟南山院士介绍疫情”。对此，著名主持人曹可凡辟谣称，白岩松告知：“今天是周日，根本没有《新闻1+1》节目，明天就会有，而且我1月20号连线钟院士之后根本不舍得再打扰他，有可能过两天再打扰他。谣言传得如此剧烈，很多人就信以为真，一旦九点半看没有这个节目，就会有各种猜测，可是星期日原本就没有新闻1+1节目，我们要做出清晰的判断，疫情面前，请让谣言终止。咱们明天九点半新闻1+1见。” 原图 ",,无,http://wx1.sinaimg.cn/large/6a5ce645ly1gba87k0n43j20u01ahdlh.jpg,FALSE,无,无,2020/1/26 20:41,Android,1,0,0,1
Ira4veZzg,【紧急辟谣！鄂尔多斯市民别相信！这2条是假消息】#微辟谣#市民朋友们，请从官方渠道获取消息，不信谣，不传谣！  [组图共3张] 原图 ,,"http://ww4.sinaimg.cn/large/7a546079ly1gb9515j2a7j20b40b43yv.jpg,http://ww2.sinaimg.cn/large/7a546079ly1gb9514v2gzj20hs08emzd.jpg,http://ww4.sinaimg.cn/large/7a546079ly1gb95157xxsj20hs0a375w.jpg",无,TRUE,无,无,2020/1/25 21:36,Android,27,5,5,1
IqPhd3mhJ,【喝酒能抵抗新型冠状病毒？白岩松辟谣】#科普# 日前，话题#新型冠状病毒怕酒精不耐高温#登上热搜，与之相关的“饮高度酒对抗冠状病毒”的消息也迅速蔓延。高度酒究竟可不可以对抗新型冠状病毒？“新型冠状病毒怕酒精”的来源是哪里？怕的究竟是什么样的酒精？详情链接：喝酒能抵抗新型冠状病毒？白岩松辟谣  原图 ,,http://wx1.sinaimg.cn/large/7a546079ly1gb6l4gdeixj20u01m5tk2.jpg,无,TRUE,无,无,2020/1/23 16:40,HUAWEI Mate 20 Pro,1,0,0,1
