微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JvRHOjAxJ,#微博辟谣#【沃尔玛查出冷冻食品新冠病毒阳性？谣言！】#长春发布#近日网上流传一则消息：“近期不要沃尔玛，超市冷冻柜不要接触，今天紧急通知沃尔玛总仓配送已关闭，因出现了阳性”经与相关部门确认，该消息为假消息。在此，小布呼吁广大市民不信谣，不传谣，关注权威消息，一切以官方发布为准！  原图 ,,http://wx3.sinaimg.cn/large/c2ed86dfly1gl3x07woi1j209c0a0js1.jpg,无,TRUE,无,无,2020/11/27 18:47,NEX 3S 5G,33,41,25,1
JuFlAEf6Q,#长春发布#【辟谣｜“吉林省新闻发布刚刚结束，预计10点钟左右进行一次强行供水。希望大家准备好储水器具，之后还要进行维修”假的！】吉林省政府新闻办于今天16时30分召开了新闻发布会。会上提出要切实保障民生。各级供热、供水、供电、供气、通信等部门要制定应急预案，防止大面积停电、停水。要组织抢修力量，备齐抢险物资，一旦出现问题，立即组织抢修，确保相关设备安全运转，全力保障电煤、天然气供应。具体发布内容全文如下。#微博辟谣# @微博辟谣 @捉谣记 [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/c2ed86dfly1gkusy8dhjmj20wo56i7wi.jpg,http://ww1.sinaimg.cn/large/c2ed86dfly1gkusy8vxpfj20u00miwkn.jpg",无,TRUE,无,无,2020/11/19 21:29,NEX 3S 5G,401,31,105,2
Joq2Mupux,#小布分享#【盘点9月网络热传谣言：秋色正好 莫让谣言迷人眼】接种新冠疫苗会有副作用，不安全？5G基站会拖垮电网？······9月，秋凉渐深秋意浓，一波谣言趁着秋日凉风迷惑人们的双眼。盘点9月热传谣言，集中辟谣，澄清谬误。一起来看↓↓↓@国家网信办举报中心  [组图共12张] 原图 ,,"http://ww2.sinaimg.cn/large/c2ed86dfly1gjj27h4n5fj20j60cagng.jpg,http://ww3.sinaimg.cn/large/c2ed86dfly1gjj27h4jx4j20j60ae75v.jpg,http://ww1.sinaimg.cn/large/c2ed86dfly1gjj27h4r2nj20j60cidi0.jpg,http://ww2.sinaimg.cn/large/c2ed86dfly1gjj27h5dx0j20j60e1tao.jpg,http://ww4.sinaimg.cn/large/c2ed86dfly1gjj27h8u14j20gq0fxdgz.jpg,http://ww1.sinaimg.cn/large/c2ed86dfly1gjj27h4ta6j20fz0abwg5.jpg,http://ww3.sinaimg.cn/large/c2ed86dfly1gjj27h8boej20hf0bpmys.jpg,http://ww2.sinaimg.cn/large/c2ed86dfly1gjj27hanmvj20he09mjsi.jpg,http://ww1.sinaimg.cn/large/c2ed86dfly1gjj27h8eonj20he0beabp.jpg,http://ww1.sinaimg.cn/large/c2ed86dfly1gjj27h918dj20he0brjt1.jpg,http://ww3.sinaimg.cn/large/c2ed86dfly1gjj27h9t8ej20hi09875l.jpg,http://ww4.sinaimg.cn/large/c2ed86dfly1gjj27hb20bj20h30dm40b.jpg",无,TRUE,无,无,2020/10/9 19:30,微博 weibo.com,4,3,2,1
J2WDqnOHI,#微博辟谣#近日有网友散播“长春有一家麻辣烫摊主感染了，去台北大街买东西，封了7家店铺”的消息，该内容被部分网友转发并造成一定影响，该条消息内容不属实，系谣言！提醒大家，疫情相关信息请以官方发布内容为准，切勿造谣、信谣、传谣，否则将承担相应的法律后果！@微博辟谣 @捉谣记  原图 ,,http://wx3.sinaimg.cn/large/c2ed86dfly1gf016wlitpj20k00zkadr.jpg,无,TRUE,无,无,2020/5/21 14:01,iPhone客户端,44,32,29,1
J2Nqp91LQ,#微博辟谣#【“#长春#有一吉林密切接触者逃跑失踪”系谣言！】近日一条内容为“长春有一吉林密切接触者逃跑失踪，现正在寻找具体消息不详，大家一定注意做好防护”的消息被部分网友转发并造成一定影响，该条消息内容不属实，系谣言！提醒大家，疫情相关信息请以官方发布内容为准，切勿造谣、信谣、传谣，否则将承担相应的法律后果！@微博辟谣 @捉谣记 原图 ,,http://wx3.sinaimg.cn/large/c2ed86dfly1geywgha6amj20jy0b8q4n.jpg,无,TRUE,无,无,2020/5/20 14:34,NEX 3S 5G,15,21,27,1
J2NkeeW6L,#微博辟谣#【长春公共交通老年卡暂停使用？假的！】近日一条内容为“长春疫情再升级，公共交通老年卡全部暂停使用”的消息被部分网友尤其部分老年人转发，经与相关部门核实，该条消息内容不属实，系谣言！提醒大家，疫情相关信息请以官方发布内容为准，不信谣不传谣，否则将承担相应的法律后果！@微博辟谣 @捉谣记 原图 ,,http://wx4.sinaimg.cn/large/c2ed86dfly1geyw0o0qjzj20v91jkgxp.jpg,无,TRUE,无,无,2020/5/20 14:19,NEX 3S 5G,24,17,10,1
J1GEC2F9T,#微博辟谣#【紧急辟谣！这条“吉林省政府通知”是假的！】近日一条内容为“吉林省政府刚通知：吉林省的舒兰市，吉林市，蛟河市，永吉县，敦化市，榆树市，延吉市，都是高风险区，大家一定要提高警惕，并告知你们熟悉的人。”的消息被大量转发，该条消息内容不属实，为谣言！提醒大家，疫情相关信息请以官方发布内容为准，不信谣不传谣，否则将承担相应的法律后果！@微博辟谣 原图 ,,http://wx4.sinaimg.cn/large/c2ed86dfly1geqgrb6byej20u00p04fb.jpg,无,TRUE,无,无,2020/5/13 7:30,iPhone客户端,34,62,43,1
J1sI71C0K,#微博辟谣#近日，网传“长春客车厂确诊一人，是那个洗衣工儿子同学，在客车厂工作，住在东岭南街警官公寓小区，去过很多地方，大家要注意。”经与相关部门核实，该内容系谣言，请以官方发布为准，切勿信谣传谣，引起不必要的恐慌。@微博辟谣  原图 ,,http://wx3.sinaimg.cn/large/c2ed86dfly1gepra6xgwwj20ne0d6jty.jpg,无,TRUE,无,无,2020/5/11 20:00,NEX 3S 5G,101,28,80,1
IBAYMAKzp,【教育部辟谣：“6月份大学英语四六级考试取消”不实】针对近日“原6月份大学英语四六级考试取消，与下半年考试合并”的传言，记者3日从教育部考试中心证实，教育部考试中心已于2月底发布公告，推迟全国范围内2020年上半年全国大学英语四六级考试（CET）、全国大学英语四六级口语考试（CET-SET）、全国外语水平考试（WSK）、书画等级考试（CCPT）网上报名工作，并未发布取消考试的通知。 原图 ,,http://wx3.sinaimg.cn/large/c2ed86dfly1gdgegvxiiaj20j60j340n.jpg,无,TRUE,无,无,2020/4/3 12:30,微博 weibo.com,1,1,1,1
IB04d902T,#微博辟谣#【紧急辟谣！网传吉林省高三4月7日开学时间延后，假的！】#长春发布#近日，网传一份“吉林省教育厅关于做好全省中小学延后开学工作的通知”，主要内容为：因吉林省新型冠状病毒肺炎境外输入病例高达5例，故原定全省高三年级4月7日开学时间延后！经与相关部门核实，此文件信息内容为不实信息，请各位家长、学生和网友不要相信！网络不是法外之地，请每一位网络参与者谨言慎行！@微博辟谣 原图 ,,http://wx4.sinaimg.cn/large/c2ed86dfly1gdbxwts2ysj20f00m7409.jpg,无,TRUE,无,无,2020/3/30 14:31,360安全浏览器,95,19,46,1
IywGGkLaw,#微博辟谣# 【辟谣｜别转了！家长群疯传的这张图是谣言！】近日，一则内容为：“4月6日大中学开学……4月20日起，剧院、电影院营业，4月20日小、幼儿园开学”在家长群、朋友圈疯转，经核实该信息为谣言，小布再次提醒大家坚决不信谣、不传谣！一切以官方权威信息为准！@微博辟谣  原图 ,,http://wx1.sinaimg.cn/large/c2ed86dfly1gct4rcrj78j20ij0fnq4m.jpg,无,TRUE,无,无,2020/3/14 8:03,iPhone客户端,77,18,32,1
Iw8ZJFRMI,#微博辟谣#【辟谣｜长春会展中心大饭店为日韩来长集中隔离点信息不实！】经与经开区疫情防控工作领导小组办公室核实，网传经开区会展中心大饭店是我市日韩外国人集中隔离点的信息不实，相关信息请以相关部门权威发布为准。@长春卫计委  原图 ,,http://wx3.sinaimg.cn/large/c2ed86dfly1gcb0r5ow40j20pg0ebtbf.jpg,无,TRUE,无,无,2020/2/27 16:03,iPhone客户端,149,28,79,1
IuVm7tsH2,#微博辟谣#【辟谣｜长春学校开学时间、全面恢复正常化时间已定？假的】近日关于网传内容“长春学校开学时间已定……；市政府会议精神全面恢复正常化时间……”等内容经证实，系谣言！目前虽然一切状况显示向好，大家期待尽早恢复正常生产生活的愿望也可以理解，但一切以官方通知为准，切勿妄加造谣、传谣！@微博辟谣 @捉谣记 原图 ,,http://wx1.sinaimg.cn/large/c2ed86dfly1gc1qtrqhrmj20c20lftau.jpg,无,TRUE,无,无,2020/2/19 15:30,iPhone客户端,199,38,114,1
Iurhcls23,#微博辟谣#【辟谣｜明天省内所有新冠肺炎患者送到九台区结核医院？假的】近日关于网传内容“明天起，吉林省所有被感染的新冠肺炎患者，将被送到九台区结核医院，共88人，接下来，九台将进入非常时期……”经证实，系谣言！再次强调：新冠肺炎疫情防控正处于关键期，请勿传播未经核实的信息，造成大众恐慌，扰乱公共秩序。一经查实，严惩不贷！@微博辟谣 @捉谣记 原图 ,,http://wx4.sinaimg.cn/large/c2ed86dfly1gby20nkaa1j20f00f0tbf.jpg,无,TRUE,无,无,2020/2/16 10:55,iPhone客户端,143,50,71,1
ItRIbrA78,#微博辟谣#【辟谣丨长春晚上要用雾炮全城大消杀？别信！】#长春发布#近期，社交媒体广泛流传这样一个消息：@所有人 通知：按照市疫情指挥部紧急会议安排，今明两晚夜间10点到凌晨2点开始全城大消杀行动，采取雾炮，路面喷洒机械作业和人工喷雾全方位无死角对主次干道，背街小巷，广场绿地，居民社区等进行大消杀。请大家互相传达，不要外出或者注意个人外出防护，关闭门窗户和收纳阳台衣物等物品。请转发！经与相关部门核实，此信息系谣言。请广大市民不信谣、不造谣、不传谣。@微博辟谣 @捉谣记 原图 ,,http://wx4.sinaimg.cn/large/c2ed86dfly1gbtoy00wjpj20gu0guadg.jpg,无,TRUE,无,无,2020/2/12 16:23,iPhone客户端,76,32,50,1
It6IRoz0b,【辟谣｜自来水加大氯气注入？假的！】 #长春发布#近日，网民反映微信群相互疯传一则信息，内容为：“水厂朋友来电话，非常时期，自来水处理过程中在允许的范围内加大了氯气的注入。大家在用水时，特别是烧开水、煮饭用水要把水装出来，最少静置两小时以上再用。这样会更健康。（转发）”经与相关部门核实，该则信息为谣言。请大家不造谣、不信谣、不传谣，一切以官方发布信息为准！@微博辟谣 原图 ,,http://wx2.sinaimg.cn/large/c2ed86dfly1gbnxiy54cej20u00u07ad.jpg,无,TRUE,无,无,2020/2/7 16:46,iPhone客户端,15,6,14,1
IsFvaq14f,#微博辟谣#【辟谣｜发武汉疫情信息永久封号？假！假！假！】#长春发布#近日关于网传内容“从今晚八点起，禁止发关于武汉疫情的各类链接，如发现将永久封号。如果群里有一个人发，群内所有人将永久封号。微信中的钱将无法取出。有关细节可看中央电视台。”经证实，系谣言！再次强调：新型冠状病毒感染的肺炎疫情防控正处于关键期，请勿传播未经核实的信息，造成大众恐慌，扰乱公共秩序。一经查实，严惩不贷！ 原图 ,,http://wx2.sinaimg.cn/large/c2ed86dfly1gbklbbq82dj20pl0j60wj.jpg,无,TRUE,无,无,2020/2/4 19:28,iPhone客户端,348,80,161,1
IsEETd6CQ,#微博辟谣# 【辟谣 | 汽车厂45街区往外抬人？假的！】#长春发布#近日，在我市部分网民中传播的关于从“汽车厂45街区713栋”往外抬人视频，经与公安、汽开区卫健部门、长春急救中心核实，并无此事发生。请大家不信谣、不传谣，注意自我防护，共同抗击疫情。在此期间，故意造谣生事、传播不实疫情信息的，将严肃追究法律责任。@微博辟谣 @长春卫计委 原图 ,,http://wx4.sinaimg.cn/large/c2ed86dfly1gbkhixiuf1j20kj0okakt.jpg,无,TRUE,无,无,2020/2/4 17:19,iPhone客户端,132,80,63,1
Is0RTplx1,#微博辟谣#【全市交通管制，上路扣6分？假的！】收到网民反映某小区物业发布信息称“全市交通实行交通管制，被警察和监控拍到上路车辆扣6分（执行公务车、应急车辆除外）”，经与交警部门核实，系谣言，相关部门一手抓疫情防控，一手抓城市运行，全力做好疫情防控物资和力量保障，全力做好市民群众生活必需品供应保障，希望广大市民群众自觉抵制谣言，不信谣、不传谣，共同维护良好的社会秩序，众志成城打赢疫情防控这场硬仗！#长春发布# 原图 ,,http://wx4.sinaimg.cn/large/c2ed86dfly1gbflt7z758j20my0um0yb.jpg,无,TRUE,无,无,2020/1/31 12:01,iPhone客户端,52,27,51,1
IriJpDhNt,#微博辟谣#【谣言！今晚央视九点三十分白岩松采访钟南山院士？又是假的！】#长春发布#经与中央电视台沟通核实，确认今晚九点三十分白岩松采访钟南山院士的专题节目为不实消息，特此告知！望广大群众不信谣、不传谣，关注官方媒体报道！一切以官方发布为准！  原图 ,,http://wx2.sinaimg.cn/large/c2ed86dfly1gba6zxb91ej20n20yldnx.jpg,无,TRUE,无,无,2020/1/26 19:39,iPhone客户端,560,222,165,1
Ir9y9qlV1,#微博辟谣#【紧急辟谣！飞机喷洒消毒药水？假的！】经核实，在微信广为流传的“飞机洒消毒药水信息……”为谣言！希望广大网民从疾控或医疗机构、权威新闻媒体了解疫情信息，不要轻信各种谣言，不造谣，不传谣，不信谣！非常时期，切勿以讹传讹，造成恐慌扰乱社会秩序！  原图 ,,http://wx1.sinaimg.cn/large/c2ed86dfly1gb92lmv46xj20rs0rsdi9.jpg,无,TRUE,无,无,2020/1/25 20:17,iPhone客户端,962,139,186,1
Ir6uJ9mmZ,#微博辟谣#【#一口气辟掉40条武汉疫情谣言#】武汉新型冠状病毒肺炎疫情持续引发民众关注。该疫情自出现后便伴随有源源不断的谣言产生，这些谣言或危言耸听，或错误引导。望转发周知！疫情宣传，需要你我共同努力�  原图 ,,http://wx4.sinaimg.cn/large/c2ed86dfly1gb8p4z0nzxj20qo3dsh3x.jpg,无,TRUE,无,无,2020/1/25 12:30,iPhone客户端,39,6,28,1
IqOwZ2NlH,【新型病毒肺炎防控科普】随着#吉林确诊首例新型病毒肺炎病例#，小布就大家所关心的相关问题，特别整理了关于目前新型肺炎所掌握的情况，包括如何降低感染病毒风险、一些官方辟谣以及长春市相关定点救治医疗机构名单，希望市民加以了解并及时及时做出防范，但还请大家理性看待，不信谣，不传谣，一切以官方发布为准，相信一定会团结一心，共同战胜这场疫情！ [组图共4张] 原图 ,,"http://ww1.sinaimg.cn/large/c2ed86dfly1gb6hheko2oj20u02a5qf3.jpg,http://ww1.sinaimg.cn/large/c2ed86dfly1gb6hhf7gb5j20rs334tue.jpg,http://ww4.sinaimg.cn/large/c2ed86dfly1gb6hhhhj5tj20rs79f7wk.jpg,http://ww1.sinaimg.cn/large/c2ed86dfly1gb6hhe30qgj20rs1g7ajg.jpg",无,TRUE,无,无,2020/1/23 14:46,iPhone客户端,300,53,58,2
