评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//zhongxia1993,V哈哈哈哈哈哈哈哈哈哈哈哈哈哈V,女,吉林,93,228,71,这事造谣，图啥啊.................,17,2020-03-30 14:33
https://weibo.cn//u/6605273117,星Iktsuarpok,女,吉林,10,539,54,我发现奥.没公布开学时间就造谣开学.这公布完就开始造谣延后了.闲的？p图好玩儿？,18,2020-03-30 14:56
https://weibo.cn//u/3214347705,蛟河小二,男,吉林,1014,302,245,谣言又起来了，今天早上小卖店和单位的人还有鼻子有眼的说吉林又多十多例都得关门，小编能不能反应一下抓抓这些造谣的,3,2020-03-30 14:50
https://weibo.cn//u/5604748083,-春溪-,女,吉林,1322,160,53,所以咱们吉林省到底是不是七号开学啊？？,0,2020-04-01 19:11
https://weibo.cn//u/1861392374,你好lisa2020,女,吉林,72,296,117, 网上通知长春要给所有3.25号回长春的湖北人做核算检测，并且隔离14天，是真的吗？有健康证明和绿码的健康人也要隔离和检测。,0,2020-04-01 00:00
https://weibo.cn//u/7400562765,姓西名门庆号官人,女,吉林,139,249,7,前段时间小区封闭的时候，有F轮功的跑到楼道里贴“传单”（别问我从哪来的）。问社区人员怎么办，没人理……,0,2020-03-30 21:55
https://weibo.cn//u/5491076512,A亚人,男,吉林,287,351,222,回复@V哈哈哈哈哈哈哈哈哈哈哈哈哈哈V:其罪当斩,0,2020-03-30 19:37
https://weibo.cn//u/6488810249,遇見驚鴻29,男,吉林,18,71,25,造谣生事损人不利己不知道？唯恐天下不乱？做个人吧,1,2020-03-30 17:59
https://weibo.cn//u/6469679377,清荷垂柳2021,女,吉林,4137,145,105,造谣惑众！,0,2020-03-30 17:49
https://weibo.cn//u/6138164282,陳y05,女,吉林,32,33,28,造谣的人是什么心理,0,2020-03-30 16:49
https://weibo.cn//u/2516019102,燃烧的呆子,男,吉林,1156,128,268,看这排版，字体，字号就是假的。正文仿宋三号字都没用。页边距也不对。,1,2020-03-30 16:39
https://weibo.cn//809081399,不要在意名字这些细节,男,吉林,2980,1481,3147,开学是25号文件 延期就变9号文件了,2,2020-03-30 16:35
https://weibo.cn//u/7016701174,金剛鉆石,男,吉林,50,173,27,越来越缺德了，这种事还造谣,0,2020-03-30 16:34
https://weibo.cn//u/3880038050,Sws5L,男,吉林,147,267,53,回复@长春发布:嗯 就是这个意思 不走心啊,0,2020-03-30 16:34
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,紧急辟谣！网传吉林省高三4月7日开学时间延后，假的！,0,2020-03-30 16:33
https://weibo.cn//u/3880038050,Sws5L,男,吉林,147,267,53,很明显啊 文件字体 文件号 都不对啊 哈哈哈,1,2020-03-30 16:33
https://weibo.cn//u/5695532408,祝你爱我y,男,其他,0,10,109,上着网课寻思五一终于能开学了 看到这个人都不好了 还好还好,0,2020-03-30 15:51
