评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5171144689,长春老舅,男,海外,6,102,498,非常时期，听D指挥。不轻信谣言，不传谣，不造谣。,69,2020-01-25 20:20
https://weibo.cn//u/2130783542,Kontrol_kyu,女,广东,710,300,401,我跟家人说是假的，还不信我，说什么都整个村都在发，我…[攤手],15,2020-01-25 23:42
https://weibo.cn//u/7337854620,陌梦90565,男,其他,4,43,4,朋友圈里好多这个,88,2020-01-25 20:20
https://weibo.cn//u/5525598293,月色小玖,女,其他,15,134,5,好事儿！下完了大家自备容器取回家化开消毒,0,2020-01-26 22:20
https://weibo.cn//u/1403506143,sunxiaozi,男,吉林,99,112,292,当年非典时期，也有这样的谣言，当时的王岐山市长临危受命，新闻发布会透明信息，铁腕治疫。,0,2020-01-26 13:20
https://weibo.cn//u/6744401047,疾风步1992,男,其他,4,167,83,这种怎么说出来的？脑子呢？,0,2020-01-26 11:54
https://weibo.cn//lishixiang620,猪宝的爸爸,男,浙江,11,71,31,浙江网友报到，昨天很多台州家族群在传，我他妈说是假的，他说你不信拉倒,0,2020-01-26 11:40
https://weibo.cn//u/3732926242,四爪子泥,女,黑龙江,703,146,76,我跟我爸说是假的，他说我什么都不懂,0,2020-01-26 11:13
https://weibo.cn//u/5533234423,阿布臭臭宝,女,吉林,462,125,201,能不能把小区里的麻将馆封了？也不知道该咋举报，感觉就是个定时炸弹！,0,2020-01-26 11:09
https://weibo.cn//u/7195415646,用来刷墙头的,男,其他,27,82,2,回复@e的八块腹肌:哈哈哈，真的是广为流传啊，大家一起共克时艰吧,0,2020-01-26 11:03
https://weibo.cn//u/2748417611,骞骧,男,吉林,1047,52,961,一帮傻子在朋友圈发这个，告诉他们是假的竟然还不信。,0,2020-01-26 11:00
https://weibo.cn//u/2689856985,白狐逸雪,男,吉林,234,87,37,回复@暖暖内含光200709:然而这种类似非典的病毒是不耐高温的，所以做好长期防护的准备吧。,0,2020-01-26 10:10
https://weibo.cn//u/5870113840,怠惰本大爷,女,黑龙江,299,263,65,回复@暖暖内含光200709:病毒耐低温不耐高温,0,2020-01-26 09:16
https://weibo.cn//u/3720519970,如昔日般笑魇如花,女,河南,110,95,33,我婆婆妈昨天还跟我们一家说，喊我们不要出门，飞机要洒药,0,2020-01-26 09:02
https://weibo.cn//u/5370632592,问蕖儿啊,女,湖南,4510,607,294,回复@暖暖内含光200709:病毒都耐低温但不耐高温～,0,2020-01-26 08:21
https://weibo.cn//u/5724302704,小-图-图,女,新疆,96,127,65,回复@我你老舅:我太难了，网上各种谣言，家里长辈都当真，什么抽烟，酒精高温，杀毒。他们还觉得没事，我说假的不信，每天吵800遍，不让他们走亲戚，他们说不行，人情世故你不懂。我可去你的吧，爱怎样怎样，累了。,0,2020-01-26 06:27
https://weibo.cn//u/7360599979,暖暖内含光200709,男,其他,0,5,1,回复@怠惰本大爷:这病毒耐低温吗，那么冷还能存活吗,0,2020-01-26 02:27
https://weibo.cn//u/3229490881,花非花---雅,女,其他,1382,247,167,搞不懂这些人怎么还有心情谣言,0,2020-01-26 01:44
https://weibo.cn//u/6626765490,爱掉头发的菠萝V,女,其他,2,28,2,什么时候了！还传这个乱七八糟的谣言，真的是,1,2020-01-26 01:34
https://weibo.cn//u/2960714511,妮儿的日记,女,福建,868,221,348,发现这种造谣很可怕，居然全国统一，扩散力度太可怕了，抓到造谣者，鞭刑,0,2020-01-26 01:18
https://weibo.cn//u/2839960794,落-mu,男,广东,1520,296,169,抓住造谣的 重罚！,0,2020-01-26 01:08
https://weibo.cn//u/5869975049,纯青火turbo,男,其他,299,139,30,全国都在传这个谣言,0,2020-01-26 01:02
https://weibo.cn//u/7263979882,褪色的福音战士,女,其他,1575,1895,36,哈哈哈哈哈哈 我妈信了,0,2020-01-26 00:59
https://weibo.cn//u/5796635970,你真让人讨厌呀,女,广西,1,69,42,赶紧把造谣的抓了,0,2020-01-26 00:44
https://weibo.cn//u/7332024166,谁特喵买小米hyj,男,辽宁,37,50,4,回复@怠惰本大爷:哎√铁子，你抓住重点了。咱寻思这从天上撒害没消毒呢不先冻上了,0,2020-01-26 00:15
https://weibo.cn//u/5026293891,铕哥爹,男,山西,964,274,1266,回复@纳兰空暖:老哥，稳,0,2020-01-25 23:46
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126287,回复@Kontrol_kyu:,0,2020-01-25 23:44
https://weibo.cn//u/2130783542,Kontrol_kyu,女,广东,710,300,401,我跟家人说是假的，还不信我，说什么都整个村都在发，我…[攤手],15,2020-01-25 23:42
