评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/2491386593,三五风光,女,吉林,22560,2008,1992,忙死了,9,2020-01-31 12:08
https://weibo.cn//208259777,浪里寻花,男,吉林,21504,941,5592,这时候还造谣真是没心没肺了,9,2020-01-31 12:13
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126287, ,0,2020-01-31 12:12
https://weibo.cn//u/2922739085,s施小狮w,男,吉林,143,149,64,长春市顺丰快递寄不了，提示交通管制。怎么说？ ,0,2020-02-14 09:49
https://weibo.cn//u/2994410292,吃多的张胖子,女,吉林,219,61,1913,长春哪有卖口罩的啊,0,2020-02-02 17:29
https://weibo.cn//u/5333331080,因为我性格怪异会有所变动,女,台湾,4,42,972,回复@浪里寻花:这物业脑子他妈生锈了吧,0,2020-02-01 14:28
https://weibo.cn//u/5842539281,勤劳的东子3,男,吉林,12,6,237,回复@大秋白桃:偷学而来,0,2020-01-31 23:31
https://weibo.cn//u/5842539281,勤劳的东子3,男,吉林,12,6,237,回复@大秋白桃:偷学,0,2020-01-31 23:31
https://weibo.cn//u/5105528289,静儿1988_35830,女,吉林,458,251,100,造这谣有意思吗？,0,2020-01-31 20:41
https://weibo.cn//u/1414571295,蠢猪poison,女,海外,780,172,188,我们小区真牛逼,0,2020-01-31 20:35
https://weibo.cn//u/2672237001,西原__,女,北京,81,44,110,如果是真的周一还咋上班……,0,2020-01-31 16:21
https://weibo.cn//u/6932729439,小大白鹅,女,吉林,8,30,9,回复@勤劳的东子3:哈哈哈哈，你太棒了,0,2020-01-31 15:30
https://weibo.cn//u/1704191992,一路心向南,男,吉林,23,780,339,要循循渐进 怎么可能一下子都停了 最大的目的就是在不封城不引起恐慌的前提下 让大家都安安静静地在家里 不要乱走 扛过这段时间 就是最大的胜利了,0,2020-01-31 15:16
https://weibo.cn//609001228,馒头家7,男,吉林,583,507,440,抓起来没？,0,2020-01-31 15:01
https://weibo.cn//u/7380944510,漫步人间516,男,吉林,9,34,17,妖言惑众，居心叵测。,0,2020-01-31 14:56
https://weibo.cn//u/6867364469,沈剑958,男,其他,53,11,11,回复@洗面桥横街东:上台花园，铭隆物业，你自己查查，以后核实了再来喷,0,2020-01-31 13:53
https://weibo.cn//u/6867364469,沈剑958,男,其他,53,11,11,小区物业造谣，我就这个小区的，有地下停车位就让进小区，没有说啥都不让进,0,2020-01-31 13:50
https://weibo.cn//u/5165527411,荣竹覆春京,女,吉林,1122,670,1522,吓我一跳,0,2020-01-31 13:45
https://weibo.cn//paichangchun,随手拍长春,女,吉林,67599,15806,607722,严肃查处,1,2020-01-31 13:40
https://weibo.cn//u/5625754787,很大大鹏,男,吉林,479,180,92,这很上台子……,0,2020-01-31 13:29
https://weibo.cn//tongchenghui,微博同城,女,北京,38961,2388,1829817,Hi，我已将你的微博收录到新鲜事 ,0,2020-01-31 13:18
https://weibo.cn//u/5095642855,蓝山醇,男,吉林,237,450,276,回复@浪里寻花:也不知道我小区这物业咋的了   喝假酒上头了估计,2,2020-01-31 13:16
https://weibo.cn//u/5347018101,虎牙丶小希,男,天津,143,177,89,过完年要返程了 别让他们回长春 谢谢 人多了 谁放进来的 谁是罪人,1,2020-01-31 13:12
https://weibo.cn//u/7303455726,点赞长春,男,吉林,12612,330,550621,谣言可耻，不信谣！不传谣！,0,2020-01-31 13:10
https://weibo.cn//u/1108984921,wangyao1818789767,男,其他,126,84,11,想想也不应该，公交停了不少，车不让开，在医院工作还怎么上班？,0,2020-01-31 13:09
https://weibo.cn//ccwsd100,长春微视点,男,吉林,86279,907,1349012,全市交通管制，上路扣6分？假的！,1,2020-01-31 13:04
https://weibo.cn//1033gsgb,吉林旅游广播,男,吉林,23995,262,54609,不信谣不传谣，这时候能不能不添乱！,0,2020-01-31 12:54
https://weibo.cn//u/5095642855,蓝山醇,男,吉林,237,450,276,我们小区物业  我这心思29号的事你31号发干啥 没想到 还是个造谣  物业抓了么？,1,2020-01-31 12:51
https://weibo.cn//u/7378102063,思乡200804,男,其他,0,23,9,应该罚他们,0,2020-01-31 12:50
https://weibo.cn//u/5056772906,吃葡萄不吐葡萄皮el,女,吉林,107,381,186,回复@随运而安456:上台村咋的了,0,2020-01-31 12:50
https://weibo.cn//u/2928704727,夜未半,男,其他,210,352,378,造谣一张嘴，辟谣跑断腿,0,2020-01-31 12:42
https://weibo.cn//daidai2000,呆呆2000,男,吉林,1512,127,1190,各种阿猫阿狗看到网上各种硬核宣传视频，开始给自己加戏了，封闭小区这种行为，本质上是不合法的，就是懒政。为了不给自己“添麻烦”，不让小区人员外出，不让租户进入……,0,2020-01-31 12:37
https://weibo.cn//100743112,沈局春段HXD3D0001,男,吉林,4636,209,6299,回复@别撕吧我自己来:毕竟上台村村企就连供暖也是这家垄断,0,2020-01-31 12:31
https://weibo.cn//u/5172755173,别撕吧我自己来,男,其他,198,790,113,回复@沈局春段HXD3D0001:啊，那这物业也不算小了,0,2020-01-31 12:30
https://weibo.cn//u/5842539281,勤劳的东子3,男,吉林,12,6,237,没文化，真可怕，瞎比比，嘴还大！,0,2020-01-31 12:29
https://weibo.cn//100743112,沈局春段HXD3D0001,男,吉林,4636,209,6299,回复@别撕吧我自己来:还有白金洋房,0,2020-01-31 12:28
https://weibo.cn//100743112,沈局春段HXD3D0001,男,吉林,4636,209,6299,回复@洗面桥横街东:上台村搞的物业,0,2020-01-31 12:28
https://weibo.cn//100743112,沈局春段HXD3D0001,男,吉林,4636,209,6299,回复@随运而安456:上台村了解一下,0,2020-01-31 12:28
https://weibo.cn//liusu0906,酥饼suer,女,吉林,0,117,135,回复@洗面桥横街东:上台花园今天保安就这么告诉我的，太能造谣,0,2020-01-31 12:23
https://weibo.cn//u/5172755173,别撕吧我自己来,男,其他,198,790,113,回复@洗面桥横街东:有，上台花园上台新村都是这个物业,1,2020-01-31 12:22
https://weibo.cn//u/5876419780,长春新动态,男,吉林,15288,450,919962,造谣可耻，严肃处罚,0,2020-01-31 12:21
https://weibo.cn//u/1033355105,天涯何处觅知音132,男,吉林,408,98,351,赶紧给他拘留,0,2020-01-31 12:18
https://weibo.cn//u/2491386593,三五风光,女,吉林,22560,2008,1992,回复@长春发布:我光坐着看这些消息我都身心疲惫,0,2020-01-31 12:15
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126287,回复@浪里寻花:一声叹息……,0,2020-01-31 12:14
https://weibo.cn//208259777,浪里寻花,男,吉林,21504,941,5592,这时候还造谣真是没心没肺了,9,2020-01-31 12:13
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126287, ,0,2020-01-31 12:12
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126287,回复@三五风光:是的,1,2020-01-31 12:11
https://weibo.cn//u/2491386593,三五风光,女,吉林,22560,2008,1992,忙死了,9,2020-01-31 12:08
