评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6422324656,喵喵m000,女,其他,125,35,3,有说热搜上那个呼尔浩特的姐的是咱长春市朝阳区的病例二王某传染的，说她还传染了几个人点亮了四个城市（？）能辟谣吗，有理有据有同车同机记录，我转了，也,9,2020-02-04 18:00
https://weibo.cn//uc71272379,吕小墨,男,吉林,5083,154,1040,只是说不是45街区……但是我看那个楼的颜色 单元门口的样式 和汽车厂这边好多楼都特别像,14,2020-02-04 19:55
https://weibo.cn//645594521,念泪随雨分飞,男,吉林,1957,1190,929,这个抓起来吧，给我媳妇吓坏了。,6,2020-02-04 17:27
https://weibo.cn//u/5530550052,踏平坎坷终成魔,女,其他,361,168,59,回复@吕小墨:不是汽车厂，是哪呀？为啥不告诉呀,0,2020-02-08 10:07
https://weibo.cn//u/5678825160,戚乐QiLe,女,吉林,701,35,98,不出门，,0,2020-02-06 21:42
https://weibo.cn//u/5685322122,果冻大布丁-,女,吉林,2919,124,45,所以到底是哪的呢,0,2020-02-06 10:18
https://weibo.cn//u/6474432322,潇洒好歌,男,其他,1489,526,156,45街区根本没有713栋，713栋在39街区！,0,2020-02-06 08:15
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126286,回复@美丽的oscar:谢谢你的肯定，小布全力以赴,0,2020-02-05 12:06
https://weibo.cn//u/3179443875,美丽的oscar,男,吉林,2831,57,212,回复@长春发布:在我心里你就是长春的权威。,0,2020-02-05 10:20
https://weibo.cn//u/6551737186,满家它爹,男,其他,52,277,92,那到底是哪儿往外抬人？,1,2020-02-05 07:34
https://weibo.cn//u/1635292853,砚凝寒_242,男,其他,0,6,6,这辟谣，也说个来源出处啊？还是不明不白啊，都不知道该信谁。,1,2020-02-04 23:15
https://weibo.cn//ccwsd100,长春微视点,男,吉林,86279,907,1349011, 辟谣 | 汽车厂45街区往外抬人？假的！,0,2020-02-04 22:47
https://weibo.cn//u/6129309353,一笑生花_丶,女,其他,317,356,50,那这个视频到底是怎么回事？,1,2020-02-04 22:26
https://weibo.cn//tomatoemily,番茄爱美丽,女,其他,2504,282,637,不是汽车厂45！那是哪里？不能只说不是45街区。,3,2020-02-04 22:09
