评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//201251222,密斯特张007,男,吉林,1385,440,1054,能编出这个消息的人也够2的了,91,2020-02-04 19:38
https://weibo.cn//u/2219047627,方奕涵H,女,吉林,227,371,2956,有散布谣言这功夫，去看看周围有没有和湖北有接触的，或者和确诊有关的。更造福大家。,19,2020-02-04 21:37
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126286,@微博辟谣,7,2020-02-04 19:36
https://weibo.cn//u/7314025111,YERHER-,女,其他,35,724,71,今天在家庭群也看到了，内容与这个大同小异，我也不信，上vb找辟谣来了,0,2020-02-18 11:57
https://weibo.cn//u/2510128027,阿花小毛头,女,海外,1466,448,302,回复@密斯特张007:咋寻思的，有人敢编就有人敢信,0,2020-02-08 10:32
https://weibo.cn//u/6234000846,菲笙浅陌,女,吉林,22,251,19,回复@源源不断Annie:过去多久了早忘记你说了什么才评论的，看你评论都被删除了，来我这说你受过什么相关训练，我不care,0,2020-02-07 14:38
https://weibo.cn//u/7366744800,源源不断Annie,女,吉林,48,39,5,回复@不愿透漏姓名的热心市民吴先生:参加过相关安全知识的培训，提到过,0,2020-02-07 14:13
https://weibo.cn//u/7366744800,源源不断Annie,女,吉林,48,39,5,回复@不愿透漏姓名的热心市民吴先生:参加过安全知识培训，当时培训提到过,0,2020-02-07 12:09
https://weibo.cn//u/5353209893,吴大的微博,男,浙江,4,18,31,回复@源源不断Annie:你既然不是专业的为什么要造谣？,0,2020-02-07 11:57
https://weibo.cn//u/7366744800,源源不断Annie,女,吉林,48,39,5,回复@不愿透漏姓名的热心市民吴先生:你可以咨询相关专业人，再来质疑！,0,2020-02-07 11:54
https://weibo.cn//u/7366744800,源源不断Annie,女,吉林,48,39,5,官方信息不建议用外国产手机发布，存在安全隐患！,0,2020-02-07 11:46
https://weibo.cn//u/7366744800,源源不断Annie,女,吉林,48,39,5,回复@不愿透漏姓名的热心市民吴先生:以前有安全知识培训，提到过，问相关负责人，再来质疑！,0,2020-02-07 11:45
https://weibo.cn//u/7366744800,源源不断Annie,女,吉林,48,39,5,回复@菲笙浅陌:以前有过这方面的培训，问问相关负责人，再来质疑我的观点！,0,2020-02-07 11:44
https://weibo.cn//u/7366744800,源源不断Annie,女,吉林,48,39,5,回复@你们的张老师:可以问问相关负责人，再来质疑我的观点，以前有过这样的培训安全知识！,0,2020-02-07 11:44
https://weibo.cn//u/7366744800,源源不断Annie,女,吉林,48,39,5,回复@你们的张老师:可以问问安全负责人，到底存不存在这种情况！,0,2020-02-07 11:41
https://weibo.cn//u/6372000655,专属李长旭的微博,男,吉林,1614,966,460,回复@天使之家天使嘉年华:凡是谣言别搭理他 不理会 要看微博里新闻是怎么说的 我们要杜绝谣言 不造谣 看官方的说法,0,2020-02-06 15:38
https://weibo.cn//u/5198407011,白巧克力狗,女,其他,7,255,86,我们家族群也信。。。。我TM服了,0,2020-02-06 14:32
https://weibo.cn//tanhaizhen,鎏妍,女,广东,1584,98,125,回复@密斯特张007:又不是造谣，正常的讨论疫情进展都不让了，发布这个消息的首先就应该抓起来，大刑伺候！,0,2020-02-06 10:09
https://weibo.cn//u/5132324706,郑矜持_,女,广东,26,155,125,回复@超凶呐_:怼完亲戚  亲戚又发了几张已经封群的聊天记录,0,2020-02-06 00:12
https://weibo.cn//u/6357937382,莨糠糠,女,其他,10,34,1,回复@长春控:投诉他,0,2020-02-05 23:49
https://weibo.cn//23860060,辽宁交通,男,辽宁,40248,2247,428670,辟谣：“发武汉疫情信息永久封号”是谣言。,0,2020-02-05 23:42
https://weibo.cn//u/5736208200,彭仁博,男,黑龙江,2,23,19,我也是老妈告诉我  然后来截图辟谣的,0,2020-02-05 21:20
https://weibo.cn//zizianww,呃呃呃打,男,澳门,325,191,119,回复@密斯特张007:我倒觉得不假，你们去搜搜微信封号，微信被封吧,0,2020-02-05 18:54
https://weibo.cn//u/5979093763,·奶文魚魚酱·,女,天津,839,241,184,可烦死我了前两天家里长辈还因为这个事呲儿我了,0,2020-02-05 18:45
https://weibo.cn//lovedealer,蘑菇布朗尼·,女,其他,39,371,189,回复@密斯特张007:长辈好多都信。。我舅妈就信了,0,2020-02-05 18:40
https://weibo.cn//u/3743263887,守序善良雪亲王,男,辽宁,7987,1065,827,以谣治谣，牛b,0,2020-02-05 16:13
https://weibo.cn//u/5047016462,君君的领地,男,湖南,354,58,284,这个虽然央视没报道过，然而实际上微信是这样操作的，有人在微信群统计单位感冒人员信息结果被封号了,0,2020-02-05 15:44
https://weibo.cn//u/5785950532,韩封墨,男,其他,0,45,2,造谣生事,0,2020-02-05 14:27
https://weibo.cn//u/2707146303,Vvge思彤,女,江苏,463,38,69,哈哈，很多家庭群收到这个，我就截这张图给他们说：别发谣言,0,2020-02-05 14:22
https://weibo.cn//u/6067418433,冬天的露珠夏天的雪,女,吉林,7,118,23,回复@刘昊然得不到的女人vy:我每次给爷爷奶奶辟完谣，都不用隔天，他们就会把同一个谣言再拿出来当事实，已经说不过来了。然后再和你说一句，好几个群里都这么发的了，假的咋还能总发呢？,0,2020-02-05 14:15
https://weibo.cn//u/6039274521,沐风夏阳,女,吉林,2064,276,473,这种瑶言也是服了，就那么无聊没事总出来造谣,0,2020-02-05 13:07
https://weibo.cn//u/3938944742,草根新闻君,男,山东,3219,1933,8244,特意截图，怼他们！ ,0,2020-02-05 12:13
https://weibo.cn//u/6764697808,Eliaukoay_y,女,甘肃,192,474,188,回复@SOFI_Dreamer:辟谣了,0,2020-02-05 11:16
https://weibo.cn//u/2423814863,召唤NPC,女,其他,9861,125,106,回复@Lxm_减少支出中:可能是因为有人真的被封了，昨天看好几个人微信群被封了,0,2020-02-05 11:13
https://weibo.cn//u/7062127447,呼啊呼啊呼呼啊呼,女,其他,165,251,14,回复@刘昊然得不到的女人vy:我表弟刚发完，我爸就发了个中药治的药房，打着红十字会的名号。我直接截图发群里，说他俩的都是谣言,0,2020-02-05 10:48
https://weibo.cn//u/6491404435,Lesleytese,女,其他,1,22,1,回复@密斯特张007:那还真不是一般的2,0,2020-02-05 10:35
https://weibo.cn//526857678,天使之家天使嘉年华,男,吉林,48329,1361,567,回复@专属李长旭的微博:你不觉得这些人太可恶了吗？这几天好几期谣言了，我家邻居还告诉我吃香蕉能得新型肺炎呢，我告诉他，没有确定的消息不要乱说，有可能是谣言，结果，证明我的猜测是正确的,0,2020-02-05 09:49
https://weibo.cn//u/3796589082,雪琪姑娘,女,吉林,348,194,62,微信里太多这种假消息了，说的严重点大家就都信了 很无语！不知道都从哪传出来的！,0,2020-02-05 09:45
https://weibo.cn//u/3796589082,雪琪姑娘,女,吉林,348,194,62,回复@密斯特张007:群里都在转发这个！好无语！发什么他们都信！一点意识没有！！！,1,2020-02-05 09:40
https://weibo.cn//u/6403915740,一颗林檎_,女,其他,808,764,31,@Eliaukoay_y,0,2020-02-05 09:21
https://weibo.cn//u/6250911556,一颗水蜜桃zi,女,其他,1,210,231,我妈信了,0,2020-02-05 09:19
https://weibo.cn//u/5700567543,贼帅的张兆强,男,吉林,0,80,35,最可怕的事是，传谣的人发信息没人说话，我辟谣的发信息，别人让我闭嘴。,0,2020-02-05 08:53
https://weibo.cn//u/6506407141,三颗豆139,男,海外,553,49,315,造谣者总想以身试法，必须满足他们！,0,2020-02-05 08:01
https://weibo.cn//u/6174565597,张老五没烦恼丶,男,其他,70,80,57,我小区大姐天天发这个，用脑袋想就可能是真的，劝不动,0,2020-02-05 07:56
https://weibo.cn//u/6737533326,芜之0446,女,其他,160,354,1142,回复@超凶呐_:+1，在这群亲戚操碎了心,0,2020-02-05 07:27
https://weibo.cn//baibaodai,哆啦标标,男,广东,1163,86,1466,一看到这一句：信中的钱将无法取出。就知道假的了。,0,2020-02-05 01:45
https://weibo.cn//u/6434308446,我叫贾小佳,女,其他,13,16,1,家里长辈发来，外加一通强调电话，截图辟谣,0,2020-02-05 01:45
https://weibo.cn//kimcheol,天使在0991,男,新疆,10900,370,2897,回复@Lxm_减少支出中:一句话：亲妈人头落地的人发的,0,2020-02-05 00:55
https://weibo.cn//u/5178734379,祖宗味儿的小仙女s,女,吉林,17,27,32,回复@刘昊然得不到的女人vy:他们在微信里发这些东西，我都想投诉他们！！你发的官网通知他们还不信，还把他们微信封号的谣言写上重要通知！！还不让你发和疫情有关的通知。,0,2020-02-05 00:38
https://weibo.cn//u/5178734379,祖宗味儿的小仙女s,女,吉林,17,27,32,回复@Annnnamysteriousweety:对对对，我奶奶还特意打电话！！！说舅奶告诉她的！！！,0,2020-02-05 00:36
