评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1850899185,解惑大师阿,男,吉林,4,110,165,你好 我想问下 楼下有住户门上贴了落款为我们这派出所的通知 内容是返长人员居家隔离14天 截止到某某天为止 这样的是否只是这段时间离开了咱们长春 不是新冠状病毒的密切接触者吧？家里老人有些害怕……,3,2020-02-07 16:52
https://weibo.cn//u/2475683761,小宇联播,男,吉林,1443,663,363,自来水消毒步骤之一不是用氯气嘛,1,2020-02-07 17:37
https://weibo.cn//u/5171144689,长春老舅,男,海外,6,102,498,非常时期，不传谣，不信谣。 ,2,2020-02-07 16:49
https://weibo.cn//u/1774587662,榴莲_豆豆,女,吉林,10456,68,1450,人吓人吓死人,0,2020-02-07 21:48
https://weibo.cn//u/6218063981,存善良品,男,吉林,0,18,10,造谣人的目的就是为了制造混乱，这样邪恶的人就是被抓得太少了，抓到后的处罚太轻了。,1,2020-02-07 21:30
https://weibo.cn//u/6218063981,存善良品,男,吉林,0,18,10,回复@东北吴彦祖啊:政令，执行是为大家好。,0,2020-02-07 21:27
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126286,回复@小宇联播:重点在“加大”上,0,2020-02-07 18:20
https://weibo.cn//u/5064532471,机智的胡萝卜丝儿,男,吉林,46,159,108,回复@小宇联播:对啊，初中化学吧好像,0,2020-02-07 18:09
https://weibo.cn//u/1850899185,解惑大师阿,男,吉林,4,110,165,回复@长春老舅:谢谢🙏,0,2020-02-07 17:56
https://weibo.cn//u/1850899185,解惑大师阿,男,吉林,4,110,165,回复@长春发布:谢谢！,0,2020-02-07 17:56
https://weibo.cn//u/2475683761,小宇联播,男,吉林,1443,663,363,自来水消毒步骤之一不是用氯气嘛,1,2020-02-07 17:37
https://weibo.cn//u/5171144689,长春老舅,男,海外,6,102,498,回复@东北吴彦祖啊:这是针对外地返回长春的务工人员的。别担心。,0,2020-02-07 17:18
https://weibo.cn//enhehe,风火杉林,男,吉林,2172,757,265,挨个城市编啊 牛逼,0,2020-02-07 16:58
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126286,回复@东北吴彦祖啊:不是密切接触者,0,2020-02-07 16:56
https://weibo.cn//u/1850899185,解惑大师阿,男,吉林,4,110,165,你好 我想问下 楼下有住户门上贴了落款为我们这派出所的通知 内容是返长人员居家隔离14天 截止到某某天为止 这样的是否只是这段时间离开了咱们长春 不是新冠状病毒的密切接触者吧？家里老人有些害怕……,3,2020-02-07 16:52
https://weibo.cn//u/5171144689,长春老舅,男,海外,6,102,498,非常时期，不传谣，不信谣。 ,2,2020-02-07 16:49
https://weibo.cn//u/2614707267,大炮Paul,男,北京,6100,99,722, 抓起抓起,0,2020-02-07 16:47
