评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,长春公共交通老年卡暂停使用？假的！,0,2020-05-21 10:13
https://weibo.cn//mociya,mociya,男,吉林,1718,1090,412,刷老年卡的有几个岁数大的？,0,2020-05-21 09:04
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126286,回复@长春西门大官人:有一定这种可能性,0,2020-05-20 16:03
https://weibo.cn//578144119,长春西门大官人,男,吉林,31068,2626,1321567,是不是根据吉林市这个改编的？ ,1,2020-05-20 16:01
https://weibo.cn//ccweige,伟哥无敌,男,吉林,6851,2495,7287,希望是真的 希望取消老年卡,0,2020-05-20 14:54
https://weibo.cn//u/7239620981,哇哈哈哈来呀,男,吉林,86,271,69,经开臭味是不是谣言呢 麻烦证实一下,2,2020-05-20 14:40
https://weibo.cn//leleangelacheung,活著就是胜利ViVi,女,吉林,3743,199,520,建议规定老年卡9:00-15:00期间使用。现在早上坐车，80%是老年人，大包小包各种车买菜去早市。这期间多数学生还没上学，车上还谈不上拥挤。之前真的挺影响上班上学，老年人的包啊购物车啊，一个人就能占2-3个人的地方，上班上学的人上不来车，因为根本挤不上来。,4,2020-05-20 14:30
https://weibo.cn//u/3635918971,小姜小姜陆海潘江,男,其他,152,61,95,应该把老年卡取消，改成直接转账。这样就少了一部分老人一早上挤公交车了。,5,2020-05-20 14:27
https://weibo.cn//u/5565634488,辛迪克劳夫,女,吉林,1249,405,132,你也有老的一天，不想挤公交可以买车,0,2020-05-20 14:27
https://weibo.cn//lucky0313,lucky文小新,女,吉林,390,615,118,真希望是真的。这样每天上下班就不用跟他们挤了,4,2020-05-20 14:23
