评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1676871907,A你的小鑫鑫,男,吉林,11333,372,954,造谣的人都是什么心理呢，搞不懂,28,2020-11-19 21:43
https://weibo.cn//u/1796564895,神奇德利赫特,男,吉林,145,76,20,强行供水啥意思,9,2020-11-19 21:36
https://weibo.cn//u/5044141139,大佬JIN,男,吉林,209,289,69,网传石头口门无法供水，今晚水管存水会抽空，是不是谣言啊，微信群都传疯了,5,2020-11-19 22:37
https://weibo.cn//taianpiyao,泰安辟谣,女,其他,160,72,337,谣传千里，止于真相[加油]     举报             赞[0]         回复             2020-11-24 11:41:11 来自网页,0,2020-11-24 11:41
https://weibo.cn//doudouayu,罗兜兜,男,广东,64881,1401,273,抓到造谣的人吱一声//,0,2020-11-23 11:57
https://weibo.cn//szbmzx,深圳网警,男,广东,36010,1573,1187239, ,0,2020-11-23 11:52
https://weibo.cn//u/2327537472,梦想有阳光,男,四川,17,23,168,他到这里来辟谣了,1,2020-11-21 11:11
https://weibo.cn//u/2559225531,诶__我说,男,吉林,933,183,164,我家为啥还没水,0,2020-11-21 02:52
https://weibo.cn//u/6086487371,也行也不行啊,男,山东,30,264,315,评论里人均市长，应急管理专家,0,2020-11-20 19:18
https://weibo.cn//u/6086487371,也行也不行啊,男,山东,30,264,315,回复@潇洒袖袖:你为啥不去修呢？在家里喷很厉害？,1,2020-11-20 19:18
https://weibo.cn//u/3463545824,_Mr差不多,男,吉林,446,91,338,回复@潇洒袖袖:你是参与管理了？还是处理了什么问题了？08年冻雨的时候，有的城市一个月断水断电，通讯交通全断，大家也都挺过来了，知道为什么么？因为都忙着想办法自救和帮助他人，而不是拿着键盘在网上杠,1,2020-11-20 18:57
https://weibo.cn//520mojianhan,34T5-,女,海外,26,75,19,回复@老纪闲扯谈:好的，明白啦,0,2020-11-20 13:18
https://weibo.cn//u/2411582505,小米_Panda,女,山西,852,204,184,回复@我是一只刺猬:我厨房还有个前天晚上削了一半的土豆🥔,0,2020-11-20 13:16
https://weibo.cn//u/2328634637,老纪闲扯谈,男,吉林,723,301,528,回复@蛋挞甜仔:覆冰舞动再过20年也没啥好办法。天上下雨，落到电线上就冻冰，啥招没有。毕竟小概率事件，长春供电有史以来第一次。,0,2020-11-20 13:12
https://weibo.cn//520mojianhan,34T5-,女,海外,26,75,19,回复@老纪闲扯谈:可这都过去12年了啊…,0,2020-11-20 10:59
https://weibo.cn//u/1720651833,马艺宁_mayining,女,吉林,2221,140,15684,回复@长春发布:还在传还嘴硬,0,2020-11-20 09:58
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,辟谣｜“吉林省新闻发布刚刚结束，预计10点钟左右进行一次强行供水。希望大家准备好储水器具，之后还要进行维修”假的！,0,2020-11-20 09:46
https://weibo.cn//u/2328634637,老纪闲扯谈,男,吉林,723,301,528,回复@潇洒袖袖:你的质疑是有道理的。关于用电保障方面，分一级负荷和二级负荷。一级负荷必须配双电源，比如医院，大型体育场，接待外宾的宾馆等，都属于一级负荷。二级负荷不是必须要准备两套供电系统，水厂，汽车站都属于二级负荷。,0,2020-11-20 09:11
https://weibo.cn//vivi28005,射手座灬笑笑,女,吉林,2585,506,222,害的我大桶小盆的接了一地,0,2020-11-20 09:08
https://weibo.cn//u/1786282203,不伦不类9527,男,山东,706,124,207,长春垃圾,0,2020-11-20 08:58
https://weibo.cn//u/3270346463,长春发布,男,吉林,35739,858,1126286,回复@马艺宁_mayining:这个都前天的谣言了,0,2020-11-20 08:49
https://weibo.cn//u/1720651833,马艺宁_mayining,女,吉林,2221,140,15684,图片评论 ,0,2020-11-20 08:46
https://weibo.cn//u/2498655023,潇洒袖袖,女,吉林,70,137,94,回复@老纪闲扯谈:我认为是这样的 下冻雨 电力需要抢修 这是天灾 是不可避免的 而停水 是因为水源地没电 没电就干挺着电力修 是人祸 没有备用电 是不应该的 商场都有发电机能应个急 而水源地没有 不是笑话嘛,0,2020-11-20 08:07
https://weibo.cn//u/2498655023,潇洒袖袖,女,吉林,70,137,94,回复@_Mr差不多:我没有质疑维修工人修的不好 是管理不到位 是管理能力差 处理问题的能力差 我写的很清楚  不要为了杠而杠,0,2020-11-20 08:00
https://weibo.cn//u/5171013949,愛神啞劇,女,上海,1944,97,10,回复@长春发布:下面骂你菜民生差的咋又不回复了,1,2020-11-20 07:42
https://weibo.cn//u/5171013949,愛神啞劇,女,上海,1944,97,10,回复@长春发布:原来您看评论啊,1,2020-11-20 07:42
https://weibo.cn//u/3463545824,_Mr差不多,男,吉林,446,91,338,回复@潇洒袖袖:那你为什么不带上你的键盘帮着一起修？,2,2020-11-20 07:38
https://weibo.cn//u/1424634381,howardjohn,男,广东,18430,742,705,首次造谣者应该受到应有的惩罚，并告知市民,0,2020-11-20 07:25
https://weibo.cn//u/2049798980,长春这噶儿,男,吉林,17583,1944,1091469,辟谣！,0,2020-11-20 06:58
https://weibo.cn//ccwsd100,长春微视点,男,吉林,86279,907,1349001,辟谣｜“吉林省新闻发布刚刚结束，预计10点钟左右进行一次强行供水。希望大家准备好储水器具，之后还要进行维修”假的！,0,2020-11-20 06:54
https://weibo.cn//u/5880541690,慧眼识珠会幸福20609,女,吉林,1415,154,65,造谣可耻,0,2020-11-20 06:35
https://weibo.cn//u/5055321011,孤独的提莫酱,女,吉林,1273,282,1867,回复@慧慧不菲:不出门咋整 得上班啊 我们整个写字楼莲藕都弥漫着一股💩味儿,0,2020-11-20 00:33
https://weibo.cn//u/5055321011,孤独的提莫酱,女,吉林,1273,282,1867,回复@这只大白羊:这确实 我在广东好几年 台风经历太多回了 确实没有停水停电的 但咱们这城市 也没啥大风大浪的 领导可能想不到那么多 挺挺吧 存的雪化的差不多了 能上厕所了 正好都存雪 还给环卫减轻点压力了,1,2020-11-20 00:31
https://weibo.cn//u/1456639884,Sun-胡子,男,海外,1066,581,284,回复@潇洒袖袖:请问你知道什么叫冻雨吗？,1,2020-11-20 00:13
https://weibo.cn//lgh0547,聆风阁主人,男,海外,2278,495,537,此时此刻我家还是没有暖气…,0,2020-11-20 00:11
https://weibo.cn//u/3205758970,5266小菜菜01,女,吉林,65,306,66,回复@大佬JIN:让造谣的把我弄那一澡盆雪给我吃了他,3,2020-11-20 00:06
https://weibo.cn//u/2328634637,老纪闲扯谈,男,吉林,723,301,528,回复@潇洒袖袖:不，综合全国来看，相对来说已经不错了。百度一下“2008中国雪灾”，原因也是冻雨。看看那次的损失。遇到冻雨，长春停两天水相对来说就是轻的了,3,2020-11-20 00:03
https://weibo.cn//u/1561753232,一定能暴富的颜控,女,其他,27936,2191,887,所以什么时候来水？有信吗？,1,2020-11-20 00:03
https://weibo.cn//u/1561753232,一定能暴富的颜控,女,其他,27936,2191,887,回复@潇洒袖袖:确实，太次了,2,2020-11-20 00:02
https://weibo.cn//yzw80526,长春门咖,男,吉林,6214,6006,1303277,造谣者一张嘴，辟谣者跑断腿！👄//,0,2020-11-19 23:58
https://weibo.cn//xiuchengcai,修成才,男,吉林,14167,457,6053,政府管理太操蛋，才让谣言满天窜,1,2020-11-19 23:55
