评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//ccwsd100,长春微视点,男,吉林,86279,907,1349001,沃尔玛查出冷冻食品新冠病毒阳性？谣言！,2,2020-11-27 19:05
https://weibo.cn//u/6347335120,柘字玉爱国,男,吉林,78,806,3477,应该追查到底是谁造的谣！,5,2020-11-28 09:15
https://weibo.cn//u/5143941198,耿熙汶,女,吉林,1003,288,438,快一年啦 咋还有这些吃饱撑的呐,3,2020-11-27 19:42
https://weibo.cn//u/5474469632,最最最最最最最喜欢小浣熊了,男,湖南,54,292,218,回复@念兹在兹ZYY:传谣造谣就是这类人没跑了，唯恐天下不乱,0,2020-12-10 11:59
https://weibo.cn//u/3464580702,念兹在兹ZYY,男,江苏,7,382,338,回复@苏瓜伊必然是小兽医:,1,2020-12-05 21:43
https://weibo.cn//u/5023266201,juelideyitian,女,北京,35496,685,530,//,0,2020-11-30 09:54
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,沃尔玛查出冷冻食品新冠病毒阳性？谣言！,0,2020-11-30 09:13
https://weibo.cn//u/3206654473,苏瓜伊必然是小兽医,女,吉林,120,126,64,有时候官方发布的还没有小道消息来的快，为什么很多人会相信谣言，还不是官方怕出事，或者怕引起恐慌，不及时发布消息,0,2020-11-29 10:52
https://weibo.cn//u/6183096108,喜欢港剧的小盆友,女,海外,2637,1565,41,回复@月亮熬夜了没:其他超市？,0,2020-11-28 14:14
https://weibo.cn//526857678,天使之家天使嘉年华,男,吉林,48329,1361,567,回复@耿熙汶:,0,2020-11-28 10:20
https://weibo.cn//u/5550334848,琴弦月色m,女,其他,75,14,29,无风不起浪，是有谣言，但是也有辟谣后真的发生的，为了安全，不会选择去沃尔玛买冷冻食品,1,2020-11-28 09:38
https://weibo.cn//u/6347335120,柘字玉爱国,男,吉林,78,806,3477,应该追查到底是谁造的谣！,5,2020-11-28 09:15
https://weibo.cn//u/5143941198,耿熙汶,女,吉林,1003,288,438,回复@天使之家天使嘉年华:哈哈哈哈哈,1,2020-11-28 07:12
https://weibo.cn//526857678,天使之家天使嘉年华,男,吉林,48329,1361,567,回复@耿熙汶:这不算啥，前段时间我家邻居还告诉我说吃香蕉可以患新冠呢，结果，没几天就被人民日报辟谣了，他和我说的时候我就告诉他，千万不要相信，一定是谣言，结果，事实证明，我对了,0,2020-11-28 07:09
https://weibo.cn//526857678,天使之家天使嘉年华,男,吉林,48329,1361,567,造谣者该杀,1,2020-11-28 07:06
https://weibo.cn//u/5415685562,月亮熬夜了没,女,其他,15816,462,20945,？？谁造谣 什么心,1,2020-11-27 23:15
https://weibo.cn//u/7491197657,关门时轻一点,男,澳门,78,149,10,拘留,0,2020-11-27 20:01
https://weibo.cn//u/1825166287,知与谁同001,男,吉林,480,331,347,不信谣，不传谣，不去就不去。,0,2020-11-27 19:45
https://weibo.cn//u/5143941198,耿熙汶,女,吉林,1003,288,438,快一年啦 咋还有这些吃饱撑的呐,3,2020-11-27 19:42
https://weibo.cn//u/6064556539,精彩长春,男,吉林,11042,1020,1224958,沃尔玛查出冷冻食品新冠病毒阳性？谣言！,1,2020-11-27 19:37
https://weibo.cn//u/7526995657,偷喝一口奶茶的小阿闫,女,海外,143,192,170,嗯,1,2020-11-27 19:28
https://weibo.cn//ccwsd100,长春微视点,男,吉林,86279,907,1349001,沃尔玛查出冷冻食品新冠病毒阳性？谣言！,2,2020-11-27 19:05
