评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5998754040,是阿卿卿卿卿呀,女,山东,58,60,62,球球您了快开学吧我真的管不住我自己的效率了,5,2020-03-26 01:16
https://weibo.cn//u/6387819662,兔芒芒果,女,湖南,50,73,29,求提高开学工作效率,0,2020-03-25 17:47
https://weibo.cn//u/6364889090,RR-mich,女,贵州,865,343,2652,等待,0,2020-03-25 16:37
https://weibo.cn//u/5307060454,流木moumou,女,江西,436,84,72,坐等打脸,0,2020-03-30 10:04
https://weibo.cn//u/1067592152,战士马修,男,上海,4030,314,593,已经证实是真的,0,2020-03-29 11:46
https://weibo.cn//u/1067592152,战士马修,男,上海,4030,314,593,回复@福建辟谣:已经证实是真的！,0,2020-03-29 11:46
https://weibo.cn//u/7078409818,小彦组哥哥,男,其他,0,44,8,到底湖南这边开不开学？,0,2020-03-28 21:19
https://weibo.cn//u/1758282355,难绘人心画皮君,女,广西,78356,1763,382,这是抄其他省份的吧,1,2020-03-28 18:58
https://weibo.cn//u/6585109631,清蒸肉肉吖,女,湖南,534,72,12827,回复@月亮装心里:,0,2020-03-28 17:20
https://weibo.cn//u/3192770445,月亮装心里,男,甘肃,94,27,390,@清蒸肉肉吖,0,2020-03-28 17:19
https://weibo.cn//u/5243163636,cs_brian,男,其他,128,50,82,教育厅没担当！风险在全球没有清零之前一直存在。重要的是将这些风险管控起来，有相应的措施应对；比如教学环节；就餐环节是不是批量打包送到指定区域就餐；就寝环节不允许临近床位头在一起就寝，开窗透气，增加抽风设备排风等；回家返校等环节。哪些环节风险大就重点防控。,0,2020-03-26 16:39
https://weibo.cn//fjwlpy,福建辟谣,男,福建,3607,265,1404,网传长沙市教育局的开学安排？假的！,0,2020-03-26 09:45
https://weibo.cn//u/7386197552,·雾眠桃酥·,女,其他,24,268,12,全世界就只有广东一直延迟开学,1,2020-03-26 08:13
https://weibo.cn//u/5998754040,是阿卿卿卿卿呀,女,山东,58,60,62,球球您了快开学吧我真的管不住我自己的效率了,5,2020-03-26 01:16
https://weibo.cn//u/2977180977,承蒙记忆,男,广东,7235,467,136,难产,0,2020-03-26 00:45
https://weibo.cn//u/1010221814,画眉1010221814,女,其他,246,112,59,刚看到四川开学,0,2020-03-25 23:46
https://weibo.cn//u/6387819662,兔芒芒果,女,湖南,50,73,29,求提高开学工作效率,0,2020-03-25 17:47
https://weibo.cn//u/6364889090,RR-mich,女,贵州,865,343,2652,等待,0,2020-03-25 16:37
