评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3496648382,肖有财呀,女,湖南,1183,1003,426,我也想不通，长沙这么严重为什么不延期！大面积感染了怎么办,7,2020-01-31 12:51
https://weibo.cn//tongchenghui,微博同城,女,北京,38961,2388,1829815,Hi，我已将你的微博收录到新鲜事 ,1,2020-01-31 13:18
https://weibo.cn//206064077,cBinnnn,男,海外,8819,879,5216,：如何应对大面积开工啊？现在还是爆发期，交通不便，到时候地铁公交肯定人挤人，别的省份都延期了！！！长沙还这么严重,2,2020-01-31 12:28
https://weibo.cn//u/3841924986,有眼线的布丁,女,北京,88,521,56,宠物狗可以携带吗,0,2020-02-11 22:37
https://weibo.cn//u/7261098474,洋芋蛋胖,女,其他,18,77,13,回复@不能卡在昵称:我也想问宠物可以带吗,0,2020-02-07 21:54
https://weibo.cn//Lasia50,怪可爱的Miko,女,四川,569,177,126,@起风了jh37,0,2020-02-02 18:41
https://weibo.cn//u/6384976317,兔小仙J,女,湖南,132,204,579,回复@不能卡在昵称:宠物可不可以带,0,2020-02-02 00:00
https://weibo.cn//u/6384976317,兔小仙J,女,湖南,132,204,579,回复@不能卡在昵称:我也想问,0,2020-02-02 00:00
https://weibo.cn//u/1640779067,不能卡在昵称,女,湖南,235,460,104,官方说非长沙市户口不能进入长沙是谣言，身边还是有无数的声音在说外地车牌不能进，甚至株洲车牌都不能进长沙，还不能携带宠物猫狗，不然会在下高速设卡点被没收被处死。到底什么是真的？哪句话能信？各位有没有今天携宠物回长沙的出来现身说法一下啊？,0,2020-02-01 20:45
https://weibo.cn//shenkezhi,右上角,男,湖南,1354,703,1042,回复@长沙发布:长沙已经蛮严峻啦，公司都已安排2月3日上班啦，几十号人挤在一间不透风的办公室，唉…想想都可怕。,0,2020-01-31 21:58
https://weibo.cn//u/3477321060,我无法同框的男朋友,女,湖南,7209,1289,765,为什么望城区还没有延迟复工？？？其他区都已经延迟了，望城区还要我们外地员工冒险3号去长沙上班？？？本来分区发文件就很迷惑了,1,2020-01-31 18:15
https://weibo.cn//lilisi004,李想想is,女,其他,2306,89,947,回复@长沙发布:明天都初八了，企业都开工了，,0,2020-01-31 16:49
https://weibo.cn//u/3496648382,肖有财呀,女,湖南,1183,1003,426,回复@长沙发布:好的好的…感谢政府，期待政府的好消息。,0,2020-01-31 14:30
https://weibo.cn//u/6525943125,中国互联网联合辟谣平台,女,其他,3303,91,129868, ,0,2020-01-31 14:25
https://weibo.cn//tongchenghui,微博同城,女,北京,38961,2388,1829815,Hi，我已将你的微博收录到新鲜事 ,1,2020-01-31 13:18
https://weibo.cn//changshafabu,长沙发布,男,湖南,19439,491,716213,回复@肖有财呀:关于长沙各区县和园区复工的消息，近期会公布。请关注长沙发布微信公众号。,1,2020-01-31 13:05
https://weibo.cn//u/3496648382,肖有财呀,女,湖南,1183,1003,426,我也想不通，长沙这么严重为什么不延期！大面积感染了怎么办,7,2020-01-31 12:51
https://weibo.cn//u/6453266362,大趋势6582,男,其他,208,24,6,非常时期，这也没错啊！,0,2020-01-31 12:29
https://weibo.cn//206064077,cBinnnn,男,海外,8819,879,5216,：如何应对大面积开工啊？现在还是爆发期，交通不便，到时候地铁公交肯定人挤人，别的省份都延期了！！！长沙还这么严重,2,2020-01-31 12:28
