评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1302170211,苏蒜,女,湖南,1500,378,265,能去岳阳 郴州 石家庄抄作业就不会有这么多谣言了,2,2020-02-03 21:21
https://weibo.cn//u/6529228740,JOJO-HEALTH,女,湖南,5847,294,134,你们公布得详细一点，市民也不会天天惶恐不安的猜来猜去了。,2,2020-02-03 18:39
https://weibo.cn//yeyufeimeng,夜語菲,男,湖南,92551,4904,10690,能封住文庙坪社区的。。。只有98年的湘江水。。。,1,2020-02-03 18:09
https://weibo.cn//u/2443725774,雨子w-,女,广东,53,109,264,回复@博博博博博别:那还好,0,2020-02-03 17:55
https://weibo.cn//u/1782792123,_倔强的头发_,男,其他,2999,109,53,还有说二号线有工作人员感染了  是不是真的啊？,0,2020-02-03 17:25
https://weibo.cn//u/5199967237,xx博儿xx,男,其他,146,66,120, 他妈的 我真的的服了,0,2020-02-03 15:59
https://weibo.cn//windyhu93,多啦小梦aa,女,山东,797,272,95,把发布的确诊和新增病例所在区域说明清楚，会减少大量不必要的猜测和恐慌。,6,2020-02-03 13:36
https://weibo.cn//datouwawa920,大头娃娃920,女,河南,1847,551,227,回复@不_惑_:同求发布确诊信息，天天播辟谣，有什么意思。,1,2020-02-03 11:30
https://weibo.cn//u/1851479723,不_惑_,女,湖南,340,496,88,把发布的确诊和新增病例所在区域说明清楚，会减少大量不必要的猜测和恐慌。,10,2020-02-03 00:32
https://weibo.cn//u/5709932769,圣是个瘦子,男,湖南,29,734,511,晕，怎么尽是些沙雕传播些假新闻！,0,2020-02-03 00:26
