评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//renlixin1995,一支新的丙泊酚-,男,海外,11,120,49,这么扯得也有人信,0,2020-01-26 23:39
https://weibo.cn//u/6335438040,东方凯封,女,其他,221,64,53,咸阳市武功县农村已经封路，乾县今天还走亲戚的，村镇领导没有任何措施,0,2020-01-26 22:46
https://weibo.cn//u/5687081653,嘿嘿嘿客,男,陕西,671,187,40,有点脑子的都能想到是谣言,1,2020-01-26 22:13
https://weibo.cn//renlixin1995,一支新的丙泊酚-,男,海外,11,120,49,这么扯得也有人信,0,2020-01-26 23:39
https://weibo.cn//u/5635224400,一梦一墙,女,其他,22,383,116,回复@东方凯封:唉 ... 有的人意识不到 彬县也是 有人走亲戚 但是街上人很少了,0,2020-01-26 23:30
https://weibo.cn//u/5953195296,一斤砂糖橘,女,陕西,40,74,62,回复@点球君:出文了，不过是取消休假的通知,1,2020-01-26 22:59
https://weibo.cn//u/6335438040,东方凯封,女,其他,221,64,53,咸阳市武功县农村已经封路，乾县今天还走亲戚的，村镇领导没有任何措施,0,2020-01-26 22:46
https://weibo.cn//u/1841081064,宝贝微笑童鞋,女,云南,118,279,51,回复@点球君:不期望延后，韩城市已经通知单位明天统一上班了。跟防疫无关的单位,0,2020-01-26 22:15
https://weibo.cn//u/5687081653,嘿嘿嘿客,男,陕西,671,187,40,有点脑子的都能想到是谣言,1,2020-01-26 22:13
https://weibo.cn//u/6074046414,声声醒醒淘淘,女,浙江,8388,211,107,回复@揪一下兔耳朵_bx:昨天中午就有这个,1,2020-01-26 22:11
https://weibo.cn//u/5393319721,陌陌瘦十斤,女,陕西,83,74,43,陕西上班族能不能时间推迟下，有的初五初六就得上班，慌的一匹！！！,4,2020-01-26 22:02
https://weibo.cn//u/5885544842,delicattte,女,北京,85,101,97,谁造谣这，这么无聊,0,2020-01-26 21:55
https://weibo.cn//u/2321793053,旭谋艺久,女,陕西,355,67,80,真不知道这些造谣的人脑子咋想的！嫌民众不够恐慌吗？嫌不够乱吗？,1,2020-01-26 21:41
https://weibo.cn//u/3655173154,小熊可可奈·,女,陕西,76,74,850,回复@揪一下兔耳朵_bx:,0,2020-01-26 21:39
https://weibo.cn//u/5270440093,瓶纸瓶,女,北京,388,188,199,我本来说下午去趟附近超市采购点，我妈说飞机4点要撒药水，你别出去了？我还想着，我一直在关注呀！怎么没看到官方通知,1,2020-01-26 21:39
https://weibo.cn//u/5478853648,Ariexol_9,女,其他,3276,130,183,回复@一起吃自助吗:嗯嗯呐,0,2020-01-26 21:35
https://weibo.cn//u/2199032321,蒙面大侠我是谁,女,陕西,1458,408,661,回复@不要慌一件一件来:兄弟，假的，好好呆在家里,0,2020-01-26 21:34
https://weibo.cn//u/5661830704,一碗菠菜面思密达,男,其他,108,201,66,强烈建议停止陕西省内人员密集场所的营业，目前已经有80%的商业综合体停止营业，但万达广场依旧在营业，顾客不戴口罩进入也没人管！非常容易造成疫情扩散！请领导重视！,3,2020-01-26 21:29
https://weibo.cn//u/3882766914,超恰瑞的七酱,男,陕西,56,312,160,回复@奶罐可可兴丶:高三真的害怕,0,2020-01-26 21:28
https://weibo.cn//208317174,如你看着我,男,陕西,231,175,3744,把造谣的喷洒了,8,2020-01-26 21:24
https://weibo.cn//u/6591880106,辰光rfg,男,陕西,306,58,31,延假期，晚开学，少开会吧。陕西省教育局等讨论讨论，人民日报等都开始说了,1,2020-01-26 21:23
https://weibo.cn//u/7284675621,江东小小霸王在此,男,其他,419,221,6,回复@揪一下兔耳朵_bx:对对对，就这个文案，表情都一模一样,0,2020-01-26 21:19
https://weibo.cn//u/6047188059,奶兮可可兴丶,女,陕西,5439,815,343,陕西的学校延迟开学啥时候发布？？？,3,2020-01-26 21:18
https://weibo.cn//u/5692502182,花家舍DQ,男,海外,1093,98,2,回复@小羊住在月牙上:不知道，总之一定要注意分辨，不要相信小道消息呀，尤其各种微信群里的,0,2020-01-26 21:18
https://weibo.cn//u/6142864824,想换昵称改不了,女,甘肃,255,60,5,转发微博,0,2020-01-26 21:17
https://weibo.cn//u/5478853648,Ariexol_9,女,其他,3276,130,183,回复@四枫院栞:我亲戚说来着  然后我还有点迷惑,0,2020-01-26 21:16
https://weibo.cn//u/5478853648,Ariexol_9,女,其他,3276,130,183,回复@一起吃自助吗:怎么做到全国统一的,0,2020-01-26 21:15
https://weibo.cn//u/5687267307,yiluojiuwu,男,其他,108,119,171,收到了，已经过了，说是今天早上,0,2020-01-26 21:15
https://weibo.cn//shiteng19930829,S_teng,男,陕西,2528,157,120,杀敌八百，自损一万，你说有用没,0,2020-01-26 21:13
https://weibo.cn//u/6070055826,挺进理想,男,陕西,14,101,61,都啥时候了还谣言四起。真是服了，这存心不良的人。,2,2020-01-26 21:12
https://weibo.cn//u/7314693651,生气了小点声,女,陕西,3531,443,138,这个吗,13,2020-01-26 21:12
https://weibo.cn//u/3318119190,茶瀬哀,女,海外,2,52,46,回复@小羊住在月牙上:就是这个 看到好几次了,0,2020-01-26 21:11
https://weibo.cn//u/2928299473,Royal花花,女,陕西,25,35,373,老爸今天下午说的时候我就想着这么一本正经的新闻我怎么没看到,1,2020-01-26 21:10
https://weibo.cn//u/6475818245,ALICE梦游宇宙,女,陕西,148,72,5,好吧,0,2020-01-26 21:09
https://weibo.cn//u/5692502182,花家舍DQ,男,海外,1093,98,2,回复@小羊住在月牙上:谣言谣言！！！,0,2020-01-26 21:08
