评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/6294038853,要不一起吃个饭,男,陕西,134,170,653,辟谣了！！！ 好！,2,2020-12-24 16:27
https://weibo.cn//u/3115926377,走夜路_请放声歌唱,男,陕西,15,67,105,为啥这个店关门好几天了,3,2020-12-24 19:20
https://weibo.cn//u/2945604611,冰酱喵-冰块子,女,香港,6065,50,65,太好了 终于辟谣了,1,2020-12-24 13:23
https://weibo.cn//u/3115926377,走夜路_请放声歌唱,男,陕西,15,67,105,为啥这个店关门好几天了,3,2020-12-24 19:20
https://weibo.cn//u/6294038853,要不一起吃个饭,男,陕西,134,170,653,辟谣了！！！ 好！,2,2020-12-24 16:27
https://weibo.cn//u/3142304257,咸阳聚焦,女,其他,13760,542,214738,转发微博,0,2020-12-24 16:20
https://weibo.cn//u/2294083284,跟你一样的27岁,女,福建,5829,270,235,@小唐小唐要加油,0,2020-12-24 15:36
https://weibo.cn//u/7387460974,陕西省网络举报中心,男,陕西,1605,126,1981, 【 西安,0,2020-12-24 14:21
https://weibo.cn//u/3227251731,miracle1948,男,陕西,232,63,72,不信谣不传谣，做好防护。海外疫情仍然严峻，防止外部输入，不给大家添乱。,0,2020-12-24 14:07
https://weibo.cn//u/2945604611,冰酱喵-冰块子,女,香港,6065,50,65,太好了 终于辟谣了,1,2020-12-24 13:23
https://weibo.cn//512351997,我就不信这名字还改不了,女,陕西,105,287,1246,回复@疯子好好活:,0,2020-12-24 13:23
https://weibo.cn//u/1798239481,阿古茹之光,男,陕西,1624,975,938,我为啥就相信了？一般情况下这种文件都得盖章子的，我居然没发现他连章子都没,0,2020-12-24 13:22
https://weibo.cn//111369000,疯子好好活,男,陕西,14464,903,2691,回复@我就不信这名字还改不了:我这个朋友是西安本地的，一直在西安,0,2020-12-24 13:20
https://weibo.cn//111369000,疯子好好活,男,陕西,14464,903,2691,回复@古德morning007:图片评论 评论配图,0,2020-12-24 13:20
https://weibo.cn//512351997,我就不信这名字还改不了,女,陕西,105,287,1246,回复@疯子好好活:金莎国际不是一直都有境外回来隔离的吗,2,2020-12-24 13:20
https://weibo.cn//u/5873204926,古德morning007,男,浙江,161,54,40,回复@疯子好好活:谁被隔离了？,0,2020-12-24 13:14
https://weibo.cn//111369000,疯子好好活,男,陕西,14464,903,2691,那为什么有人被隔离在金莎国际了。,0,2020-12-24 13:02
https://weibo.cn//u/2895068282,胖胖金是南瓜呀,女,陕西,2114,225,104,所以真的是谣言嘛,0,2020-12-24 12:56
https://weibo.cn//u/5827717755,嗯我听见了,女,北京,1564,225,234,@早早田十心,0,2020-12-24 12:56
https://weibo.cn//u/2778898597,我永远是一直单身狗,男,海外,21,48,37,安心了,0,2020-12-24 12:54
