评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/5525130986,不玩微博了jpg,男,山东,13,116,56,能不能严惩造谣者，这种人也不怕遭天谴！,0,2020-12-27 12:00
https://weibo.cn//u/1399072124,富贵鼠-专利,男,北京,3160,310,3413,北京要求各区各部门各单位进入应急状态,0,2020-12-27 09:59
https://weibo.cn//u/5318891836,琉璃驢,男,贵州,65,46,5,谣辟的，早了一点吧？,0,2020-12-27 07:09
https://weibo.cn//u/5525130986,不玩微博了jpg,男,山东,13,116,56,能不能严惩造谣者，这种人也不怕遭天谴！,0,2020-12-27 12:00
https://weibo.cn//u/1399072124,富贵鼠-专利,男,北京,3160,310,3413,北京要求各区各部门各单位进入应急状态,0,2020-12-27 09:59
https://weibo.cn//u/5318891836,琉璃驢,男,贵州,65,46,5,谣辟的，早了一点吧？,0,2020-12-27 07:09
https://weibo.cn//u/5151339249,努力减肥的胖忍者,男,其他,1,23,1,回复@YeeZy丁丁丁:今天已经说顺义进入战时状态了,0,2020-12-26 21:14
https://weibo.cn//u/6073253549,不及岛_先生,女,江苏,630,125,81,请问，酒仙桥那一轮已经做过一次核酸了，但是离望京很近、基本上经常路过，这一轮需要预约做核酸吗？愿检能预约吗？,1,2020-12-26 20:49
https://weibo.cn//u/3122966571,zzz77ha,女,北京,1594,233,124,你还是转吧,0,2020-12-26 19:01
https://weibo.cn//524056753,诗中人生,男,北京,4252,1245,3570,顺义区战时状态,0,2020-12-26 17:26
https://weibo.cn//u/5318891836,琉璃驢,男,贵州,65,46,5,中小学幼儿园，立即放假吧,4,2020-12-26 15:12
https://weibo.cn//u/6004186365,萌鸮,男,其他,2205,295,118,亲亲，麻烦更新的快一点，没有确定途径发布很容易失去信息,0,2020-12-26 15:11
https://weibo.cn//u/6404009479,随风飘扬的兵歌,男,其他,108,69,54,这是谣言，明明是顺义战时,5,2020-12-26 14:42
https://weibo.cn//u/3978214904,乡村二大爷,男,北京,0,15,2,顺义加油，今天我们都是顺义人,0,2020-12-26 14:11
https://weibo.cn//u/5426606545,今天也要happy哈,男,其他,163,60,13,回复@米晨不是米:今天确诊了5个，遥遥领先的预言,2,2020-12-26 13:33
https://weibo.cn//u/6553731095,YeeZy丁丁丁,男,其他,36,8,6,回复@努力减肥的胖忍者:为什么呢？,0,2020-12-26 12:47
https://weibo.cn//u/5760967514,润子小帅哥,女,北京,0,159,29,停课？,3,2020-12-26 12:25
https://weibo.cn//u/5151339249,努力减肥的胖忍者,男,其他,1,23,1,既然这样说，那就证明已经到了非常严重的阶段了，找不到感染就可以断定有社区感染。,2,2020-12-26 10:54
https://weibo.cn//u/1076037682,米晨不是米,男,北京,370,159,1382,那就是快了？,14,2020-12-26 10:51
