微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,辟谣方式
JAdA5BEH2,#网传北京宣布进入战时状态系谣言#【辟谣！#网传北京市委市政府紧急通知不实# 】12月25日，网上有传言称，转发北京市委市政府紧急通知，北京宣布进入“战时”状态。外地进京包括外出返京人员需隔离21天。返京人员除要求21天医学观察期满之外，还需持7日内核酸检测阴性证明。经向北京防控办核实，此为谣言。提醒广大市民朋友，从权威渠道获取信息，不信谣、不传谣。#微博辟谣# @北京日报 原图 ,,http://wx4.sinaimg.cn/large/002BFOlFly1gm10dwwquhj60ad07swek02.jpg,无,TRUE,无,无,2020/12/26 9:50,微博 weibo.com,2,2,1,1
JxWFTCATI,#微博辟谣# 【这些新发涉新冠疫情谣言，别信！】①社区排查异地到四川绵阳人员行踪？假的！②西藏拉萨12日封城？假的！③近期不要去外资超市，冷冻柜不能接触？假的！......详戳↓↓↓ #疫起捉谣# @中国互联网联合辟谣平台  [组图共4张] 原图 ,,"http://ww4.sinaimg.cn/large/002BFOlFgy1gljqh5sf6nj60hf0s577d02.jpg,http://ww1.sinaimg.cn/large/002BFOlFgy1gljqh7dzfoj60fd0lrjti02.jpg,http://ww1.sinaimg.cn/large/002BFOlFgy1gljqh8vj64j60gq0hh40102.jpg,http://ww1.sinaimg.cn/large/002BFOlFgy1gljqhaemz5j60eo0e8dgh02.jpg",无,TRUE,无,无,2020/12/11 11:07,微博 weibo.com,27,8,3,1
JsmiK0blg,"#情况通报# #微博辟谣# 目前，胡某因虚构事实扰乱公共秩序，已被朝阳公安分局依法行政拘留。网警提示：面对谣言，勿传勿信！ #净网护网,有你有我#  [组图共2张] 原图 ",,"http://ww4.sinaimg.cn/large/002BFOlFly1gkd9tthvd5j60iv09l0tv02.jpg,http://ww4.sinaimg.cn/large/002BFOlFly1gkd9ttm12lj608l0h675e02.jpg",无,TRUE,无,无,2020/11/4 17:19,360安全浏览器,16,7,9,1
Jp7Gw5yFD,【不信谣不传谣！#网传威海检测出一例青岛入威阳性病例系谣言#】#微博辟谣# 13日，微信群内传播一张山东某实验室出具的核酸检测报告，显示青岛入威人员安某某（身份证号码：3710831995xxxxxx15）核酸检测呈阳性。经查证，安某某核酸检测为阴性，该图片系付某某修改阴性为阳性后的伪造图片，案件正在进一步侦办中。提醒市民和广大网友及时关注权威部门发布的消息，不造谣、不信谣、不传谣。众志成城，共同阻击疫情。@威海网警巡查执法 原图 ,,http://wx3.sinaimg.cn/large/002BFOlFly1gjomiklie3j60j615l0uu02.jpg,无,TRUE,无,无,2020/10/14 10:36,微博 weibo.com,7,10,3,2
JnB8iwogq,#情况通报# 针对近日网传“北京已发现确诊4例，活动轨迹主要在西单大悦城、京深、新发地”的涉疫情虚假信息，引发网民关注的情况，北京警方迅速开展调查工作。       经查，该虚假信息系由王某（女，66岁）于10月1日首发至5个微信群内，后被转发8000余次，造成了不良社会影响，严重扰乱了公共秩序。10月3日，该人被房山警方根据《中华人民共和国治安管理处罚法》第25条之规定，依法裁决行政拘留7日的处罚。#微博辟谣# ,,无,无,TRUE,无,无,2020/10/4 9:53,微博 weibo.com,14,3,4,2
JlMCid4AC,2019-2020年最受青少年关注的网络十大辟谣案例发布，戳↓↓一起了解真相！#明是非辨曲直# #净网护网，有你有我# （via@共青团中央 ）共青团中央的秒拍视频  ,,无,无,TRUE,无,无,2020/9/22 11:27,微博 weibo.com,6,10,4,1
JfHtZxDAJ,【498元一支！微商对新冠疫苗下手了】新冠疫苗还未上市，却有微商已经开卖？据上海网络辟谣消息，近日，朋友圈里的微商卖起了新冠疫苗，还不止一款。记者致电联系疫苗出处后，得到答复是并未上市。防疫不放松，更要科学防疫！必须强调的是，#朋友圈兜售疫苗是违法行为#！  #微博辟谣#  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/8e648fcfly1ghozd34mvej20b00ad75a.jpg,http://ww1.sinaimg.cn/large/8e648fcfly1ghozd367krj20hq0fbwhi.jpg,http://ww4.sinaimg.cn/large/8e648fcfly1ghozd34wq8j20de0cpwfq.jpg,http://ww4.sinaimg.cn/large/8e648fcfly1ghozd35gpdj20hq0gkgo5.jpg,http://ww4.sinaimg.cn/large/8e648fcfly1ghozd34w8pj20j60aq40d.jpg,http://ww3.sinaimg.cn/large/8e648fcfly1ghozd34ux8j20j60623z3.jpg",无,TRUE,无,无,2020/8/13 11:21,微博 weibo.com,42,35,25,2
JfxxQ8TFQ,#微博辟谣#【一闻就倒的迷药，真的存在吗？】不久前，一则“滴滴司机迷奸女乘客”的视频引发关注，最终，该视频被警方证实系不法分子自导自演。那么，“一闻就倒、一碰就晕”的迷药真的存在吗？在日常生活中，普通人又该如何预防呢？ 江苏网警的微博视频  ,,无,无,TRUE,无,无,2020/8/12 10:03,微博 weibo.com,11,23,4,1
JcmdceciR,"#微博辟谣# 注意！下面这些关于新疆涉疫情的信息，千万不要信，这些都是谣言 @首都网警 带您#疫起捉谣# 网警提示：一定要从权威媒体、官方渠道了解疫情信息，切勿轻信、传播非正规来源、未经证实的疫情信息，更不得编造散布涉疫情不实信息和虚假疫情防控措施。#新疆加油# #万众一心 百毒不侵# #净网护网,有你有我# [组图共7张] 原图 ",,"http://ww3.sinaimg.cn/large/8e648fcfly1ggzlle823jj20m80m8ai9.jpg,http://ww3.sinaimg.cn/large/8e648fcfly1ggzllho8brj20m812u47h.jpg,http://ww4.sinaimg.cn/large/8e648fcfly1ggzlli1kbmj20m812wn5t.jpg,http://ww1.sinaimg.cn/large/8e648fcfly1ggzlli3ym3j20m812wths.jpg,http://ww2.sinaimg.cn/large/8e648fcfly1ggzllhxw37j20m812w49h.jpg,http://ww4.sinaimg.cn/large/8e648fcfly1ggzllhw9fjj20m812waji.jpg,http://ww4.sinaimg.cn/large/8e648fcfly1ggzlli3vj2j20m812wwox.jpg",无,TRUE,无,无,2020/7/22 11:41,微博 weibo.com,124,74,39,1
J9iSXfQwn,【6月十大网络谣言出炉 围绕新冠疫情的谣言依然不少  转扩周知！】#微博辟谣# 2020年上半年已经结束，北京及各地的新冠疫情广受关注。而围绕新冠派生出的谣言依然不少，安徽老人因无健康码徒步千里到浙江、湖北孝感无人认领私家车车主因抗疫去世、李兰娟提醒北京疫情可能全面大爆发……一起来看看都有哪些？ [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/8e648fcfgy1ggcdi8tajmj20j60k6wh8.jpg,http://ww3.sinaimg.cn/large/8e648fcfgy1ggcdian81aj20j60k6tbw.jpg,http://ww3.sinaimg.cn/large/8e648fcfgy1ggcdick811j20j60k6tbw.jpg,http://ww2.sinaimg.cn/large/8e648fcfgy1ggcdiekil8j20j60k6n0d.jpg,http://ww2.sinaimg.cn/large/8e648fcfgy1ggcdigb6waj20j60k6q5x.jpg,http://ww2.sinaimg.cn/large/8e648fcfgy1ggcdiib657j20j60k6wh8.jpg,http://ww4.sinaimg.cn/large/8e648fcfgy1ggcdikfibpj20j60k6jus.jpg,http://ww2.sinaimg.cn/large/8e648fcfgy1ggcdimascbj20j60k6777.jpg,http://ww2.sinaimg.cn/large/8e648fcfgy1ggcdiogz2ej20j60k6whx.jpg",无,TRUE,无,无,2020/7/2 9:42,微博 weibo.com,6,17,6,1
