评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/1597258241,NightDANTE,男,其他,317,182,44,有良心的别删除，事实就是这样，有人恐吓我，备案没立案一直一年，他们跟踪过我，查不出，我声明一下没高官管理就算了地方政府估计管不了也查不出，孩子和大人一起犯案家族可能，我假想如果全是官呢，传我隐私声誉毁人半辈子四处传，查不到，还扬言报案查不到我就死，还搞什么人间蒸发的话,0,2020-04-01 17:41
https://weibo.cn//u/1597258241,NightDANTE,男,其他,317,182,44,这种案件抓不到，面对持续几年无辜被害的人们，打不打脸，中国公安应该以身份为荣，工资是中国人民对你们的信任，哎，我能说什么，确实，一地管一地就是个错误尤其是小地方，他们说我在平台都发不出去，或者意思是没人会理我,0,2020-04-01 17:35
https://weibo.cn//u/1597258241,NightDANTE,男,其他,317,182,44,公安扫黑这样那样的高层，我很负责任的说这件事是事实，那么多受害者在煎熬，没人管就给个查不出为借口08年发帖的就有受害者，他们不活该我也不活该，小小的黑龙江呼玛县就弄的乌烟瘴气，还说我举报不了确实没证没据别人都听不到，军事节目介绍过视频脑波真相关键词，百度贴吧也有介绍，如果真的事，,0,2020-04-01 17:29
https://weibo.cn//u/1597258241,NightDANTE,男,其他,317,182,44,有良心的别删除，事实就是这样，有人恐吓我，备案没立案一直一年，他们跟踪过我，查不出，我声明一下没高官管理就算了地方政府估计管不了也查不出，孩子和大人一起犯案家族可能，我假想如果全是官呢，传我隐私声誉毁人半辈子四处传，查不到，还扬言报案查不到我就死，还搞什么人间蒸发的话,0,2020-04-01 17:41
https://weibo.cn//u/1597258241,NightDANTE,男,其他,317,182,44,这种案件抓不到，面对持续几年无辜被害的人们，打不打脸，中国公安应该以身份为荣，工资是中国人民对你们的信任，哎，我能说什么，确实，一地管一地就是个错误尤其是小地方，他们说我在平台都发不出去，或者意思是没人会理我,0,2020-04-01 17:35
https://weibo.cn//u/1597258241,NightDANTE,男,其他,317,182,44,公安扫黑这样那样的高层，我很负责任的说这件事是事实，那么多受害者在煎熬，没人管就给个查不出为借口08年发帖的就有受害者，他们不活该我也不活该，小小的黑龙江呼玛县就弄的乌烟瘴气，还说我举报不了确实没证没据别人都听不到，军事节目介绍过视频脑波真相关键词，百度贴吧也有介绍，如果真的事，,0,2020-04-01 17:29
https://weibo.cn//u/1597258241,NightDANTE,男,其他,317,182,44,谣言归谣言，别把真的放假的，我被脑波控制仪控制一年多了他们传反话，他们害我说我害他们，他们告诉我谁都抓不到他们，然后折磨人，激将法以我的名义骂人企图犯罪合法化我就想不通他们24小时监视别人故意滋事无疑，我连他们面都见不到全国受害那么多，一个解决的也没有，网上视频也有，脑波控说认识,0,2020-04-01 17:24
https://weibo.cn//u/6102979638,了了rita130,女,北京,2341,206,56,这些造谣的不用承担任何责任么。,2,2020-03-31 15:54
https://weibo.cn//u/2423326887,Davana,女,广西,29,98,30, ,0,2020-03-31 09:14
https://weibo.cn//u/7289882154,清风中华,女,北京,965,356,92,     举报             赞[2]         回复             2020-03-30 16:55:15 来自网页,2,2020-03-30 16:55
https://weibo.cn//u/5532079509,一只努力努力再努力的小锦鲤,女,其他,98,98,72,我问一下哈，现在传言国家已经不再出钱救治新冠了，是真的吗？,0,2020-03-30 12:32
https://weibo.cn//u/5378818926,你渴了小怪兽,男,浙江,147,305,6,不惩治一下新京报这种无良媒体？,0,2020-03-29 19:47
https://weibo.cn//kjzxks,家有仙妻大傻羊,男,河南,54,74,313,很多人转发国家不在承担治疗费用和隔离费用，是真的假的,0,2020-03-29 11:24
https://weibo.cn//u/2182678940,Lim-mim,男,广东,27,143,147, 首都警察，你好，这里有个试图分裂国家的美分党。,0,2020-03-29 10:44
https://weibo.cn//u/7311377866,来微博看看噢,男,湖北,19,81,5,徐晓东的言论管不管?,0,2020-03-29 02:28
https://weibo.cn//u/5761220646,豺狼不哭,男,北京,929,216,147,图三没必要辟谣,1,2020-03-28 20:54
https://weibo.cn//u/3577456292,怪汤圆爱心鱼,女,山西,1112,1137,244,emmmm,0,2020-03-28 19:54
https://weibo.cn//920050929,福阿哥的茶寮,男,北京,89020,2869,7124, ,0,2020-03-28 19:07
https://weibo.cn//u/5573873944,飏空与归,女,安徽,134,135,9,不造谣！不传谣！不信谣！,0,2020-03-28 18:38
https://weibo.cn//u/1414020701,阿C姑姑,女,海外,988,268,579,图三说的是德国海关吧,1,2020-03-28 18:15
https://weibo.cn//u/7382968165,potato余余,男,其他,5,67,3,辛苦了，现在不能为国家添乱，要做到不传谣，不信谣,0,2020-03-28 17:29
https://weibo.cn//u/7403449546,伊凡202003,女,其他,4719,390,11,回复@腐烂的人生该怎么拯救你:我也想知道,0,2020-03-28 14:19
https://weibo.cn//u/5678218373,崔光锋,男,北京,1249,2423,425,回复@传说中的女网警:,0,2020-03-28 14:18
https://weibo.cn//206868355,传说中的女网警,女,北京,64226,6241,2596901,转发！,6,2020-03-28 14:02
https://weibo.cn//u/5721431005,用户征程,男,北京,45980,3502,5643,转发微博,0,2020-03-28 12:35
https://weibo.cn//u/7354089739,丽丽的丽丽的丽丽,女,河北,160,107,9,👍🏻,2,2020-03-28 10:22
https://weibo.cn//u/2281152622,名侑龙字呈祥,男,湖南,1242,491,188,辛苦了,1,2020-03-28 07:37
https://weibo.cn//u/6450593763,Blackdream0,女,广东,324,113,18,800万会员……该一网打尽了,2,2020-03-27 21:49
https://weibo.cn//u/2670392343,夏至已至yl,男,其他,310,21,39,对于,0,2020-03-27 21:26
https://weibo.cn//u/5721431005,用户征程,男,北京,45980,3502,5643,转发微博,0,2020-03-27 18:47
https://weibo.cn//920050929,福阿哥的茶寮,男,北京,89020,2869,7124, ,0,2020-03-27 18:47
https://weibo.cn//u/6879397981,血猎,女,广东,688,171,109,您好看看私信！！,1,2020-03-27 17:36
https://weibo.cn//u/5316087216,善恶两分2018,男,北京,4404,524,396,国足去海外训练参赛。。。。呵呵呵,0,2020-03-27 16:55
