评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//u/3812577253,MartianYA,女,四川,1254,529,127,不止两百个人了，估计都有几百人，每个人骗150_200不等，加起来都是上万了，请问这种有没有方法追的回来呢，或者查得到人不,23,2020-04-18 11:52
https://weibo.cn//u/2025732640,鲨鱼河里游,男,上海,591,867,426,这算不算谣言，转发过千了。,7,2020-04-19 22:22
https://weibo.cn//sunnycoral,我-西西-kk,女,山东,3584,1228,434,对于范源庆的虐猫以及传播血腥视频获利的行为，为何不立案侦查，这是放纵施暴者的气焰，请依法查处！,0,2020-04-22 09:03
https://weibo.cn//u/6420877933,金灾张秀华,女,其他,5762,1091,677,用权力镇压手无寸铁百姓！懦夫,0,2020-04-21 23:51
https://weibo.cn//u/6420877933,金灾张秀华,女,其他,5762,1091,677,我们金灾受害者真金白银没了！这也是造谣吗？,0,2020-04-21 23:40
https://weibo.cn//u/6280375777,四瓣蝶,女,其他,0,17,1,百度网盘在用户不知情情况下默认打开所谓的用户激励计划，占用用户宽带 ,0,2020-04-20 10:44
https://weibo.cn//u/5456325917,无雨就系晴,男,四川,143,134,39,  那个作家方方 有没有可能从事颠覆活动？ 有没有调查的必要,0,2020-04-20 10:40
https://weibo.cn//u/2025732640,鲨鱼河里游,男,上海,591,867,426,这算不算谣言，转发过千了。,7,2020-04-19 22:22
https://weibo.cn//ganxiaodehaizi,琴心剑胆的温馨小屋,女,北京,63106,1613,83089,转发微博,0,2020-04-19 20:34
https://weibo.cn//u/1724428944,朝花惜时向前走,女,其他,580,139,160,私信提交证据了，这个号发布这种信息，大家跟他据理力争，他就开始人身攻击，还地域黑，伪装自己是浙江人，一直骂黑龙江。 ,4,2020-04-19 19:45
https://weibo.cn//920050929,福阿哥的茶寮,男,北京,89020,2869,7124, ,0,2020-04-19 19:39
https://weibo.cn//u/6014647799,瓜瓜表情包,男,广东,258,113,9,有人造谣说广州给外籍人士发5600元，引起社会不好的影响,0,2020-04-19 17:47
https://weibo.cn//u/1724428944,朝花惜时向前走,女,其他,580,139,160,发现一个可能是间谍号，怎么报给你？！已经截图留证据！！！ ,5,2020-04-19 16:17
https://weibo.cn//u/1966369842,qian3721,男,北京,57020,1530,1803,转发微博,0,2020-04-19 15:33
https://weibo.cn//u/2543197282,平常的书棚,男,北京,2070,443,380,"根据中华人民共和国刑法规定，合法的期货交易场所应当经中国证监会批准,并接受证监会监督管理。我国仅有五所期货交易所,其他的期货交易所均为非法的交易所！ okex非法虚拟货币期货交易，操纵价格，故意宕机，虚假交易量，害人家破人亡，何时查处抓捕入狱",0,2020-04-19 13:31
https://weibo.cn//u/5721431005,用户征程,男,北京,45980,3502,5643,转发微博,0,2020-04-19 11:51
https://weibo.cn//u/1912212041,Forest0201,男,其他,0,88,8,大学在校生虐杀猫狗成瘾 出售血腥暴力恐怖视频， 月入过万，虐杀“创业”愈演愈烈，虐猫圈虐狗圈分工明确，骗养猫狗 制作虐杀剧本 实际操作虐杀 网络营销寻找虐杀视频买家 虐杀产业链一条龙 并已扬言要杀死反对他们的人 如此严重违反网络安全法贵的大规模团伙行为 请及时查处,2,2020-04-19 11:13
https://weibo.cn//u/1912212041,Forest0201,男,其他,0,88,8,虐猫变态冉永旭 常年制作出售虐猫血腥暴力视频，号称虐猫拳三巨头之一 虐猫圈老大，靠虐猫月入三万，已经严重违法网络安全法规，请及时处理。,3,2020-04-19 10:21
https://weibo.cn//u/1912212041,Forest0201,男,其他,0,88,8,潍坊人范源庆 虐猫无数，大肆售卖血腥暴力视频，已经违反网络安全法规，还扬言买通景茶。这样的货色在社会上逍遥自在一天，人们就不会觉得太平。,3,2020-04-19 10:15
https://weibo.cn//u/5813613897,有梦想的浪子,男,云南,74,153,18,微博，头条，等社交平台，很多造谣号，呼吁严厉整治。,0,2020-04-19 01:50
https://weibo.cn//u/3166226612,like悠游无限,女,辽宁,1003,2068,258,我也是其中一个，150打水漂了,1,2020-04-18 21:35
https://weibo.cn//u/2253506107,super等到她,男,其他,44,24,24,你们扬州网警巡查的微博，我们人民连评论的资格都没有哦，拜托首都警察叔叔做下好人呗,0,2020-04-18 18:44
